"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.5917363","2.484375","0"
"1","2","candidate","2.4254936","2.375","0"
"2","1","candidate","2.4288362","2.40625","0"
"2","2","parent","2.5197414","2.484375","0"
"3","1","parent","2.4141307","2.34375","0"
"3","2","candidate","2.5325061","2.453125","0"
"4","1","candidate","2.4292779","2.328125","0"
"4","2","parent","2.4465534","2.375","0"
"5","1","parent","2.6068294","2.53125","0"
"5","2","candidate","2.7656267","2.71875","0"
"6","1","candidate","2.4556282","2.40625","0"
"6","2","parent","2.5319963","2.46875","0"
"7","1","parent","2.2538148","2.203125","0"
"7","2","candidate","2.6809327","2.671875","0"
"8","1","candidate","2.5119694","2.484375","0"
"8","2","parent","2.4585329","2.40625","0"
"9","1","parent","2.5019811","2.453125","0"
"9","2","candidate","2.5360845","2.484375","0"
"10","1","candidate","2.3399307","2.296875","0"
"10","2","parent","2.5728339","2.515625","0"
"11","1","parent","2.372263","2.359375","0"
"11","2","candidate","2.810756","2.75","0"
"12","1","candidate","2.5465885","2.546875","0"
"12","2","parent","2.4273799","2.375","0"
"13","1","parent","2.4135347","2.375","0"
"13","2","candidate","2.6324","2.578125","0"
"14","1","candidate","2.3754118","2.328125","0"
"14","2","parent","2.494451","2.453125","0"
"15","1","parent","2.4920511","2.4375","0"
"15","2","candidate","3.0538578","2.984375","0"
"16","1","candidate","2.5566278","2.53125","0"
"16","2","parent","2.5595393","2.515625","0"
"17","1","parent","2.6153843","2.578125","0"
"17","2","candidate","2.7457931","2.671875","0"
"18","1","candidate","2.5125628","2.453125","0"
"18","2","parent","2.419348","2.375","0"
"19","1","parent","2.4481917","2.390625","0"
"19","2","candidate","2.4570243","2.390625","0"
"20","1","candidate","2.4761843","2.4375","0"
"20","2","parent","2.6088367","2.515625","0"
"21","1","parent","2.4181842","2.359375","0"
"21","2","candidate","2.5182679","2.4375","0"
"22","1","candidate","2.5044008","2.46875","0"
"22","2","parent","2.39973","2.34375","0"
"23","1","parent","2.6766337","2.609375","0"
"23","2","candidate","2.6235596","2.578125","0"
"24","1","candidate","2.4021428","2.359375","0"
"24","2","parent","2.1572657","2.109375","0"
"25","1","parent","2.1531882","2.125","0"
"25","2","candidate","2.2108028","2.171875","0"
"26","1","candidate","2.1742902","2.140625","0"
"26","2","parent","2.1822098","2.15625","0"
"27","1","parent","2.2047485","2.140625","0"
"27","2","candidate","2.212334","2.15625","0"
"28","1","candidate","2.1200992","2.078125","0"
"28","2","parent","2.1001415","2.09375","0"
"29","1","parent","2.0543259","2","0"
"29","2","candidate","2.2956196","2.234375","0"
"30","1","candidate","2.4638146","2.375","0"
"30","2","parent","2.4310231","2.34375","0"
"31","1","parent","2.3996872","2.375","0"
"31","2","candidate","2.132091","2.078125","0"
"32","1","candidate","2.1044027","2.03125","0"
"32","2","parent","2.1757891","2.15625","0"
"33","1","parent","2.1597358","2.09375","0"
"33","2","candidate","2.146887","2.109375","0"
"34","1","candidate","2.1350581","2.109375","0"
"34","2","parent","2.1650838","2.078125","0"
"35","1","parent","2.2033224","2.1875","0"
"35","2","candidate","2.3483066","2.328125","0"
"36","1","candidate","2.0968393","2.0625","0"
"36","2","parent","2.4901791","2.4375","0"
"37","1","parent","2.2746355","2.21875","0"
"37","2","candidate","2.1031843","2.015625","0"
"38","1","candidate","2.2639205","2.21875","0"
"38","2","parent","2.1471438","2.09375","0"
"39","1","parent","2.1220119","2.09375","0"
"39","2","candidate","2.1294891","2.109375","0"
"40","1","candidate","2.0755473","2.03125","0"
"40","2","parent","2.0902298","2.015625","0"
"41","1","parent","2.3494773","2.3125","0"
"41","2","candidate","2.1136502","2.046875","0"
"42","1","candidate","2.1017939","2.078125","0"
"42","2","parent","2.034374","2.015625","0"
"43","1","parent","2.1061213","2.03125","0"
"43","2","candidate","2.5555559","2.484375","0"
"44","1","candidate","2.2342342","2.203125","0"
"44","2","parent","2.105336","2.109375","0"
"45","1","parent","2.0866838","2.046875","0"
"45","2","candidate","2.0917848","2.046875","0"
"46","1","candidate","2.1918347","2.140625","0"
"46","2","parent","2.9886121","2.9375","0"
"47","1","parent","4.1106569","3.671875","0"
"47","2","candidate","3.3969387","3.1875","0"
"48","1","candidate","2.5075587","2.453125","0"
"48","2","parent","2.3743822","2.328125","0"
"49","1","parent","2.5281504","2.484375","0"
"49","2","candidate","2.4899031","2.46875","0"
"50","1","candidate","2.2340927","2.171875","0"
"50","2","parent","2.2883513","2.25","0"
"51","1","parent","2.3580877","2.25","0"
"51","2","candidate","2.2025684","2.15625","0"
"52","1","candidate","2.1652121","2.09375","0"
"52","2","parent","2.1340352","2.046875","0"
"53","1","parent","2.0950531","2.078125","0"
"53","2","candidate","2.2491762","2.21875","0"
"54","1","candidate","2.2105571","2.15625","0"
"54","2","parent","2.0975186","2.046875","0"
"55","1","parent","2.117959","2.078125","0"
"55","2","candidate","2.1254526","2.09375","0"
"56","1","candidate","2.6105785","2.578125","0"
"56","2","parent","2.3041217","2.265625","0"
"57","1","parent","2.2129712","2.140625","0"
"57","2","candidate","2.1388765","2.125","0"
"58","1","candidate","2.0971518","2.046875","0"
"58","2","parent","2.0935289","2.0625","0"
"59","1","parent","2.1465463","2.09375","0"
"59","2","candidate","2.1733517","2.125","0"
"60","1","candidate","2.1627892","2.109375","0"
"60","2","parent","2.1591483","2.09375","0"
"61","1","parent","2.1446921","2.09375","0"
"61","2","candidate","2.1385153","2.09375","0"
"62","1","candidate","2.7415207","2.71875","0"
"62","2","parent","2.5448281","2.53125","0"
"63","1","parent","2.3137694","2.25","0"
"63","2","candidate","2.1071366","2.0625","0"
"64","1","candidate","2.0363738","1.984375","0"
"64","2","parent","2.1278234","2.078125","0"
