"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.8275332","1.78125","0"
"1","2","candidate","1.8662329","1.84375","0"
"2","1","candidate","1.8100375","1.765625","0"
"2","2","parent","1.8596071","1.84375","0"
"3","1","parent","1.8867594","1.875","0"
"3","2","candidate","1.8666801","1.84375","0"
"4","1","candidate","1.7866099","1.78125","0"
"4","2","parent","1.8131157","1.734375","0"
"5","1","parent","1.8557261","1.84375","0"
"5","2","candidate","1.8419846","1.765625","0"
"6","1","candidate","1.9054982","1.890625","0"
"6","2","parent","1.7839095","1.75","0"
"7","1","parent","1.969194","1.953125","0"
"7","2","candidate","1.7636551","1.75","0"
"8","1","candidate","1.898501","1.828125","0"
"8","2","parent","1.7992562","1.75","0"
"9","1","parent","1.8289904","1.765625","0"
"9","2","candidate","1.8843663","1.859375","0"
"10","1","candidate","1.9159356","1.90625","0"
"10","2","parent","1.8019148","1.796875","0"
"11","1","parent","1.8094144","1.796875","0"
"11","2","candidate","1.8461638","1.828125","0"
"12","1","candidate","1.7841334","1.78125","0"
"12","2","parent","1.932865","1.890625","0"
"13","1","parent","1.8240737","1.796875","0"
"13","2","candidate","1.8361927","1.8125","0"
"14","1","candidate","1.8159488","1.75","0"
"14","2","parent","1.986939","1.9375","0"
"15","1","parent","1.7816005","1.75","0"
"15","2","candidate","1.881136","1.84375","0"
"16","1","candidate","1.8794488","1.859375","0"
"16","2","parent","1.8204676","1.8125","0"
"17","1","parent","1.8211389","1.78125","0"
"17","2","candidate","1.945767","1.78125","0"
"18","1","candidate","1.877245","1.859375","0"
"18","2","parent","1.8909587","1.875","0"
"19","1","parent","1.863667","1.84375","0"
"19","2","candidate","1.7711517","1.71875","0"
"20","1","candidate","1.8312597","1.796875","0"
"20","2","parent","1.735159","1.703125","0"
"21","1","parent","1.8819111","1.875","0"
"21","2","candidate","1.8170553","1.796875","0"
"22","1","candidate","1.8089247","1.796875","0"
"22","2","parent","1.986728","1.921875","0"
"23","1","parent","2.1296113","2.015625","0"
"23","2","candidate","1.8928558","1.875","0"
"24","1","candidate","1.8107038","1.75","0"
"24","2","parent","1.8003436","1.78125","0"
"25","1","parent","1.7862149","1.75","0"
"25","2","candidate","1.8483041","1.828125","0"
"26","1","candidate","1.7943833","1.75","0"
"26","2","parent","1.7920781","1.765625","0"
"27","1","parent","2.0586754","2.015625","0"
"27","2","candidate","1.8658072","1.8125","0"
"28","1","candidate","1.8370373","1.796875","0"
"28","2","parent","1.782212","1.78125","0"
"29","1","parent","1.7938103","1.765625","0"
"29","2","candidate","1.7996153","1.78125","0"
"30","1","candidate","1.8154318","1.796875","0"
"30","2","parent","1.8019111","1.78125","0"
"31","1","parent","1.8423444","1.796875","0"
"31","2","candidate","1.8113765","1.78125","0"
"32","1","candidate","1.8512295","1.8125","0"
"32","2","parent","1.7916489","1.765625","0"
"33","1","parent","1.8235406","1.8125","0"
"33","2","candidate","1.7923414","1.75","0"
"34","1","candidate","1.8343002","1.796875","0"
"34","2","parent","1.8200073","1.78125","0"
"35","1","parent","1.7754245","1.765625","0"
"35","2","candidate","1.8238335","1.8125","0"
"36","1","candidate","1.8690478","1.875","0"
"36","2","parent","1.8341683","1.8125","0"
"37","1","parent","1.7386396","1.703125","0"
"37","2","candidate","1.875855","1.84375","0"
"38","1","candidate","1.7596913","1.75","0"
"38","2","parent","1.7996681","1.765625","0"
"39","1","parent","1.8096408","1.78125","0"
"39","2","candidate","1.7902885","1.734375","0"
"40","1","candidate","1.8904021","1.890625","0"
"40","2","parent","1.7734674","1.78125","0"
"41","1","parent","1.8439375","1.828125","0"
"41","2","candidate","1.7654067","1.75","0"
"42","1","candidate","1.8775561","1.875","0"
"42","2","parent","1.7513877","1.734375","0"
"43","1","parent","1.8860749","1.875","0"
"43","2","candidate","1.8905795","1.859375","0"
"44","1","candidate","1.944862","1.921875","0"
"44","2","parent","1.8839787","1.859375","0"
"45","1","parent","1.7596993","1.734375","0"
"45","2","candidate","1.8464284","1.828125","0"
"46","1","candidate","1.7710316","1.75","0"
"46","2","parent","1.837927","1.796875","0"
"47","1","parent","1.7349192","1.6875","0"
"47","2","candidate","1.8419248","1.8125","0"
"48","1","candidate","1.7915429","1.765625","0"
"48","2","parent","1.7754769","1.734375","0"
"49","1","parent","1.8163497","1.796875","0"
"49","2","candidate","1.7769364","1.75","0"
"50","1","candidate","1.8284977","1.796875","0"
"50","2","parent","1.7647547","1.75","0"
"51","1","parent","1.8621548","1.8125","0"
"51","2","candidate","1.7871766","1.765625","0"
"52","1","candidate","1.8644969","1.828125","0"
"52","2","parent","1.7805273","1.75","0"
"53","1","parent","1.7811274","1.75","0"
"53","2","candidate","1.836144","1.828125","0"
"54","1","candidate","1.8308691","1.796875","0"
"54","2","parent","1.7772706","1.75","0"
"55","1","parent","1.7944078","1.796875","0"
"55","2","candidate","1.8007888","1.8125","0"
"56","1","candidate","1.7750534","1.734375","0"
"56","2","parent","1.8181679","1.796875","0"
"57","1","parent","1.7917509","1.765625","0"
"57","2","candidate","1.8445175","1.828125","0"
"58","1","candidate","1.8149672","1.796875","0"
"58","2","parent","1.810415","1.78125","0"
"59","1","parent","1.7839327","1.78125","0"
"59","2","candidate","1.908012","1.875","0"
"60","1","candidate","1.7978513","1.765625","0"
"60","2","parent","1.78371","1.75","0"
"61","1","parent","1.8103285","1.78125","0"
"61","2","candidate","1.8152098","1.75","0"
"62","1","candidate","1.8338584","1.828125","0"
"62","2","parent","1.8464442","1.796875","0"
"63","1","parent","1.9447016","1.921875","0"
"63","2","candidate","1.882678","1.859375","0"
"64","1","candidate","1.861444","1.796875","0"
"64","2","parent","1.7623119","1.734375","0"
