"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.8780311","1.796875","0"
"1","2","candidate","3.6205574","2.0625","0"
"2","1","candidate","1.877125","1.84375","0"
"2","2","parent","1.8325746","1.78125","0"
"3","1","parent","1.9024593","1.859375","0"
"3","2","candidate","1.7757891","1.734375","0"
"4","1","candidate","1.8260697","1.8125","0"
"4","2","parent","1.7972171","1.765625","0"
"5","1","parent","1.8398333","1.78125","0"
"5","2","candidate","1.8328574","1.8125","0"
"6","1","candidate","1.8801918","1.84375","0"
"6","2","parent","1.7853157","1.765625","0"
"7","1","parent","1.8589675","1.828125","0"
"7","2","candidate","1.7997808","1.78125","0"
"8","1","candidate","1.8507956","1.84375","0"
"8","2","parent","1.8261686","1.796875","0"
"9","1","parent","1.8011268","1.78125","0"
"9","2","candidate","1.8589322","1.8125","0"
"10","1","candidate","1.928023","1.875","0"
"10","2","parent","1.8260785","1.8125","0"
"11","1","parent","1.8866391","1.796875","0"
"11","2","candidate","1.8159084","1.765625","0"
"12","1","candidate","1.9105148","1.875","0"
"12","2","parent","2.0468271","2.015625","0"
"13","1","parent","1.9121637","1.921875","0"
"13","2","candidate","1.8260104","1.8125","0"
"14","1","candidate","1.9016583","1.875","0"
"14","2","parent","1.8064013","1.78125","0"
"15","1","parent","1.8782129","1.828125","0"
"15","2","candidate","1.8123765","1.765625","0"
"16","1","candidate","1.8411403","1.84375","0"
"16","2","parent","1.8583407","1.84375","0"
"17","1","parent","1.8208141","1.8125","0"
"17","2","candidate","1.8148035","1.796875","0"
"18","1","candidate","1.8809677","1.859375","0"
"18","2","parent","1.8304722","1.796875","0"
"19","1","parent","1.8969028","1.90625","0"
"19","2","candidate","1.815697","1.796875","0"
"20","1","candidate","1.836998","1.8125","0"
"20","2","parent","1.8054123","1.75","0"
"21","1","parent","1.8116355","1.796875","0"
"21","2","candidate","1.8341575","1.78125","0"
"22","1","candidate","1.8668668","1.828125","0"
"22","2","parent","1.8289623","1.8125","0"
"23","1","parent","1.8383618","1.828125","0"
"23","2","candidate","1.8240781","1.828125","0"
"24","1","candidate","1.8365799","1.84375","0"
"24","2","parent","1.7938286","1.75","0"
"25","1","parent","1.7904589","1.765625","0"
"25","2","candidate","1.7837708","1.75","0"
"26","1","candidate","1.86848","1.828125","0"
"26","2","parent","1.7853819","1.765625","0"
"27","1","parent","1.8262243","1.765625","0"
"27","2","candidate","1.8336982","1.8125","0"
"28","1","candidate","1.8065131","1.78125","0"
"28","2","parent","1.7974866","1.734375","0"
"29","1","parent","1.7957451","1.75","0"
"29","2","candidate","1.8130452","1.765625","0"
"30","1","candidate","1.8924151","1.859375","0"
"30","2","parent","1.7866364","1.765625","0"
"31","1","parent","1.852425","1.8125","0"
"31","2","candidate","1.8321424","1.796875","0"
"32","1","candidate","1.9411987","1.921875","0"
"32","2","parent","1.9397311","1.921875","0"
"33","1","parent","1.8359862","1.8125","0"
"33","2","candidate","1.910486","1.78125","0"
"34","1","candidate","1.8784431","1.84375","0"
"34","2","parent","1.8107386","1.765625","0"
"35","1","parent","1.8372847","1.796875","0"
"35","2","candidate","1.8198261","1.796875","0"
"36","1","candidate","1.7853984","1.765625","0"
"36","2","parent","1.8333455","1.828125","0"
"37","1","parent","1.804667","1.765625","0"
"37","2","candidate","1.8221969","1.71875","0"
"38","1","candidate","1.947665","1.890625","0"
"38","2","parent","1.8321516","1.84375","0"
"39","1","parent","1.8000681","1.765625","0"
"39","2","candidate","1.854791","1.859375","0"
"40","1","candidate","1.7369196","1.703125","0"
"40","2","parent","1.8512461","1.8125","0"
"41","1","parent","1.8318568","1.796875","0"
"41","2","candidate","1.8479163","1.8125","0"
"42","1","candidate","1.8604329","1.828125","0"
"42","2","parent","1.8313445","1.78125","0"
"43","1","parent","1.7683854","1.734375","0"
"43","2","candidate","1.8646576","1.828125","0"
"44","1","candidate","1.7129953","1.640625","0"
"44","2","parent","1.8544314","1.828125","0"
"45","1","parent","1.8073112","1.796875","0"
"45","2","candidate","1.791364","1.78125","0"
"46","1","candidate","1.7932942","1.765625","0"
"46","2","parent","1.8308418","1.78125","0"
"47","1","parent","1.8163679","1.8125","0"
"47","2","candidate","1.8593422","1.84375","0"
"48","1","candidate","1.7772913","1.75","0"
"48","2","parent","1.8844159","1.859375","0"
"49","1","parent","1.833653","1.78125","0"
"49","2","candidate","1.9393843","1.890625","0"
"50","1","candidate","1.9498475","1.921875","0"
"50","2","parent","1.9936909","1.96875","0"
"51","1","parent","1.7933009","1.78125","0"
"51","2","candidate","1.8464146","1.84375","0"
"52","1","candidate","1.7116073","1.6875","0"
"52","2","parent","1.8531673","1.84375","0"
"53","1","parent","1.792567","1.78125","0"
"53","2","candidate","1.8205219","1.828125","0"
"54","1","candidate","1.8492737","1.828125","0"
"54","2","parent","1.8510808","1.84375","0"
"55","1","parent","1.7534281","1.65625","0"
"55","2","candidate","1.8547915","1.828125","0"
"56","1","candidate","1.7211166","1.6875","0"
"56","2","parent","1.8400386","1.78125","0"
"57","1","parent","1.7702714","1.734375","0"
"57","2","candidate","1.8040416","1.796875","0"
"58","1","candidate","1.7873731","1.75","0"
"58","2","parent","1.8256463","1.78125","0"
"59","1","parent","1.7455885","1.6875","0"
"59","2","candidate","1.8608664","1.828125","0"
"60","1","candidate","1.6878356","1.671875","0"
"60","2","parent","1.8748773","1.8125","0"
"61","1","parent","1.7994539","1.765625","0"
"61","2","candidate","1.8205309","1.78125","0"
"62","1","candidate","1.8145751","1.75","0"
"62","2","parent","1.9517382","1.84375","0"
"63","1","parent","1.7652048","1.71875","0"
"63","2","candidate","1.8812897","1.828125","0"
"64","1","candidate","1.7254036","1.71875","0"
"64","2","parent","1.8651168","1.8125","0"
