"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.9130374","1.84375","0"
"1","2","candidate","1.725632","1.703125","0"
"2","1","candidate","1.8917936","1.859375","0"
"2","2","parent","1.8314637","1.796875","0"
"3","1","parent","1.8143267","1.796875","0"
"3","2","candidate","1.8632767","1.84375","0"
"4","1","candidate","1.8684095","1.8125","0"
"4","2","parent","1.794471","1.765625","0"
"5","1","parent","1.859824","1.828125","0"
"5","2","candidate","1.78811","1.78125","0"
"6","1","candidate","1.8554115","1.796875","0"
"6","2","parent","1.7965521","1.734375","0"
"7","1","parent","1.8133864","1.796875","0"
"7","2","candidate","1.897477","1.875","0"
"8","1","candidate","1.8068702","1.75","0"
"8","2","parent","1.8139036","1.765625","0"
"9","1","parent","1.8442792","1.828125","0"
"9","2","candidate","1.8221021","1.8125","0"
"10","1","candidate","1.8298428","1.8125","0"
"10","2","parent","1.8003442","1.78125","0"
"11","1","parent","1.78983","1.765625","0"
"11","2","candidate","1.9969076","1.921875","0"
"12","1","candidate","1.8081248","1.78125","0"
"12","2","parent","1.9526958","1.875","0"
"13","1","parent","2.0346799","1.984375","0"
"13","2","candidate","1.9289479","1.9375","0"
"14","1","candidate","1.7920561","1.78125","0"
"14","2","parent","1.8181645","1.765625","0"
"15","1","parent","1.8448363","1.796875","0"
"15","2","candidate","1.846753","1.8125","0"
"16","1","candidate","1.8484154","1.828125","0"
"16","2","parent","1.9155405","1.859375","0"
"17","1","parent","1.8065982","1.796875","0"
"17","2","candidate","1.870648","1.859375","0"
"18","1","candidate","1.7211154","1.703125","0"
"18","2","parent","1.8853884","1.84375","0"
"19","1","parent","1.7829034","1.765625","0"
"19","2","candidate","1.8029539","1.78125","0"
"20","1","candidate","1.8415017","1.8125","0"
"20","2","parent","1.8287612","1.828125","0"
"21","1","parent","1.8342064","1.796875","0"
"21","2","candidate","1.9917591","1.96875","0"
"22","1","candidate","1.807296","1.78125","0"
"22","2","parent","1.8844756","1.84375","0"
"23","1","parent","1.8582865","1.828125","0"
"23","2","candidate","1.8237804","1.75","0"
"24","1","candidate","1.8316645","1.796875","0"
"24","2","parent","1.8207807","1.796875","0"
"25","1","parent","1.8095914","1.8125","0"
"25","2","candidate","1.8341989","1.8125","0"
"26","1","candidate","1.8056545","1.75","0"
"26","2","parent","1.8034271","1.8125","0"
"27","1","parent","1.7886816","1.75","0"
"27","2","candidate","1.8101982","1.75","0"
"28","1","candidate","1.8807455","1.828125","0"
"28","2","parent","1.7813714","1.765625","0"
"29","1","parent","1.9687014","1.796875","0"
"29","2","candidate","1.8772807","1.859375","0"
"30","1","candidate","1.8317799","1.8125","0"
"30","2","parent","1.8022469","1.796875","0"
"31","1","parent","1.8235407","1.78125","0"
"31","2","candidate","1.8186007","1.78125","0"
"32","1","candidate","1.8624448","1.828125","0"
"32","2","parent","1.8132642","1.796875","0"
"33","1","parent","1.9328892","1.90625","0"
"33","2","candidate","1.7822176","1.75","0"
"34","1","candidate","1.8886667","1.84375","0"
"34","2","parent","1.7974139","1.75","0"
"35","1","parent","1.865481","1.8125","0"
"35","2","candidate","1.8317577","1.828125","0"
"36","1","candidate","1.8199569","1.765625","0"
"36","2","parent","1.8131327","1.78125","0"
"37","1","parent","1.8934637","1.859375","0"
"37","2","candidate","1.7464201","1.734375","0"
"38","1","candidate","2.0014654","1.9375","0"
"38","2","parent","1.7725447","1.75","0"
