"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.9758114","1.90625","0"
"1","2","candidate","2.4458394","2.421875","0"
"2","1","candidate","2.7985346","2.640625","0"
"2","2","parent","2.6015277","2.59375","0"
"3","1","parent","1.9493217","1.9375","0"
"3","2","candidate","1.9840249","1.921875","0"
"4","1","candidate","1.9714834","1.96875","0"
"4","2","parent","2.0090312","1.96875","0"
"5","1","parent","1.9622341","1.96875","0"
"5","2","candidate","1.9660555","1.9375","0"
"6","1","candidate","1.9202197","1.90625","0"
"6","2","parent","1.9984069","2","0"
"7","1","parent","1.9518942","1.90625","0"
"7","2","candidate","2.0033529","1.96875","0"
"8","1","candidate","1.9305673","1.90625","0"
"8","2","parent","2.0111171","1.9375","0"
"9","1","parent","1.9860935","1.9375","0"
"9","2","candidate","1.9715996","1.953125","0"
"10","1","candidate","1.9447917","1.90625","0"
"10","2","parent","2.0140094","1.984375","0"
"11","1","parent","1.9285035","1.90625","0"
"11","2","candidate","1.9234937","1.875","0"
"12","1","candidate","1.8947377","1.875","0"
"12","2","parent","1.9369052","1.875","0"
"13","1","parent","1.8725186","1.859375","0"
"13","2","candidate","1.8838658","1.828125","0"
"14","1","candidate","2.0017749","1.9375","0"
"14","2","parent","2.0991266","2.09375","0"
"15","1","parent","1.9339977","1.890625","0"
"15","2","candidate","1.9055685","1.890625","0"
"16","1","candidate","1.942395","1.78125","0"
"16","2","parent","1.8985695","1.875","0"
"17","1","parent","1.7711086","1.734375","0"
"17","2","candidate","1.8724352","1.828125","0"
"18","1","candidate","1.824089","1.765625","0"
"18","2","parent","1.826917","1.796875","0"
"19","1","parent","1.8175806","1.796875","0"
"19","2","candidate","1.8172832","1.78125","0"
"20","1","candidate","1.8131734","1.78125","0"
"20","2","parent","1.893766","1.859375","0"
"21","1","parent","1.782293","1.78125","0"
"21","2","candidate","1.9011531","1.859375","0"
"22","1","candidate","1.8386251","1.8125","0"
"22","2","parent","1.794415","1.75","0"
"23","1","parent","1.8846182","1.84375","0"
"23","2","candidate","1.7869136","1.78125","0"
"24","1","candidate","1.8612393","1.828125","0"
"24","2","parent","1.8260226","1.8125","0"
"25","1","parent","1.8092787","1.8125","0"
"25","2","candidate","1.8277357","1.796875","0"
"26","1","candidate","1.8235366","1.8125","0"
"26","2","parent","1.7918816","1.78125","0"
"27","1","parent","1.8546342","1.859375","0"
"27","2","candidate","1.8546504","1.8125","0"
"28","1","candidate","1.9018889","1.875","0"
"28","2","parent","1.8342623","1.828125","0"
"29","1","parent","1.8570383","1.828125","0"
"29","2","candidate","1.8013143","1.78125","0"
"30","1","candidate","1.862056","1.796875","0"
"30","2","parent","1.8267058","1.78125","0"
"31","1","parent","1.8602702","1.8125","0"
"31","2","candidate","1.8194986","1.796875","0"
"32","1","candidate","1.8501062","1.8125","0"
"32","2","parent","1.7738563","1.703125","0"
"33","1","parent","1.9056052","1.875","0"
"33","2","candidate","1.8148936","1.796875","0"
"34","1","candidate","1.9302022","1.875","0"
"34","2","parent","1.872897","1.84375","0"
"35","1","parent","2.0064933","2","0"
"35","2","candidate","1.9837624","1.953125","0"
"36","1","candidate","1.8200137","1.8125","0"
"36","2","parent","1.8236124","1.8125","0"
"37","1","parent","1.8555453","1.828125","0"
"37","2","candidate","1.7996054","1.734375","0"
"38","1","candidate","1.8148502","1.8125","0"
"38","2","parent","1.8028794","1.78125","0"
"39","1","parent","1.8281929","1.796875","0"
"39","2","candidate","1.8805929","1.875","0"
"40","1","candidate","1.8060481","1.765625","0"
"40","2","parent","1.842782","1.796875","0"
"41","1","parent","1.8207986","1.796875","0"
"41","2","candidate","1.8739807","1.84375","0"
"42","1","candidate","1.7636554","1.71875","0"
"42","2","parent","1.7963212","1.765625","0"
"43","1","parent","1.8022023","1.75","0"
"43","2","candidate","1.6933798","1.6875","0"
"44","1","candidate","1.7071639","1.671875","0"
"44","2","parent","1.6667406","1.640625","0"
"45","1","parent","1.6659519","1.671875","0"
