"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.8603991","1.828125","0"
"1","2","candidate","1.9894615","1.828125","0"
"2","1","candidate","1.7947678","1.78125","0"
"2","2","parent","1.8169537","1.796875","0"
"3","1","parent","1.8324948","1.8125","0"
"3","2","candidate","1.8005931","1.75","0"
"4","1","candidate","1.7949368","1.75","0"
"4","2","parent","1.831465","1.796875","0"
"5","1","parent","1.8200339","1.796875","0"
"5","2","candidate","1.8184059","1.8125","0"
"6","1","candidate","1.7820529","1.75","0"
"6","2","parent","1.8185796","1.8125","0"
"7","1","parent","1.7999055","1.734375","0"
"7","2","candidate","1.8138764","1.796875","0"
"8","1","candidate","1.7783636","1.734375","0"
"8","2","parent","1.8115765","1.78125","0"
"9","1","parent","1.7893537","1.78125","0"
"9","2","candidate","1.7543723","1.71875","0"
"10","1","candidate","1.8225975","1.828125","0"
"10","2","parent","1.8609931","1.84375","0"
"11","1","parent","1.8753599","1.84375","0"
"11","2","candidate","1.9246817","1.859375","0"
"12","1","candidate","1.9648539","1.90625","0"
"12","2","parent","1.7386773","1.703125","0"
"13","1","parent","1.8744904","1.859375","0"
"13","2","candidate","1.7682277","1.75","0"
"14","1","candidate","1.9268456","1.765625","0"
"14","2","parent","1.8784666","1.828125","0"
"15","1","parent","1.8038413","1.78125","0"
"15","2","candidate","1.8305972","1.796875","0"
"16","1","candidate","1.8069684","1.765625","0"
"16","2","parent","1.8306155","1.8125","0"
"17","1","parent","1.816101","1.78125","0"
"17","2","candidate","1.8047476","1.796875","0"
"18","1","candidate","1.7890708","1.796875","0"
"18","2","parent","1.8488019","1.8125","0"
"19","1","parent","1.7862281","1.765625","0"
"19","2","candidate","1.831375","1.78125","0"
"20","1","candidate","1.7341816","1.703125","0"
"20","2","parent","1.8692596","1.828125","0"
"21","1","parent","1.7574232","1.71875","0"
"21","2","candidate","1.8029062","1.765625","0"
"22","1","candidate","1.7490412","1.71875","0"
"22","2","parent","1.9059724","1.734375","0"
"23","1","parent","1.8829721","1.859375","0"
"23","2","candidate","1.7635811","1.75","0"
"24","1","candidate","1.8118162","1.78125","0"
"24","2","parent","1.7677277","1.75","0"
"25","1","parent","1.9409329","1.78125","0"
"25","2","candidate","1.7819272","1.765625","0"
"26","1","candidate","1.9443312","1.8125","0"
"26","2","parent","1.8125845","1.78125","0"
"27","1","parent","1.8024005","1.796875","0"
"27","2","candidate","1.8164937","1.734375","0"
"28","1","candidate","1.7972469","1.765625","0"
"28","2","parent","1.7789583","1.765625","0"
"29","1","parent","1.8339593","1.8125","0"
"29","2","candidate","1.7883245","1.765625","0"
"30","1","candidate","1.8489425","1.796875","0"
"30","2","parent","1.9428895","1.859375","0"
"31","1","parent","1.9886355","1.9375","0"
"31","2","candidate","2.0029553","1.859375","0"
"32","1","candidate","1.7577446","1.765625","0"
"32","2","parent","1.8638027","1.8125","0"
"33","1","parent","1.822498","1.78125","0"
"33","2","candidate","1.8292061","1.78125","0"
"34","1","candidate","1.7897892","1.75","0"
"34","2","parent","1.8558024","1.78125","0"
"35","1","parent","1.809026","1.78125","0"
"35","2","candidate","1.7477457","1.6875","0"
"36","1","candidate","1.7561919","1.734375","0"
"36","2","parent","1.8285666","1.796875","0"
"37","1","parent","1.7925991","1.703125","0"
"37","2","candidate","1.8129382","1.71875","0"
"38","1","candidate","1.7727429","1.71875","0"
"38","2","parent","1.9497048","1.828125","0"
"39","1","parent","1.7891474","1.765625","0"
"39","2","candidate","1.7813974","1.765625","0"
