"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.8449406","1.8125","0"
"1","2","candidate","1.6708634","1.625","0"
"2","1","candidate","1.7857663","1.765625","0"
"2","2","parent","1.7917378","1.78125","0"
"3","1","parent","1.821481","1.796875","0"
"3","2","candidate","1.7636477","1.75","0"
"4","1","candidate","1.7874318","1.78125","0"
"4","2","parent","1.7014833","1.65625","0"
"5","1","parent","1.8538316","1.828125","0"
"5","2","candidate","1.6680527","1.640625","0"
"6","1","candidate","1.7688219","1.75","0"
"6","2","parent","1.7959968","1.765625","0"
"7","1","parent","1.8102574","1.796875","0"
"7","2","candidate","1.7555368","1.71875","0"
"8","1","candidate","1.8022347","1.765625","0"
"8","2","parent","1.7448433","1.71875","0"
"9","1","parent","1.7850495","1.75","0"
"9","2","candidate","1.6831023","1.65625","0"
"10","1","candidate","1.7736695","1.734375","0"
"10","2","parent","1.784811","1.765625","0"
"11","1","parent","1.9981896","1.984375","0"
"11","2","candidate","1.8304057","1.796875","0"
"12","1","candidate","1.808121","1.765625","0"
"12","2","parent","1.7317254","1.703125","0"
"13","1","parent","1.7852769","1.765625","0"
"13","2","candidate","1.7339177","1.671875","0"
"14","1","candidate","1.8098322","1.75","0"
"14","2","parent","1.786328","1.765625","0"
"15","1","parent","1.9381795","1.890625","0"
"15","2","candidate","1.703678","1.6875","0"
"16","1","candidate","1.7842856","1.765625","0"
"16","2","parent","1.7635294","1.71875","0"
"17","1","parent","1.7587755","1.765625","0"
"17","2","candidate","1.7133368","1.71875","0"
"18","1","candidate","1.7097894","1.703125","0"
"18","2","parent","1.7442377","1.703125","0"
"19","1","parent","1.8228701","1.8125","0"
"19","2","candidate","1.711153","1.703125","0"
"20","1","candidate","1.8172419","1.78125","0"
"20","2","parent","1.7619468","1.703125","0"
"21","1","parent","1.7935258","1.75","0"
"21","2","candidate","1.7123834","1.671875","0"
"22","1","candidate","1.7370634","1.71875","0"
"22","2","parent","1.7708617","1.75","0"
"23","1","parent","1.8240415","1.75","0"
"23","2","candidate","1.7224344","1.6875","0"
"24","1","candidate","1.7426586","1.71875","0"
"24","2","parent","1.7548261","1.703125","0"
"25","1","parent","1.7543512","1.734375","0"
"25","2","candidate","1.6886318","1.65625","0"
"26","1","candidate","1.732706","1.71875","0"
"26","2","parent","1.980783","1.953125","0"
"27","1","parent","1.8460165","1.796875","0"
"27","2","candidate","1.7455381","1.703125","0"
"28","1","candidate","1.7522362","1.71875","0"
"28","2","parent","1.7860352","1.75","0"
"29","1","parent","1.7382708","1.734375","0"
"29","2","candidate","1.7468304","1.734375","0"
"30","1","candidate","1.7686657","1.75","0"
"30","2","parent","1.9349377","1.90625","0"
"31","1","parent","1.9493113","1.890625","0"
"31","2","candidate","1.7356684","1.703125","0"
"32","1","candidate","1.7096069","1.671875","0"
"32","2","parent","1.7978106","1.78125","0"
"33","1","parent","1.750027","1.6875","0"
"33","2","candidate","1.7200091","1.65625","0"
"34","1","candidate","1.7494425","1.71875","0"
"34","2","parent","1.8174568","1.765625","0"
"35","1","parent","1.8041366","1.765625","0"
"35","2","candidate","1.7570035","1.734375","0"
"36","1","candidate","1.7347531","1.71875","0"
"36","2","parent","1.8080396","1.78125","0"
"37","1","parent","1.7367788","1.71875","0"
"37","2","candidate","1.7928222","1.765625","0"
"38","1","candidate","1.7571421","1.734375","0"
"38","2","parent","1.8053212","1.78125","0"
"39","1","parent","1.7697845","1.734375","0"
"39","2","candidate","1.747694","1.640625","0"
"40","1","candidate","1.7261984","1.6875","0"
"40","2","parent","1.8301875","1.828125","0"
"41","1","parent","1.7336338","1.703125","0"
"41","2","candidate","1.8591029","1.84375","0"
"42","1","candidate","1.7254292","1.703125","0"
"42","2","parent","1.7683561","1.734375","0"
"43","1","parent","1.7740719","1.765625","0"
"43","2","candidate","1.7437892","1.703125","0"
"44","1","candidate","1.6974616","1.65625","0"
"44","2","parent","1.8191777","1.765625","0"
"45","1","parent","1.6897728","1.671875","0"
"45","2","candidate","1.7890825","1.75","0"
"46","1","candidate","1.6963228","1.640625","0"
"46","2","parent","1.7474157","1.734375","0"
"47","1","parent","1.7730939","1.75","0"
"47","2","candidate","1.7519393","1.6875","0"
"48","1","candidate","1.7379532","1.703125","0"
"48","2","parent","1.8470131","1.8125","0"
"49","1","parent","1.7178689","1.703125","0"
"49","2","candidate","1.8288511","1.796875","0"
"50","1","candidate","1.8174983","1.75","0"
"50","2","parent","1.9777222","1.953125","0"
"51","1","parent","1.8066034","1.8125","0"
"51","2","candidate","1.8180466","1.75","0"
"52","1","candidate","1.688889","1.640625","0"
"52","2","parent","1.8404839","1.8125","0"
"53","1","parent","1.6614189","1.625","0"
"53","2","candidate","1.7630551","1.734375","0"
"54","1","candidate","1.7170834","1.671875","0"
"54","2","parent","1.7698382","1.734375","0"
"55","1","parent","1.8139128","1.75","0"
"55","2","candidate","1.7600462","1.734375","0"
"56","1","candidate","1.718461","1.671875","0"
"56","2","parent","1.8244381","1.765625","0"
"57","1","parent","1.6793718","1.640625","0"
"57","2","candidate","1.7903624","1.75","0"
"58","1","candidate","1.7269858","1.734375","0"
"58","2","parent","1.7693847","1.703125","0"
"59","1","parent","1.7408967","1.71875","0"
"59","2","candidate","1.7820682","1.71875","0"
"60","1","candidate","1.6824788","1.65625","0"
"60","2","parent","1.8117388","1.796875","0"
"61","1","parent","1.7230152","1.671875","0"
"61","2","candidate","1.800982","1.796875","0"
"62","1","candidate","1.720235","1.703125","0"
"62","2","parent","1.7830107","1.75","0"
"63","1","parent","1.7789823","1.75","0"
"63","2","candidate","1.8142498","1.765625","0"
"64","1","candidate","1.6790128","1.65625","0"
"64","2","parent","1.8114831","1.78125","0"
