"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7354407","1.703125","0"
"1","2","candidate","1.7743457","1.703125","0"
"2","1","candidate","1.6918446","1.65625","0"
"2","2","parent","1.775157","1.75","0"
"3","1","parent","1.7427881","1.71875","0"
"3","2","candidate","1.7000059","1.703125","0"
"4","1","candidate","1.7386356","1.6875","0"
"4","2","parent","1.7818602","1.75","0"
"5","1","parent","1.7147565","1.703125","0"
"5","2","candidate","1.7469112","1.734375","0"
"6","1","candidate","1.6800955","1.65625","0"
"6","2","parent","1.7476489","1.703125","0"
"7","1","parent","1.683359","1.671875","0"
"7","2","candidate","1.7223682","1.671875","0"
"8","1","candidate","1.7022003","1.65625","0"
"8","2","parent","1.8076683","1.78125","0"
"9","1","parent","1.7141151","1.6875","0"
"9","2","candidate","1.7847239","1.75","0"
"10","1","candidate","1.7038884","1.65625","0"
"10","2","parent","1.7912465","1.765625","0"
"11","1","parent","1.7313999","1.703125","0"
"11","2","candidate","1.7503423","1.71875","0"
"12","1","candidate","1.8483459","1.796875","0"
"12","2","parent","1.9460183","1.921875","0"
"13","1","parent","1.7558745","1.734375","0"
"13","2","candidate","1.7914163","1.765625","0"
"14","1","candidate","1.6644826","1.625","0"
"14","2","parent","1.7401503","1.703125","0"
"15","1","parent","1.675023","1.625","0"
"15","2","candidate","1.7343742","1.703125","0"
"16","1","candidate","1.7265435","1.6875","0"
"16","2","parent","1.8064406","1.765625","0"
"17","1","parent","1.7528437","1.71875","0"
"17","2","candidate","1.8109626","1.796875","0"
"18","1","candidate","1.6944232","1.640625","0"
"18","2","parent","1.7816681","1.765625","0"
"19","1","parent","1.6958067","1.640625","0"
"19","2","candidate","1.7508986","1.71875","0"
"20","1","candidate","1.7307358","1.6875","0"
"20","2","parent","1.7418172","1.71875","0"
"21","1","parent","1.7166843","1.6875","0"
"21","2","candidate","1.7662746","1.75","0"
"22","1","candidate","1.648266","1.609375","0"
"22","2","parent","1.7781721","1.71875","0"
"23","1","parent","1.6420426","1.59375","0"
"23","2","candidate","1.7871106","1.765625","0"
"24","1","candidate","1.7303341","1.703125","0"
"24","2","parent","1.77153","1.734375","0"
"25","1","parent","1.7355309","1.71875","0"
"25","2","candidate","1.7480051","1.734375","0"
"26","1","candidate","1.7097528","1.65625","0"
"26","2","parent","1.8044552","1.734375","0"
"27","1","parent","1.6526806","1.65625","0"
"27","2","candidate","1.7829066","1.765625","0"
"28","1","candidate","1.7111282","1.6875","0"
"28","2","parent","1.717624","1.703125","0"
"29","1","parent","1.7294635","1.671875","0"
"29","2","candidate","1.7424339","1.71875","0"
"30","1","candidate","1.7099503","1.703125","0"
"30","2","parent","1.8392251","1.8125","0"
"31","1","parent","1.7368757","1.6875","0"
"31","2","candidate","1.8007773","1.765625","0"
"32","1","candidate","1.9434908","1.890625","0"
"32","2","parent","1.8228372","1.796875","0"
"33","1","parent","1.7252653","1.703125","0"
"33","2","candidate","1.7751494","1.765625","0"
"34","1","candidate","1.6525583","1.640625","0"
"34","2","parent","1.8306867","1.78125","0"
"35","1","parent","1.6885475","1.65625","0"
"35","2","candidate","1.7795743","1.765625","0"
"36","1","candidate","1.6937747","1.65625","0"
"36","2","parent","1.7039932","1.671875","0"
"37","1","parent","1.7403089","1.703125","0"
"37","2","candidate","1.7895981","1.75","0"
"38","1","candidate","1.7284608","1.6875","0"
"38","2","parent","1.8156185","1.796875","0"
"39","1","parent","1.6512167","1.625","0"
"39","2","candidate","1.7669001","1.703125","0"
"40","1","candidate","1.6889529","1.640625","0"
"40","2","parent","1.7700784","1.71875","0"
"41","1","parent","1.772374","1.71875","0"
"41","2","candidate","1.7397694","1.703125","0"
"42","1","candidate","1.6918334","1.65625","0"
"42","2","parent","1.785467","1.75","0"
"43","1","parent","1.6548512","1.65625","0"
"43","2","candidate","1.7577708","1.734375","0"
"44","1","candidate","1.7406509","1.75","0"
"44","2","parent","1.7898378","1.734375","0"
"45","1","parent","1.7685775","1.75","0"
"45","2","candidate","1.7621559","1.75","0"
