"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7268963","1.703125","0"
"1","2","candidate","1.7279005","1.6875","0"
"2","1","candidate","1.7097197","1.671875","0"
"2","2","parent","1.6956505","1.6875","0"
"3","1","parent","1.7478517","1.734375","0"
"3","2","candidate","1.7126074","1.6875","0"
"4","1","candidate","1.7123466","1.71875","0"
"4","2","parent","1.7287681","1.703125","0"
"5","1","parent","1.7870974","1.734375","0"
"5","2","candidate","1.7030969","1.625","0"
"6","1","candidate","1.760815","1.71875","0"
"6","2","parent","1.7028956","1.671875","0"
"7","1","parent","1.7181392","1.6875","0"
"7","2","candidate","1.7806003","1.75","0"
"8","1","candidate","1.6767785","1.65625","0"
"8","2","parent","1.7192021","1.703125","0"
"9","1","parent","1.7201041","1.671875","0"
"9","2","candidate","1.7397249","1.671875","0"
"10","1","candidate","1.7216182","1.703125","0"
"10","2","parent","1.7321495","1.734375","0"
"11","1","parent","1.7674696","1.75","0"
"11","2","candidate","1.7685675","1.734375","0"
"12","1","candidate","1.7342086","1.6875","0"
"12","2","parent","1.7904911","1.765625","0"
"13","1","parent","1.995612","1.953125","0"
"13","2","candidate","1.7894354","1.75","0"
"14","1","candidate","1.7364076","1.703125","0"
"14","2","parent","1.7298476","1.703125","0"
"15","1","parent","1.7312801","1.6875","0"
"15","2","candidate","1.7775758","1.75","0"
"16","1","candidate","1.6946669","1.65625","0"
"16","2","parent","1.779885","1.6875","0"
"17","1","parent","1.6724816","1.640625","0"
"17","2","candidate","1.7325051","1.71875","0"
"18","1","candidate","1.6917099","1.671875","0"
"18","2","parent","1.7236491","1.6875","0"
"19","1","parent","1.7499418","1.75","0"
"19","2","candidate","1.875655","1.859375","0"
"20","1","candidate","1.7483916","1.734375","0"
"20","2","parent","1.8599794","1.828125","0"
"21","1","parent","1.7381653","1.71875","0"
"21","2","candidate","1.7565788","1.71875","0"
"22","1","candidate","1.6432851","1.625","0"
"22","2","parent","1.7981164","1.796875","0"
"23","1","parent","1.7246419","1.71875","0"
"23","2","candidate","1.7014972","1.671875","0"
"24","1","candidate","1.7334148","1.734375","0"
"24","2","parent","1.8161398","1.796875","0"
"25","1","parent","1.6906553","1.640625","0"
"25","2","candidate","1.764283","1.734375","0"
"26","1","candidate","1.6731204","1.640625","0"
"26","2","parent","1.8320017","1.796875","0"
"27","1","parent","1.7087726","1.671875","0"
"27","2","candidate","1.6460456","1.625","0"
"28","1","candidate","1.5729331","1.546875","0"
"28","2","parent","1.5765168","1.53125","0"
"29","1","parent","1.5589234","1.53125","0"
"29","2","candidate","1.5737782","1.546875","0"
"30","1","candidate","1.5876097","1.53125","0"
"30","2","parent","1.57821","1.515625","0"
"31","1","parent","1.5701903","1.546875","0"
"31","2","candidate","1.6085729","1.59375","0"
"32","1","candidate","1.5761235","1.546875","0"
"32","2","parent","1.5833536","1.5625","0"
"33","1","parent","1.6019949","1.5625","0"
"33","2","candidate","1.7571971","1.625","0"
"34","1","candidate","1.766672","1.765625","0"
"34","2","parent","1.726923","1.703125","0"
"35","1","parent","1.6127514","1.625","0"
"35","2","candidate","1.5599688","1.546875","0"
"36","1","candidate","1.5782557","1.546875","0"
"36","2","parent","1.5996989","1.59375","0"
"37","1","parent","1.6102589","1.59375","0"
"37","2","candidate","1.6220842","1.5625","0"
"38","1","candidate","1.5964718","1.546875","0"
"38","2","parent","1.5629793","1.53125","0"
"39","1","parent","1.5543576","1.53125","0"
"39","2","candidate","1.5607639","1.515625","0"
"40","1","candidate","1.5534075","1.515625","0"
"40","2","parent","1.5754464","1.5625","0"
"41","1","parent","1.637815","1.609375","0"
"41","2","candidate","1.5823001","1.53125","0"
"42","1","candidate","1.6164666","1.609375","0"
"42","2","parent","1.5525679","1.515625","0"
"43","1","parent","1.8529576","1.796875","0"
"43","2","candidate","1.7200878","1.703125","0"
"44","1","candidate","1.6069616","1.546875","0"
"44","2","parent","1.6055762","1.546875","0"
"45","1","parent","1.6072741","1.59375","0"
"45","2","candidate","1.5840662","1.578125","0"
"46","1","candidate","1.5678167","1.546875","0"
"46","2","parent","1.5979136","1.5625","0"
"47","1","parent","1.5693578","1.546875","0"
"47","2","candidate","1.5656538","1.515625","0"
"48","1","candidate","1.5913738","1.546875","0"
"48","2","parent","1.6396403","1.640625","0"
"49","1","parent","1.6039736","1.578125","0"
"49","2","candidate","1.5776386","1.5625","0"
"50","1","candidate","1.5627515","1.53125","0"
"50","2","parent","1.5760122","1.53125","0"
"51","1","parent","1.5571589","1.53125","0"
"51","2","candidate","1.5677589","1.578125","0"
"52","1","candidate","1.6592366","1.609375","0"
"52","2","parent","1.6259907","1.625","0"
"53","1","parent","1.5762424","1.53125","0"
"53","2","candidate","1.5576351","1.515625","0"
"54","1","candidate","1.5689889","1.5","0"
"54","2","parent","1.5731851","1.546875","0"
"55","1","parent","1.587185","1.5625","0"
"55","2","candidate","1.5826853","1.515625","0"
