"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","3.6928855","2.375","0"
"1","2","candidate","3.8214566","2.4375","0"
"2","1","candidate","2.5582184","2.375","0"
"2","2","parent","2.4626504","2.40625","0"
"3","1","parent","1.9329748","1.90625","0"
"3","2","candidate","2.1704491","2.109375","0"
"4","1","candidate","2.1181307","2.078125","0"
"4","2","parent","2.130768","2.078125","0"
"5","1","parent","2.204098","2.171875","0"
"5","2","candidate","1.9381491","1.890625","0"
"6","1","candidate","2.0155783","1.953125","0"
"6","2","parent","2.2336751","2.203125","0"
"7","1","parent","2.1280153","2.046875","0"
"7","2","candidate","2.0579414","2.015625","0"
"8","1","candidate","2.0957414","2.015625","0"
"8","2","parent","2.1795832","2.15625","0"
"9","1","parent","2.0936393","2.078125","0"
"9","2","candidate","2.2516759","2.21875","0"
"10","1","candidate","2.0879949","2.046875","0"
"10","2","parent","2.3554899","2.296875","0"
"11","1","parent","1.9765293","1.90625","0"
"11","2","candidate","2.2069206","1.953125","0"
"12","1","candidate","1.9184767","1.84375","0"
"12","2","parent","2.2082102","2.09375","0"
"13","1","parent","1.9759397","1.90625","0"
"13","2","candidate","2.0511821","2.015625","0"
"14","1","candidate","1.8751239","1.859375","0"
"14","2","parent","2.0073523","1.96875","0"
"15","1","parent","1.9862864","1.953125","0"
"15","2","candidate","1.9740593","1.953125","0"
"16","1","candidate","1.891089","1.84375","0"
"16","2","parent","2.0456912","2.046875","0"
"17","1","parent","1.9315264","1.90625","0"
"17","2","candidate","1.8718086","1.875","0"
"18","1","candidate","2.061913","1.984375","0"
"18","2","parent","2.001944","1.9375","0"
"19","1","parent","2.3630331","2.28125","0"
"19","2","candidate","1.9326579","1.890625","0"
"20","1","candidate","2.1371653","2.078125","0"
"20","2","parent","2.1029612","2.03125","0"
"21","1","parent","2.1109463","2.078125","0"
"21","2","candidate","2.1656655","2.125","0"
"22","1","candidate","2.1460111","2.09375","0"
"22","2","parent","2.1406399","2.125","0"
"23","1","parent","2.3539665","2.3125","0"
"23","2","candidate","2.038754","2","0"
"24","1","candidate","2.0699269","2.0625","0"
"24","2","parent","1.9491635","1.890625","0"
"25","1","parent","2.1778916","2.078125","0"
"25","2","candidate","1.7864078","1.75","0"
"26","1","candidate","2.0203937","1.984375","0"
"26","2","parent","2.1307981","2.0625","0"
"27","1","parent","1.986027","1.953125","0"
"27","2","candidate","1.8743931","1.8125","0"
"28","1","candidate","1.8400265","1.8125","0"
"28","2","parent","1.8194743","1.734375","0"
"29","1","parent","1.7819754","1.734375","0"
"29","2","candidate","1.8703097","1.828125","0"
"30","1","candidate","1.7680351","1.75","0"
"30","2","parent","1.9293521","1.890625","0"
"31","1","parent","1.9598689","1.875","0"
"31","2","candidate","1.8344955","1.8125","0"
"32","1","candidate","1.77256","1.71875","0"
"32","2","parent","1.7544774","1.734375","0"
"33","1","parent","1.8076166","1.75","0"
"33","2","candidate","1.6852382","1.65625","0"
"34","1","candidate","1.7198601","1.640625","0"
"34","2","parent","1.7148663","1.6875","0"
"35","1","parent","1.7143106","1.6875","0"
"35","2","candidate","1.6796789","1.671875","0"
"36","1","candidate","2.0402835","2.03125","0"
"36","2","parent","1.9720282","1.9375","0"
"37","1","parent","1.9512003","1.921875","0"
"37","2","candidate","1.9153363","1.875","0"
"38","1","candidate","1.9730954","1.90625","0"
"38","2","parent","2.0561955","2.03125","0"
"39","1","parent","1.909271","1.875","0"
"39","2","candidate","1.8335837","1.78125","0"
"40","1","candidate","1.6659047","1.578125","0"
"40","2","parent","1.7504257","1.703125","0"
"41","1","parent","1.9541592","1.90625","0"
"41","2","candidate","1.8292098","1.796875","0"
"42","1","candidate","1.7369673","1.6875","0"
"42","2","parent","1.826684","1.796875","0"
"43","1","parent","1.8599001","1.8125","0"
"43","2","candidate","1.8972381","1.796875","0"
"44","1","candidate","1.8932802","1.859375","0"
"44","2","parent","1.8482288","1.8125","0"
"45","1","parent","1.8972203","1.875","0"
"45","2","candidate","1.9524105","1.90625","0"
"46","1","candidate","1.8287005","1.8125","0"
"46","2","parent","1.9278025","1.84375","0"
"47","1","parent","1.7538081","1.75","0"
"47","2","candidate","1.6784212","1.625","0"
"48","1","candidate","1.8210071","1.765625","0"
"48","2","parent","1.830413","1.8125","0"
"49","1","parent","1.8929824","1.75","0"
"49","2","candidate","1.9674717","1.9375","0"
"50","1","candidate","1.8787753","1.828125","0"
"50","2","parent","1.8735634","1.828125","0"
"51","1","parent","1.8662042","1.796875","0"
"51","2","candidate","1.7830436","1.765625","0"
"52","1","candidate","1.8564078","1.8125","0"
"52","2","parent","1.9119236","1.875","0"
"53","1","parent","2.1174705","2.09375","0"
"53","2","candidate","1.8162302","1.765625","0"
"54","1","candidate","1.7087329","1.703125","0"
"54","2","parent","1.7329481","1.703125","0"
"55","1","parent","1.7304561","1.71875","0"
"55","2","candidate","1.7007806","1.640625","0"
"56","1","candidate","1.687276","1.625","0"
"56","2","parent","1.7862238","1.765625","0"
"57","1","parent","1.8811725","1.859375","0"
"57","2","candidate","1.8279869","1.734375","0"
"58","1","candidate","1.9045622","1.859375","0"
"58","2","parent","1.8368437","1.765625","0"
"59","1","parent","1.8130839","1.75","0"
"59","2","candidate","1.8268234","1.734375","0"
"60","1","candidate","1.7939639","1.75","0"
"60","2","parent","1.9183014","1.859375","0"
"61","1","parent","1.9792243","1.90625","0"
"61","2","candidate","1.7906276","1.6875","0"
"62","1","candidate","1.8245816","1.796875","0"
"62","2","parent","1.8664586","1.796875","0"
"63","1","parent","1.9613391","1.90625","0"
"63","2","candidate","1.8343074","1.78125","0"
"64","1","candidate","1.8527234","1.765625","0"
"64","2","parent","1.9086966","1.859375","0"
