"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","4.6289104","3.234375","0"
"1","2","candidate","5.0956338","3.59375","0"
"2","1","candidate","3.7400619","3.578125","0"
"2","2","parent","3.7823155","3.609375","0"
"3","1","parent","3.8394688","3.65625","0"
"3","2","candidate","3.846698","3.703125","0"
"4","1","candidate","4.0119896","3.640625","0"
"4","2","parent","3.8703108","3.734375","0"
"5","1","parent","4.2120639","4.0625","0"
"5","2","candidate","4.1904017","4","0"
"6","1","candidate","3.8441448","3.765625","0"
"6","2","parent","3.9986863","3.765625","0"
"7","1","parent","3.8348072","3.703125","0"
"7","2","candidate","3.7336234","3.625","0"
"8","1","candidate","3.8900541","3.765625","0"
"8","2","parent","3.8572317","3.703125","0"
"9","1","parent","3.8651298","3.75","0"
"9","2","candidate","3.8692834","3.78125","0"
"10","1","candidate","3.9249254","3.859375","0"
"10","2","parent","3.7723096","3.65625","0"
"11","1","parent","3.8885473","3.671875","0"
"11","2","candidate","3.8819499","3.765625","0"
"12","1","candidate","3.9430787","3.796875","0"
"12","2","parent","3.9247521","3.59375","0"
"13","1","parent","3.8244404","3.703125","0"
"13","2","candidate","3.7747296","3.640625","0"
"14","1","candidate","3.8541376","3.734375","0"
"14","2","parent","3.7989331","3.609375","0"
"15","1","parent","3.8853749","3.703125","0"
"15","2","candidate","3.9291892","3.796875","0"
"16","1","candidate","3.889827","3.59375","0"
"16","2","parent","3.8271582","3.734375","0"
"17","1","parent","3.8305558","3.703125","0"
"17","2","candidate","3.7510363","3.609375","0"
"18","1","candidate","3.9985562","3.875","0"
"18","2","parent","3.8081673","3.609375","0"
"19","1","parent","3.7023343","3.578125","0"
"19","2","candidate","3.8426385","3.703125","0"
"20","1","candidate","3.6164063","3.453125","0"
"20","2","parent","3.8873727","3.765625","0"
"21","1","parent","3.6930915","3.5625","0"
"21","2","candidate","3.7549843","3.625","0"
"22","1","candidate","3.8059377","3.625","0"
"22","2","parent","4.1336968","3.9375","0"
"23","1","parent","4.1550404","4.0625","0"
"23","2","candidate","3.651481","3.515625","0"
"24","1","candidate","3.7905186","3.640625","0"
"24","2","parent","3.7145316","3.65625","0"
"25","1","parent","3.7381593","3.609375","0"
"25","2","candidate","3.6492195","3.515625","0"
"26","1","candidate","3.536972","3.453125","0"
"26","2","parent","3.6469219","3.453125","0"
"27","1","parent","3.6853867","3.5625","0"
"27","2","candidate","3.6025675","3.40625","0"
"28","1","candidate","3.7176928","3.640625","0"
"28","2","parent","3.7049298","3.640625","0"
"29","1","parent","3.5365403","3.375","0"
"29","2","candidate","3.6830589","3.609375","0"
"30","1","candidate","3.6699596","3.5","0"
"30","2","parent","3.6459768","3.4375","0"
"31","1","parent","3.7124557","3.578125","0"
"31","2","candidate","3.5713405","3.421875","0"
"32","1","candidate","3.5853155","3.390625","0"
"32","2","parent","3.6946239","3.421875","0"
"33","1","parent","4.0249898","3.703125","0"
"33","2","candidate","3.6197968","3.375","0"
"34","1","candidate","3.7813923","3.6875","0"
"34","2","parent","3.5680984","3.46875","0"
"35","1","parent","3.6264025","3.4375","0"
"35","2","candidate","3.740725","3.390625","0"
"36","1","candidate","3.4283759","3.3125","0"
"36","2","parent","3.6159183","3.421875","0"
"37","1","parent","3.6753631","3.46875","0"
"37","2","candidate","3.7480436","3.65625","0"
"38","1","candidate","3.5680748","3.5","0"
"38","2","parent","3.7021451","3.546875","0"
"39","1","parent","3.5928222","3.4375","0"
"39","2","candidate","3.6843476","3.546875","0"
"40","1","candidate","3.607507","3.46875","0"
"40","2","parent","3.785298","3.46875","0"
"41","1","parent","3.6577959","3.546875","0"
