"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.9799764","1.96875","0"
"1","2","candidate","1.8098961","1.796875","0"
"2","1","candidate","1.8206219","1.78125","0"
"2","2","parent","1.7946457","1.765625","0"
"3","1","parent","1.8235202","1.8125","0"
"3","2","candidate","1.8075647","1.75","0"
"4","1","candidate","1.8013586","1.71875","0"
"4","2","parent","1.927033","1.890625","0"
"5","1","parent","1.8188879","1.734375","0"
"5","2","candidate","1.854486","1.796875","0"
"6","1","candidate","1.8662065","1.828125","0"
"6","2","parent","1.8840081","1.78125","0"
"7","1","parent","1.8351774","1.75","0"
"7","2","candidate","1.8386809","1.8125","0"
"8","1","candidate","1.8316211","1.796875","0"
"8","2","parent","1.8232408","1.75","0"
"9","1","parent","1.8467171","1.796875","0"
"9","2","candidate","1.8231267","1.765625","0"
"10","1","candidate","1.8244515","1.8125","0"
"10","2","parent","1.8458012","1.78125","0"
"11","1","parent","1.8309806","1.78125","0"
"11","2","candidate","1.8262048","1.8125","0"
"12","1","candidate","1.9966859","1.96875","0"
"12","2","parent","2.1405145","2.046875","0"
"13","1","parent","2.1789678","2.125","0"
"13","2","candidate","2.1893703","2.15625","0"
"14","1","candidate","2.1632255","2.09375","0"
"14","2","parent","1.9270083","1.890625","0"
"15","1","parent","1.8244173","1.8125","0"
"15","2","candidate","1.8286109","1.796875","0"
"16","1","candidate","1.8517192","1.828125","0"
"16","2","parent","2.0109573","1.9375","0"
"17","1","parent","2.0180647","1.96875","0"
"17","2","candidate","2.3830951","2.234375","0"
"18","1","candidate","2.0460901","1.984375","0"
"18","2","parent","1.8723025","1.859375","0"
"19","1","parent","1.8769634","1.828125","0"
"19","2","candidate","1.8357348","1.765625","0"
"20","1","candidate","1.9177539","1.890625","0"
"20","2","parent","2.0149954","1.953125","0"
"21","1","parent","1.8765572","1.828125","0"
"21","2","candidate","1.8342595","1.78125","0"
"22","1","candidate","1.8896755","1.828125","0"
"22","2","parent","1.8403441","1.796875","0"
"23","1","parent","1.8250331","1.78125","0"
"23","2","candidate","1.8146194","1.71875","0"
"24","1","candidate","1.8241894","1.796875","0"
"24","2","parent","1.8237488","1.765625","0"
"25","1","parent","1.7984302","1.765625","0"
"25","2","candidate","1.8347645","1.796875","0"
"26","1","candidate","1.8220866","1.765625","0"
"26","2","parent","1.8257851","1.78125","0"
"27","1","parent","1.8062157","1.765625","0"
"27","2","candidate","1.8182895","1.78125","0"
"28","1","candidate","1.9217726","1.75","0"
"28","2","parent","1.8129688","1.796875","0"
"29","1","parent","1.8583932","1.8125","0"
"29","2","candidate","1.8463706","1.8125","0"
"30","1","candidate","1.8316749","1.78125","0"
"30","2","parent","1.827248","1.78125","0"
"31","1","parent","1.8147214","1.78125","0"
"31","2","candidate","1.8197323","1.6875","0"
"32","1","candidate","1.8126609","1.78125","0"
"32","2","parent","1.8139851","1.765625","0"
"33","1","parent","1.8292932","1.78125","0"
"33","2","candidate","1.8564962","1.78125","0"
"34","1","candidate","1.8590827","1.796875","0"
"34","2","parent","1.8235789","1.78125","0"
"35","1","parent","1.9270879","1.78125","0"
"35","2","candidate","1.8193033","1.8125","0"
"36","1","candidate","1.8085074","1.734375","0"
"36","2","parent","1.8205573","1.75","0"
"37","1","parent","1.8295152","1.765625","0"
"37","2","candidate","1.8423492","1.78125","0"
"38","1","candidate","1.8276772","1.78125","0"
"38","2","parent","1.8244257","1.78125","0"
"39","1","parent","1.8160049","1.734375","0"
"39","2","candidate","1.8324173","1.796875","0"
"40","1","candidate","1.8365639","1.78125","0"
"40","2","parent","1.8092592","1.796875","0"
"41","1","parent","1.8183708","1.734375","0"
"41","2","candidate","1.9436779","1.859375","0"
"42","1","candidate","1.9312946","1.90625","0"
"42","2","parent","2.1077548","1.984375","0"
"43","1","parent","2.2276741","2.171875","0"
"43","2","candidate","1.8727461","1.84375","0"
"44","1","candidate","1.8279789","1.765625","0"
"44","2","parent","1.8471359","1.78125","0"
"45","1","parent","1.9660282","1.953125","0"
"45","2","candidate","1.9149205","1.84375","0"
"46","1","candidate","2.1567343","2.109375","0"
"46","2","parent","1.890815","1.859375","0"
"47","1","parent","1.8239077","1.8125","0"
"47","2","candidate","2.2925048","2.21875","0"
"48","1","candidate","1.9338754","1.890625","0"
"48","2","parent","1.8413533","1.8125","0"
"49","1","parent","1.8668816","1.828125","0"
"49","2","candidate","1.8153711","1.796875","0"
"50","1","candidate","1.8336358","1.828125","0"
"50","2","parent","1.8282488","1.8125","0"
"51","1","parent","1.8515873","1.796875","0"
"51","2","candidate","1.8195967","1.75","0"
"52","1","candidate","1.9259453","1.90625","0"
"52","2","parent","1.8327403","1.8125","0"
"53","1","parent","1.8166191","1.78125","0"
"53","2","candidate","1.8354273","1.796875","0"
"54","1","candidate","1.8207239","1.796875","0"
"54","2","parent","1.8272572","1.78125","0"
"55","1","parent","1.8311341","1.75","0"
"55","2","candidate","1.9504551","1.890625","0"
"56","1","candidate","1.8405542","1.8125","0"
"56","2","parent","1.9003346","1.796875","0"
"57","1","parent","1.8422834","1.78125","0"
"57","2","candidate","1.9585827","1.765625","0"
"58","1","candidate","1.8474779","1.8125","0"
