"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.2153023","2.171875","0"
"1","2","candidate","2.075471","2.015625","0"
"2","1","candidate","2.0422886","1.984375","0"
"2","2","parent","2.0022455","1.953125","0"
"3","1","parent","2.0001251","1.984375","0"
"3","2","candidate","2.1452094","2.046875","0"
"4","1","candidate","2.1290703","2.109375","0"
"4","2","parent","2.3395074","2.296875","0"
"5","1","parent","2.2818038","2.25","0"
"5","2","candidate","1.9468821","1.921875","0"
"6","1","candidate","1.9677181","1.875","0"
"6","2","parent","2.1125798","2.078125","0"
"7","1","parent","2.3030019","2.25","0"
"7","2","candidate","2.1228109","2.0625","0"
"8","1","candidate","2.2493852","2.21875","0"
"8","2","parent","2.1633061","2.09375","0"
"9","1","parent","2.1366852","2.09375","0"
"9","2","candidate","2.1794501","2.140625","0"
"10","1","candidate","2.2070373","2.15625","0"
"10","2","parent","2.1753337","2.125","0"
"11","1","parent","2.1611118","2.0625","0"
"11","2","candidate","2.188192","2.140625","0"
"12","1","candidate","2.2149433","2.171875","0"
"12","2","parent","2.1949725","2.046875","0"
"13","1","parent","2.3330197","2.296875","0"
"13","2","candidate","2.1182681","1.9375","0"
"14","1","candidate","1.7624816","1.734375","0"
"14","2","parent","1.8192016","1.78125","0"
"15","1","parent","2.0667162","2.03125","0"
"15","2","candidate","1.996258","1.9375","0"
"16","1","candidate","1.9780883","1.90625","0"
"16","2","parent","2.1150805","2.0625","0"
"17","1","parent","1.872657","1.8125","0"
"17","2","candidate","2.0260991","1.96875","0"
"18","1","candidate","1.9989367","1.9375","0"
"18","2","parent","1.8389702","1.8125","0"
"19","1","parent","2.163599","2.140625","0"
"19","2","candidate","2.2112899","2.171875","0"
"20","1","candidate","2.2330233","2.1875","0"
"20","2","parent","2.2147726","2.203125","0"
"21","1","parent","2.1599063","2.0625","0"
"21","2","candidate","1.9876889","1.984375","0"
"22","1","candidate","1.9788684","1.9375","0"
"22","2","parent","1.9821333","1.90625","0"
"23","1","parent","1.9728809","1.90625","0"
"23","2","candidate","1.9389772","1.875","0"
"24","1","candidate","1.9338509","1.875","0"
"24","2","parent","1.9597384","1.875","0"
"25","1","parent","1.9571991","1.90625","0"
"25","2","candidate","1.9665144","1.96875","0"
"26","1","candidate","1.9742636","1.9375","0"
"26","2","parent","1.9746227","1.953125","0"
"27","1","parent","2.087301","2.015625","0"
"27","2","candidate","1.9623369","1.875","0"
"28","1","candidate","2.0841989","2.03125","0"
"28","2","parent","2.0175067","1.90625","0"
"29","1","parent","2.1158922","2.078125","0"
"29","2","candidate","1.9514063","1.9375","0"
"30","1","candidate","1.9436605","1.9375","0"
"30","2","parent","2.0470456","1.984375","0"
"31","1","parent","2.0566864","1.953125","0"
"31","2","candidate","2.0266807","1.96875","0"
"32","1","candidate","1.947279","1.890625","0"
"32","2","parent","1.9636783","1.90625","0"
"33","1","parent","1.9939477","1.9375","0"
"33","2","candidate","2.0489648","2.046875","0"
"34","1","candidate","2.1402813","2.0625","0"
"34","2","parent","2.2042049","2.171875","0"
"35","1","parent","1.97731","1.96875","0"
"35","2","candidate","2.0095426","1.984375","0"
"36","1","candidate","1.9959811","1.921875","0"
"36","2","parent","1.9663616","1.921875","0"
