"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.0513768","2.03125","0"
"1","2","candidate","2.0192791","1.96875","0"
"2","1","candidate","2.0446173","1.984375","0"
"2","2","parent","2.0104719","1.953125","0"
"3","1","parent","2.1442244","2.125","0"
"3","2","candidate","2.0500192","2.015625","0"
"4","1","candidate","2.0933627","2","0"
"4","2","parent","2.1365867","1.96875","0"
"5","1","parent","2.0007732","1.953125","0"
"5","2","candidate","2.0983071","2.046875","0"
"6","1","candidate","2.0095461","1.890625","0"
"6","2","parent","2.0879179","1.953125","0"
"7","1","parent","2.1451958","2.125","0"
"7","2","candidate","2.0309571","2","0"
"8","1","candidate","2.0989814","2.0625","0"
"8","2","parent","2.0230193","2.015625","0"
"9","1","parent","2.1710714","1.953125","0"
"9","2","candidate","2.0928063","2.0625","0"
"10","1","candidate","2.2121505","2.0625","0"
"10","2","parent","2.1465057","2.109375","0"
"11","1","parent","2.5853208","2.5","0"
"11","2","candidate","2.3416381","2.296875","0"
"12","1","candidate","2.1781893","2.15625","0"
"12","2","parent","2.2195756","2.21875","0"
"13","1","parent","2.3096055","2.203125","0"
"13","2","candidate","2.294075","2.1875","0"
"14","1","candidate","2.2202881","2.1875","0"
"14","2","parent","2.2575251","2.03125","0"
"15","1","parent","2.3370348","2.265625","0"
"15","2","candidate","2.247529","2.203125","0"
"16","1","candidate","2.166082","2","0"
"16","2","parent","2.07945","2.046875","0"
"17","1","parent","2.1457806","1.921875","0"
"17","2","candidate","2.1145098","2.09375","0"
"18","1","candidate","2.1033175","2.046875","0"
"18","2","parent","2.1260244","2.109375","0"
"19","1","parent","2.1643127","1.984375","0"
"19","2","candidate","2.1810288","2.15625","0"
"20","1","candidate","2.0964059","2.0625","0"
"20","2","parent","2.1020644","2.0625","0"
"21","1","parent","2.0357948","2.03125","0"
"21","2","candidate","2.0928605","2.046875","0"
"22","1","candidate","2.1536939","2.125","0"
"22","2","parent","2.2089757","2.15625","0"
"23","1","parent","2.0545945","1.96875","0"
"23","2","candidate","2.1147559","2.09375","0"
"24","1","candidate","2.2266236","2.171875","0"
"24","2","parent","2.0226558","1.9375","0"
"25","1","parent","2.1943383","2.15625","0"
"25","2","candidate","2.1680592","2.140625","0"
"26","1","candidate","2.1569719","2.15625","0"
"26","2","parent","2.0661706","2.046875","0"
"27","1","parent","2.1433848","2.125","0"
