"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","2.4133497","2.3125","0"
"1","2","candidate","2.3671576","2.328125","0"
"2","1","candidate","2.3097348","2.25","0"
"2","2","parent","2.2695472","2.234375","0"
"3","1","parent","2.477515","2.4375","0"
"3","2","candidate","2.6114273","2.59375","0"
"4","1","candidate","2.3699872","2.3125","0"
"4","2","parent","2.3647943","2.28125","0"
"5","1","parent","2.3209543","2.28125","0"
"5","2","candidate","2.4039828","2.34375","0"
"6","1","candidate","2.4181542","2.265625","0"
"6","2","parent","2.436463","2.375","0"
"7","1","parent","2.2362756","2.1875","0"
"7","2","candidate","2.3429025","2.28125","0"
"8","1","candidate","2.8749132","2.75","0"
"8","2","parent","2.3909822","2.328125","0"
"9","1","parent","2.3361001","2.296875","0"
"9","2","candidate","2.5473399","2.46875","0"
"10","1","candidate","2.5631812","2.484375","0"
"10","2","parent","2.2595227","2.203125","0"
"11","1","parent","2.3471379","2.3125","0"
"11","2","candidate","2.4067021","2.3125","0"
"12","1","candidate","2.3719569","2.359375","0"
"12","2","parent","2.5299899","2.453125","0"
"13","1","parent","2.319821","2.25","0"
"13","2","candidate","2.3841088","2.359375","0"
"14","1","candidate","2.3358081","2.28125","0"
"14","2","parent","2.3738333","2.3125","0"
"15","1","parent","2.3430351","2.3125","0"
"15","2","candidate","2.5054221","2.40625","0"
"16","1","candidate","2.6306165","2.5625","0"
"16","2","parent","2.3527481","2.28125","0"
"17","1","parent","2.5237518","2.46875","0"
"17","2","candidate","2.2901161","2.21875","0"
"18","1","candidate","2.3475472","2.28125","0"
"18","2","parent","2.4057306","2.359375","0"
"19","1","parent","2.3087662","2.265625","0"
"19","2","candidate","2.393349","2.34375","0"
"20","1","candidate","2.3701638","2.328125","0"
"20","2","parent","2.5347583","2.515625","0"
"21","1","parent","2.3275655","2.28125","0"
"21","2","candidate","2.4400258","2.375","0"
"22","1","candidate","2.5933361","2.484375","0"
"22","2","parent","2.6402108","2.5625","0"
"23","1","parent","2.6255137","2.4375","0"
"23","2","candidate","2.3525598","2.3125","0"
"24","1","candidate","2.6138897","2.5625","0"
"24","2","parent","2.5594681","2.5","0"
"25","1","parent","2.3508991","2.265625","0"
"25","2","candidate","2.3580136","2.3125","0"
