"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7304261","1.671875","0"
"1","2","candidate","1.6941049","1.671875","0"
"2","1","candidate","1.6926248","1.65625","0"
"2","2","parent","1.5767701","1.53125","0"
"3","1","parent","1.5688146","1.578125","0"
"3","2","candidate","1.6438971","1.609375","0"
"4","1","candidate","1.5578838","1.515625","0"
"4","2","parent","1.5429013","1.453125","0"
"5","1","parent","1.5408764","1.484375","0"
"5","2","candidate","1.5445826","1.515625","0"
"6","1","candidate","1.5415635","1.53125","0"
"6","2","parent","1.5407168","1.5","0"
"7","1","parent","1.5324745","1.5","0"
"7","2","candidate","1.5344342","1.515625","0"
"8","1","candidate","1.5940376","1.578125","0"
"8","2","parent","1.5253431","1.515625","0"
"9","1","parent","1.5853794","1.515625","0"
"9","2","candidate","1.6526154","1.46875","0"
"10","1","candidate","1.5614132","1.53125","0"
"10","2","parent","1.5310167","1.453125","0"
"11","1","parent","1.53418","1.484375","0"
"11","2","candidate","1.6463456","1.625","0"
"12","1","candidate","1.5344515","1.5","0"
"12","2","parent","1.5488589","1.46875","0"
"13","1","parent","1.5209886","1.46875","0"
"13","2","candidate","1.5306165","1.484375","0"
"14","1","candidate","1.5403456","1.515625","0"
"14","2","parent","1.5540439","1.5625","0"
"15","1","parent","1.552772","1.484375","0"
"15","2","candidate","1.5577029","1.5","0"
"16","1","candidate","1.6048448","1.546875","0"
"16","2","parent","1.5444599","1.515625","0"
"17","1","parent","1.5653036","1.53125","0"
"17","2","candidate","1.5555572","1.484375","0"
"18","1","candidate","1.5543841","1.53125","0"
"18","2","parent","1.7368575","1.578125","0"
"19","1","parent","1.7439117","1.71875","0"
"19","2","candidate","1.5774365","1.578125","0"
"20","1","candidate","1.5389242","1.5","0"
"20","2","parent","1.62992","1.46875","0"
"21","1","parent","1.5031716","1.484375","0"
"21","2","candidate","1.5213834","1.5","0"
"22","1","candidate","1.5294073","1.484375","0"
"22","2","parent","1.6324752","1.5","0"
"23","1","parent","1.5234188","1.40625","0"
"23","2","candidate","1.6989066","1.671875","0"
"24","1","candidate","1.5860008","1.578125","0"
"24","2","parent","1.5429862","1.546875","0"
"25","1","parent","1.5522922","1.53125","0"
"25","2","candidate","1.5581501","1.515625","0"
"26","1","candidate","1.5325393","1.5","0"
"26","2","parent","1.5114713","1.46875","0"
"27","1","parent","1.5396568","1.484375","0"
"27","2","candidate","1.5632227","1.53125","0"
"28","1","candidate","1.5831318","1.53125","0"
"28","2","parent","1.5313523","1.5","0"
"29","1","parent","1.5326256","1.515625","0"
"29","2","candidate","1.530261","1.515625","0"
"30","1","candidate","1.5313284","1.515625","0"
"30","2","parent","1.5045094","1.46875","0"
"31","1","parent","1.5266612","1.515625","0"
"31","2","candidate","1.5774064","1.53125","0"
"32","1","candidate","1.5752297","1.546875","0"
"32","2","parent","1.5342175","1.515625","0"
"33","1","parent","1.5152884","1.5","0"
"33","2","candidate","1.5425711","1.484375","0"
"34","1","candidate","1.507147","1.484375","0"
"34","2","parent","1.497419","1.484375","0"
"35","1","parent","1.5042533","1.4375","0"
"35","2","candidate","1.6168085","1.59375","0"
"36","1","candidate","1.5328785","1.515625","0"
"36","2","parent","1.5039716","1.484375","0"
"37","1","parent","1.5494473","1.53125","0"
"37","2","candidate","1.5291216","1.453125","0"
"38","1","candidate","1.5413247","1.484375","0"
"38","2","parent","1.5810898","1.578125","0"
"39","1","parent","1.7533676","1.71875","0"
"39","2","candidate","1.6065435","1.59375","0"
"40","1","candidate","1.5516855","1.515625","0"
"40","2","parent","1.5427924","1.5","0"
