"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7237292","1.671875","0"
"1","2","candidate","1.7642588","1.71875","0"
"2","1","candidate","1.8320029","1.71875","0"
"2","2","parent","1.6888946","1.6875","0"
"3","1","parent","1.7968081","1.765625","0"
"3","2","candidate","1.6733625","1.625","0"
"4","1","candidate","1.8484034","1.84375","0"
"4","2","parent","1.6751533","1.65625","0"
"5","1","parent","1.8362523","1.828125","0"
"5","2","candidate","1.7575531","1.734375","0"
"6","1","candidate","1.9008554","1.75","0"
"6","2","parent","1.8576131","1.828125","0"
"7","1","parent","1.679157","1.65625","0"
"7","2","candidate","1.7701339","1.75","0"
"8","1","candidate","1.8680309","1.78125","0"
"8","2","parent","1.7407598","1.703125","0"
"9","1","parent","1.7223167","1.71875","0"
"9","2","candidate","1.8759525","1.859375","0"
"10","1","candidate","1.7684259","1.765625","0"
"10","2","parent","1.7950706","1.796875","0"
"11","1","parent","1.7452656","1.734375","0"
"11","2","candidate","1.8785794","1.84375","0"
"12","1","candidate","1.7271196","1.6875","0"
"12","2","parent","1.8717525","1.828125","0"
"13","1","parent","1.6723326","1.625","0"
"13","2","candidate","1.8947026","1.890625","0"
"14","1","candidate","1.7809732","1.734375","0"
"14","2","parent","1.7198965","1.671875","0"
"15","1","parent","1.809343","1.78125","0"
"15","2","candidate","1.7338392","1.703125","0"
"16","1","candidate","1.7951005","1.71875","0"
"16","2","parent","1.7146603","1.640625","0"
"17","1","parent","1.7545031","1.734375","0"
"17","2","candidate","1.7274175","1.6875","0"
"18","1","candidate","1.823453","1.765625","0"
"18","2","parent","1.7740484","1.734375","0"
"19","1","parent","1.7900374","1.75","0"
"19","2","candidate","1.7775155","1.765625","0"
"20","1","candidate","1.8327776","1.765625","0"
"20","2","parent","1.8277602","1.796875","0"
"21","1","parent","1.8328156","1.8125","0"
"21","2","candidate","1.7406728","1.71875","0"
"22","1","candidate","1.9820084","1.90625","0"
"22","2","parent","1.7207151","1.6875","0"
"23","1","parent","1.730051","1.6875","0"
"23","2","candidate","1.6254261","1.609375","0"
"24","1","candidate","1.704107","1.703125","0"
"24","2","parent","1.5547446","1.53125","0"
"25","1","parent","1.6331836","1.640625","0"
"25","2","candidate","1.5908941","1.546875","0"
"26","1","candidate","1.626003","1.609375","0"
"26","2","parent","1.5579042","1.5","0"
"27","1","parent","1.5645019","1.546875","0"
"27","2","candidate","1.5917714","1.53125","0"
"28","1","candidate","1.5736921","1.53125","0"
"28","2","parent","1.5513143","1.5","0"
"29","1","parent","1.5693578","1.546875","0"
"29","2","candidate","1.5915283","1.578125","0"
"30","1","candidate","1.5659755","1.546875","0"
"30","2","parent","1.6021482","1.59375","0"
"31","1","parent","1.6251281","1.59375","0"
"31","2","candidate","1.7235959","1.703125","0"
"32","1","candidate","1.6508141","1.640625","0"
"32","2","parent","1.6233068","1.625","0"
"33","1","parent","1.599985","1.578125","0"
"33","2","candidate","1.6330112","1.59375","0"
"34","1","candidate","1.5855402","1.5625","0"
"34","2","parent","1.5618932","1.5625","0"
"35","1","parent","1.5900249","1.546875","0"
"35","2","candidate","1.64571","1.609375","0"
"36","1","candidate","1.6304382","1.640625","0"
"36","2","parent","1.649012","1.625","0"
"37","1","parent","1.7859677","1.609375","0"
"37","2","candidate","1.6343198","1.609375","0"
"38","1","candidate","1.6151364","1.5625","0"
"38","2","parent","1.5556131","1.546875","0"
"39","1","parent","1.6143133","1.609375","0"
"39","2","candidate","1.5978034","1.5625","0"
"40","1","candidate","1.6646169","1.625","0"
"40","2","parent","1.616387","1.59375","0"
"41","1","parent","1.6526526","1.625","0"
"41","2","candidate","1.6280715","1.5625","0"
"42","1","candidate","1.6359104","1.609375","0"
"42","2","parent","1.6142914","1.59375","0"
"43","1","parent","1.5901199","1.53125","0"
"43","2","candidate","1.5932207","1.578125","0"
"44","1","candidate","1.6582955","1.609375","0"
"44","2","parent","1.6100402","1.59375","0"
"45","1","parent","1.5715017","1.578125","0"
"45","2","candidate","1.5943014","1.5625","0"
"46","1","candidate","1.613287","1.59375","0"
"46","2","parent","1.6532521","1.59375","0"
"47","1","parent","1.6163136","1.609375","0"
"47","2","candidate","1.9793229","1.953125","0"
"48","1","candidate","1.6942815","1.671875","0"
"48","2","parent","1.6586292","1.65625","0"
"49","1","parent","1.6618621","1.640625","0"
"49","2","candidate","1.7075575","1.6875","0"
"50","1","candidate","1.716764","1.703125","0"
"50","2","parent","1.6870933","1.671875","0"
"51","1","parent","1.6560723","1.609375","0"
"51","2","candidate","1.7729771","1.65625","0"
"52","1","candidate","1.688631","1.65625","0"
"52","2","parent","1.6327307","1.609375","0"
"53","1","parent","1.624607","1.609375","0"
"53","2","candidate","1.6456906","1.546875","0"
"54","1","candidate","1.6544429","1.640625","0"
"54","2","parent","1.681559","1.671875","0"
"55","1","parent","1.6506508","1.59375","0"
"55","2","candidate","1.7164771","1.6875","0"
"56","1","candidate","1.6663741","1.625","0"
"56","2","parent","1.6564911","1.640625","0"
"57","1","parent","1.6675466","1.640625","0"
"57","2","candidate","1.6591661","1.625","0"
"58","1","candidate","1.6725329","1.65625","0"
"58","2","parent","1.6463572","1.625","0"
"59","1","parent","1.6676408","1.609375","0"
"59","2","candidate","1.6703687","1.65625","0"
"60","1","candidate","1.6742088","1.53125","0"
"60","2","parent","1.629122","1.484375","0"
"61","1","parent","1.6596288","1.59375","0"
"61","2","candidate","1.740292","1.6875","0"
"62","1","candidate","1.6743536","1.640625","0"
"62","2","parent","1.6132916","1.59375","0"
"63","1","parent","1.6030936","1.546875","0"
"63","2","candidate","1.6377722","1.59375","0"
"64","1","candidate","1.6078276","1.578125","0"
"64","2","parent","1.6050465","1.59375","0"
