"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.8020605","1.75","0"
"1","2","candidate","1.6959588","1.703125","0"
"2","1","candidate","1.769555","1.75","0"
"2","2","parent","1.5748124","1.546875","0"
"3","1","parent","1.7149025","1.6875","0"
"3","2","candidate","1.7546289","1.71875","0"
"4","1","candidate","1.7306784","1.703125","0"
"4","2","parent","1.7304826","1.6875","0"
"5","1","parent","1.7008667","1.6875","0"
"5","2","candidate","1.747828","1.71875","0"
"6","1","candidate","1.6804288","1.671875","0"
"6","2","parent","1.725166","1.71875","0"
"7","1","parent","1.7793184","1.75","0"
"7","2","candidate","1.755152","1.734375","0"
"8","1","candidate","1.8091758","1.8125","0"
"8","2","parent","1.7717748","1.75","0"
"9","1","parent","1.79601","1.75","0"
"9","2","candidate","1.6809981","1.65625","0"
"10","1","candidate","1.7586403","1.71875","0"
"10","2","parent","1.6752057","1.65625","0"
"11","1","parent","1.742441","1.734375","0"
"11","2","candidate","1.7380949","1.71875","0"
"12","1","candidate","1.7891473","1.765625","0"
"12","2","parent","1.8241541","1.796875","0"
"13","1","parent","1.6693175","1.640625","0"
"13","2","candidate","1.8155214","1.78125","0"
"14","1","candidate","1.7018369","1.6875","0"
"14","2","parent","1.8026674","1.78125","0"
"15","1","parent","1.6486407","1.578125","0"
"15","2","candidate","1.8831017","1.734375","0"
"16","1","candidate","1.6944081","1.671875","0"
"16","2","parent","1.7171103","1.671875","0"
"17","1","parent","1.8132573","1.796875","0"
"17","2","candidate","1.7407806","1.703125","0"
"18","1","candidate","1.8165416","1.796875","0"
"18","2","parent","1.681106","1.640625","0"
"19","1","parent","1.8625624","1.71875","0"
"19","2","candidate","1.682864","1.6875","0"
"20","1","candidate","1.7667781","1.734375","0"
"20","2","parent","1.7400432","1.703125","0"
"21","1","parent","1.8690942","1.828125","0"
"21","2","candidate","1.752232","1.71875","0"
"22","1","candidate","1.7849841","1.765625","0"
"22","2","parent","1.8108879","1.65625","0"
"23","1","parent","1.755457","1.71875","0"
"23","2","candidate","1.7119801","1.65625","0"
"24","1","candidate","1.6854741","1.640625","0"
"24","2","parent","1.8387682","1.8125","0"
"25","1","parent","1.7029319","1.671875","0"
"25","2","candidate","1.8210439","1.78125","0"
"26","1","candidate","1.7402976","1.671875","0"
"26","2","parent","1.8022942","1.78125","0"
"27","1","parent","1.700262","1.6875","0"
"27","2","candidate","1.754811","1.703125","0"
"28","1","candidate","1.7006543","1.640625","0"
"28","2","parent","1.7088464","1.65625","0"
"29","1","parent","1.7267658","1.671875","0"
"29","2","candidate","1.7194695","1.703125","0"
"30","1","candidate","1.7286555","1.734375","0"
"30","2","parent","1.6973639","1.65625","0"
"31","1","parent","1.7451823","1.703125","0"
"31","2","candidate","1.6633087","1.65625","0"
"32","1","candidate","1.7676418","1.75","0"
"32","2","parent","1.6896492","1.65625","0"
"33","1","parent","1.6958697","1.703125","0"
"33","2","candidate","1.6780212","1.640625","0"
"34","1","candidate","1.7524689","1.71875","0"
"34","2","parent","1.7798641","1.765625","0"
"35","1","parent","1.7813458","1.75","0"
"35","2","candidate","1.8044878","1.734375","0"
"36","1","candidate","1.6870667","1.65625","0"
"36","2","parent","1.7963431","1.765625","0"
"37","1","parent","1.6576261","1.640625","0"
"37","2","candidate","1.7534228","1.734375","0"
"38","1","candidate","1.6836961","1.640625","0"
"38","2","parent","1.7246821","1.703125","0"
"39","1","parent","1.8201781","1.828125","0"
"39","2","candidate","1.6537127","1.640625","0"
"40","1","candidate","1.8036616","1.75","0"
"40","2","parent","1.6949264","1.6875","0"
"41","1","parent","1.7757814","1.765625","0"
"41","2","candidate","1.6325348","1.578125","0"
"42","1","candidate","1.7868117","1.75","0"
"42","2","parent","1.7294673","1.671875","0"
"43","1","parent","1.7194279","1.6875","0"
"43","2","candidate","1.8042462","1.8125","0"
"44","1","candidate","1.7938981","1.765625","0"
"44","2","parent","1.7091402","1.671875","0"
"45","1","parent","1.6692783","1.671875","0"
"45","2","candidate","1.7098412","1.671875","0"
"46","1","candidate","1.6422241","1.640625","0"
"46","2","parent","1.7414523","1.703125","0"
"47","1","parent","1.8410599","1.796875","0"
"47","2","candidate","1.9033949","1.90625","0"
"48","1","candidate","1.7861641","1.765625","0"
"48","2","parent","1.8368674","1.828125","0"
"49","1","parent","1.8052238","1.78125","0"
"49","2","candidate","1.8040436","1.765625","0"
"50","1","candidate","1.805054","1.75","0"
"50","2","parent","1.7444241","1.6875","0"
"51","1","parent","1.8784534","1.71875","0"
"51","2","candidate","1.8000501","1.78125","0"
"52","1","candidate","1.8331053","1.8125","0"
"52","2","parent","1.7616266","1.703125","0"
"53","1","parent","1.8586798","1.84375","0"
"53","2","candidate","1.6773822","1.65625","0"
"54","1","candidate","1.7906456","1.78125","0"
"54","2","parent","1.6192018","1.59375","0"
"55","1","parent","1.7341647","1.703125","0"
"55","2","candidate","1.7525707","1.703125","0"
"56","1","candidate","1.7668641","1.75","0"
"56","2","parent","1.7730498","1.75","0"
"57","1","parent","1.7031264","1.6875","0"
"57","2","candidate","1.7676805","1.75","0"
"58","1","candidate","1.6553959","1.625","0"
"58","2","parent","1.7941792","1.796875","0"
"59","1","parent","1.6507985","1.59375","0"
"59","2","candidate","1.7681942","1.75","0"
"60","1","candidate","1.6706895","1.640625","0"
"60","2","parent","1.7404646","1.71875","0"
"61","1","parent","1.8428211","1.796875","0"
"61","2","candidate","1.6686095","1.625","0"
"62","1","candidate","1.8312371","1.765625","0"
"62","2","parent","1.7175724","1.671875","0"
"63","1","parent","1.8380895","1.78125","0"
"63","2","candidate","1.7166775","1.671875","0"
"64","1","candidate","1.7769438","1.734375","0"
"64","2","parent","1.6812929","1.65625","0"
