"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.9418584","1.90625","0"
"1","2","candidate","2.0438962","2.015625","0"
"2","1","candidate","2.0926733","1.90625","0"
"2","2","parent","1.9677202","1.9375","0"
"3","1","parent","1.9811827","1.9375","0"
"3","2","candidate","1.9614983","1.9375","0"
"4","1","candidate","1.8565872","1.84375","0"
"4","2","parent","1.9206423","1.890625","0"
"5","1","parent","1.9320439","1.921875","0"
"5","2","candidate","1.9467231","1.921875","0"
"6","1","candidate","1.9426973","1.890625","0"
"6","2","parent","2.0012962","1.953125","0"
"7","1","parent","1.8604112","1.875","0"
"7","2","candidate","1.9888901","1.96875","0"
"8","1","candidate","1.8782585","1.8125","0"
"8","2","parent","1.9974902","1.96875","0"
"9","1","parent","1.9615038","1.90625","0"
"9","2","candidate","1.982623","1.953125","0"
"10","1","candidate","2.038741","2.03125","0"
"10","2","parent","2.1447803","2.109375","0"
"11","1","parent","2.0108902","2","0"
"11","2","candidate","1.9207746","1.890625","0"
"12","1","candidate","2.0064241","1.984375","0"
"12","2","parent","1.8099132","1.796875","0"
"13","1","parent","2.062401","1.984375","0"
"13","2","candidate","1.8851863","1.875","0"
"14","1","candidate","1.8939414","1.875","0"
"14","2","parent","2.0093321","2.015625","0"
"15","1","parent","1.9185209","1.90625","0"
"15","2","candidate","1.9471014","1.921875","0"
"16","1","candidate","1.9396021","1.90625","0"
"16","2","parent","1.8971189","1.859375","0"
"17","1","parent","1.872324","1.828125","0"
"17","2","candidate","1.9186382","1.890625","0"
"18","1","candidate","1.9359702","1.875","0"
"18","2","parent","1.8330772","1.796875","0"
"19","1","parent","1.9499268","1.9375","0"
"19","2","candidate","1.9835894","1.96875","0"
"20","1","candidate","1.8899662","1.84375","0"
"20","2","parent","1.9486906","1.953125","0"
"21","1","parent","1.9003191","1.875","0"
"21","2","candidate","1.9522925","1.90625","0"
"22","1","candidate","2.0318418","2.015625","0"
"22","2","parent","1.9213699","1.90625","0"
"23","1","parent","2.034174","2.015625","0"
"23","2","candidate","1.8614671","1.8125","0"
"24","1","candidate","2.0840001","1.90625","0"
"24","2","parent","1.9872015","1.953125","0"
"25","1","parent","1.8423883","1.8125","0"
"25","2","candidate","1.8508621","1.703125","0"
"26","1","candidate","1.8088823","1.75","0"
"26","2","parent","1.7403358","1.703125","0"
"27","1","parent","1.9257212","1.796875","0"
"27","2","candidate","1.7734368","1.75","0"
"28","1","candidate","1.8901988","1.875","0"
"28","2","parent","1.7750594","1.75","0"
"29","1","parent","1.8940848","1.84375","0"
"29","2","candidate","1.7414376","1.75","0"
"30","1","candidate","1.7610238","1.765625","0"
"30","2","parent","1.7289197","1.734375","0"
"31","1","parent","1.7798679","1.78125","0"
"31","2","candidate","1.7533028","1.734375","0"
"32","1","candidate","1.7298959","1.703125","0"
"32","2","parent","1.7947777","1.796875","0"
"33","1","parent","1.6592694","1.578125","0"
"33","2","candidate","1.8288077","1.796875","0"
"34","1","candidate","1.7199363","1.703125","0"
"34","2","parent","1.73833","1.703125","0"
"35","1","parent","1.7449184","1.71875","0"
"35","2","candidate","1.7319778","1.703125","0"
"36","1","candidate","1.8268042","1.796875","0"
"36","2","parent","1.6880703","1.640625","0"
"37","1","parent","1.8088524","1.78125","0"
"37","2","candidate","1.6637605","1.625","0"
"38","1","candidate","1.8289072","1.8125","0"
"38","2","parent","1.6505612","1.640625","0"
"39","1","parent","1.7908938","1.75","0"
"39","2","candidate","1.6901349","1.640625","0"
"40","1","candidate","1.7406657","1.6875","0"
"40","2","parent","1.8113808","1.78125","0"
"41","1","parent","1.7111327","1.65625","0"
"41","2","candidate","1.8252751","1.78125","0"
"42","1","candidate","1.6660274","1.625","0"
"42","2","parent","1.8524819","1.8125","0"
"43","1","parent","1.622316","1.59375","0"
"43","2","candidate","1.799532","1.78125","0"
"44","1","candidate","1.8079929","1.671875","0"
"44","2","parent","1.6902708","1.65625","0"
"45","1","parent","1.8174443","1.796875","0"
"45","2","candidate","1.7174235","1.71875","0"
"46","1","candidate","1.8018119","1.75","0"
"46","2","parent","1.6966065","1.671875","0"
"47","1","parent","1.9317739","1.796875","0"
"47","2","candidate","1.7711958","1.765625","0"
"48","1","candidate","2.0211485","1.875","0"
"48","2","parent","1.7665975","1.734375","0"
"49","1","parent","1.7785676","1.75","0"
"49","2","candidate","1.7529775","1.734375","0"
"50","1","candidate","1.7746343","1.71875","0"
"50","2","parent","1.7044745","1.640625","0"
"51","1","parent","1.7808025","1.765625","0"
"51","2","candidate","1.6662051","1.609375","0"
"52","1","candidate","1.7794652","1.734375","0"
"52","2","parent","1.703825","1.6875","0"
"53","1","parent","1.7066933","1.65625","0"
"53","2","candidate","1.8732947","1.828125","0"
"54","1","candidate","1.7236903","1.703125","0"
"54","2","parent","1.8317474","1.8125","0"
"55","1","parent","1.7012201","1.6875","0"
"55","2","candidate","1.8720445","1.84375","0"
"56","1","candidate","1.6307202","1.609375","0"
"56","2","parent","1.8333907","1.84375","0"
"57","1","parent","1.6815469","1.640625","0"
"57","2","candidate","1.7302057","1.6875","0"
"58","1","candidate","1.7748267","1.734375","0"
"58","2","parent","1.6956165","1.671875","0"
"59","1","parent","1.7574648","1.75","0"
"59","2","candidate","1.7012554","1.6875","0"
"60","1","candidate","1.7243345","1.71875","0"
"60","2","parent","1.8025851","1.640625","0"
"61","1","parent","1.7503585","1.71875","0"
"61","2","candidate","1.77551","1.765625","0"
"62","1","candidate","1.7921909","1.71875","0"
"62","2","parent","1.7735615","1.71875","0"
"63","1","parent","1.7852744","1.71875","0"
"63","2","candidate","1.7216864","1.6875","0"
"64","1","candidate","1.7701539","1.734375","0"
"64","2","parent","1.7860245","1.75","0"
