"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7121202","1.65625","0"
"1","2","candidate","1.7175306","1.65625","0"
"2","1","candidate","1.7627564","1.75","0"
"2","2","parent","1.7848637","1.75","0"
"3","1","parent","1.7729664","1.765625","0"
"3","2","candidate","1.7604396","1.734375","0"
"4","1","candidate","1.7966169","1.78125","0"
"4","2","parent","1.7498646","1.734375","0"
"5","1","parent","1.5927838","1.578125","0"
"5","2","candidate","1.5862988","1.515625","0"
"6","1","candidate","1.6003602","1.546875","0"
"6","2","parent","1.5598991","1.546875","0"
"7","1","parent","1.7006472","1.5625","0"
"7","2","candidate","1.5779732","1.546875","0"
"8","1","candidate","1.5868535","1.5625","0"
"8","2","parent","1.5424553","1.515625","0"
"9","1","parent","1.5648905","1.53125","0"
"9","2","candidate","1.5594856","1.53125","0"
"10","1","candidate","1.6215834","1.578125","0"
"10","2","parent","1.6572489","1.609375","0"
"11","1","parent","1.5800494","1.5625","0"
"11","2","candidate","1.5857901","1.578125","0"
"12","1","candidate","1.5883398","1.515625","0"
"12","2","parent","1.5433213","1.53125","0"
"13","1","parent","1.5249412","1.515625","0"
"13","2","candidate","1.5673285","1.53125","0"
"14","1","candidate","1.5582557","1.515625","0"
"14","2","parent","1.5704783","1.53125","0"
"15","1","parent","1.5339431","1.5","0"
"15","2","candidate","1.5712675","1.515625","0"
"16","1","candidate","1.5498428","1.515625","0"
"16","2","parent","1.6125686","1.59375","0"
"17","1","parent","1.6264934","1.59375","0"
"17","2","candidate","1.7521839","1.609375","0"
"18","1","candidate","1.6228663","1.59375","0"
"18","2","parent","1.59936","1.59375","0"
"19","1","parent","1.5485077","1.5","0"
"19","2","candidate","1.5858004","1.578125","0"
"20","1","candidate","1.5547833","1.53125","0"
"20","2","parent","1.6330168","1.59375","0"
"21","1","parent","1.531045","1.5","0"
"21","2","candidate","1.57729","1.546875","0"
"22","1","candidate","1.5881632","1.5625","0"
"22","2","parent","1.5384189","1.515625","0"
"23","1","parent","1.5336694","1.484375","0"
"23","2","candidate","1.5617795","1.5","0"
"24","1","candidate","1.6605229","1.5","0"
"24","2","parent","1.5340571","1.546875","0"
"25","1","parent","1.609062","1.5625","0"
"25","2","candidate","2.0488738","1.859375","0"
"26","1","candidate","1.670715","1.640625","0"
"26","2","parent","1.5750106","1.578125","0"
"27","1","parent","1.5489352","1.515625","0"
"27","2","candidate","1.5752028","1.578125","0"
"28","1","candidate","1.5510234","1.515625","0"
"28","2","parent","1.5317597","1.46875","0"
"29","1","parent","1.5442728","1.53125","0"
"29","2","candidate","1.5537636","1.53125","0"
"30","1","candidate","1.5463318","1.53125","0"
"30","2","parent","1.5813405","1.546875","0"
"31","1","parent","1.5266631","1.5","0"
"31","2","candidate","1.584154","1.546875","0"
"32","1","candidate","1.5686238","1.546875","0"
"32","2","parent","1.5403897","1.5","0"
"33","1","parent","1.5901799","1.59375","0"
"33","2","candidate","1.5797196","1.546875","0"
"34","1","candidate","1.584951","1.546875","0"
"34","2","parent","1.555695","1.53125","0"
"35","1","parent","1.5628364","1.5","0"
"35","2","candidate","1.5770236","1.5625","0"
"36","1","candidate","1.5749165","1.53125","0"
"36","2","parent","1.5645703","1.5625","0"
"37","1","parent","1.5590668","1.515625","0"
"37","2","candidate","1.70326","1.5625","0"
"38","1","candidate","1.5638639","1.515625","0"
"38","2","parent","1.5555305","1.546875","0"
"39","1","parent","1.540571","1.53125","0"
"39","2","candidate","1.5562729","1.515625","0"
"40","1","candidate","1.5463534","1.53125","0"
"40","2","parent","1.567024","1.53125","0"
"41","1","parent","1.5541302","1.53125","0"
"41","2","candidate","1.5944041","1.5625","0"
"42","1","candidate","1.5694928","1.546875","0"
"42","2","parent","1.5482912","1.5","0"
"43","1","parent","1.5799312","1.5","0"
"43","2","candidate","1.5378964","1.546875","0"
"44","1","candidate","1.5470786","1.515625","0"
"44","2","parent","1.5130026","1.515625","0"
"45","1","parent","1.5422041","1.515625","0"
"45","2","candidate","1.5511408","1.53125","0"
"46","1","candidate","1.5459524","1.5","0"
"46","2","parent","1.5193375","1.4375","0"
"47","1","parent","1.6169163","1.59375","0"
"47","2","candidate","1.8105464","1.78125","0"
"48","1","candidate","1.5714426","1.5625","0"
"48","2","parent","1.5726316","1.546875","0"
"49","1","parent","1.5617457","1.546875","0"
"49","2","candidate","1.5977056","1.578125","0"
"50","1","candidate","1.5643976","1.53125","0"
"50","2","parent","1.5343333","1.5","0"
"51","1","parent","1.5251607","1.484375","0"
"51","2","candidate","1.5602456","1.515625","0"
"52","1","candidate","1.6662989","1.625","0"
"52","2","parent","1.5424885","1.453125","0"
"53","1","parent","1.5429137","1.5","0"
"53","2","candidate","1.5602468","1.515625","0"
"54","1","candidate","1.5349944","1.5","0"
"54","2","parent","1.5331632","1.53125","0"
"55","1","parent","1.5490334","1.53125","0"
"55","2","candidate","1.5784388","1.5625","0"
"56","1","candidate","1.6253316","1.609375","0"
"56","2","parent","1.5514515","1.515625","0"
"57","1","parent","1.5871568","1.5625","0"
"57","2","candidate","1.5537311","1.515625","0"
"58","1","candidate","1.5742588","1.53125","0"
"58","2","parent","1.5245455","1.5","0"
"59","1","parent","1.550765","1.5","0"
"59","2","candidate","1.5985777","1.578125","0"
"60","1","candidate","1.5878226","1.5625","0"
"60","2","parent","1.5751344","1.546875","0"
"61","1","parent","1.5427827","1.5","0"
"61","2","candidate","1.5920064","1.59375","0"
"62","1","candidate","1.5793392","1.5625","0"
"62","2","parent","1.6734336","1.546875","0"
"63","1","parent","1.5572882","1.5","0"
"63","2","candidate","1.6151847","1.59375","0"
"64","1","candidate","1.5694644","1.5625","0"
"64","2","parent","1.5861774","1.59375","0"
