"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7710236","1.703125","0"
"1","2","candidate","1.9274233","1.90625","0"
"2","1","candidate","1.828601","1.796875","0"
"2","2","parent","1.7756891","1.78125","0"
"3","1","parent","1.6362395","1.609375","0"
"3","2","candidate","1.6068264","1.609375","0"
"4","1","candidate","1.6227056","1.59375","0"
"4","2","parent","1.640529","1.625","0"
"5","1","parent","1.7594785","1.640625","0"
"5","2","candidate","1.5953642","1.578125","0"
"6","1","candidate","1.5948663","1.59375","0"
"6","2","parent","1.6024207","1.546875","0"
"7","1","parent","1.6007939","1.515625","0"
"7","2","candidate","1.6441161","1.609375","0"
"8","1","candidate","1.6767821","1.65625","0"
"8","2","parent","1.7031787","1.6875","0"
"9","1","parent","1.6442229","1.59375","0"
"9","2","candidate","1.6142126","1.59375","0"
"10","1","candidate","1.6470683","1.5625","0"
"10","2","parent","1.6199597","1.609375","0"
"11","1","parent","1.6329698","1.609375","0"
"11","2","candidate","1.64727","1.625","0"
"12","1","candidate","1.6196132","1.59375","0"
"12","2","parent","1.6229064","1.609375","0"
"13","1","parent","1.5901372","1.578125","0"
"13","2","candidate","1.612297","1.59375","0"
"14","1","candidate","1.5710351","1.546875","0"
"14","2","parent","1.5720941","1.53125","0"
"15","1","parent","1.5921185","1.53125","0"
"15","2","candidate","1.6424403","1.625","0"
"16","1","candidate","1.6428751","1.640625","0"
"16","2","parent","1.6027046","1.5625","0"
"17","1","parent","1.7869126","1.734375","0"
"17","2","candidate","1.7599018","1.71875","0"
"18","1","candidate","1.6452599","1.625","0"
"18","2","parent","1.6892086","1.5","0"
"19","1","parent","1.570381","1.53125","0"
"19","2","candidate","1.6018122","1.53125","0"
"20","1","candidate","1.6092801","1.59375","0"
"20","2","parent","1.5853797","1.546875","0"
"21","1","parent","1.5786493","1.546875","0"
"21","2","candidate","1.6166213","1.609375","0"
"22","1","candidate","1.6000637","1.59375","0"
"22","2","parent","1.6049507","1.59375","0"
"23","1","parent","1.6053584","1.609375","0"
"23","2","candidate","1.6204474","1.609375","0"
"24","1","candidate","1.5682376","1.515625","0"
"24","2","parent","1.5867591","1.5625","0"
"25","1","parent","1.5790224","1.5625","0"
"25","2","candidate","1.567244","1.546875","0"
"26","1","candidate","1.5735807","1.515625","0"
"26","2","parent","1.5700159","1.515625","0"
"27","1","parent","1.5831809","1.546875","0"
"27","2","candidate","1.5482714","1.515625","0"
"28","1","candidate","1.5680995","1.53125","0"
"28","2","parent","1.5701202","1.5","0"
"29","1","parent","1.5558521","1.546875","0"
"29","2","candidate","1.5754401","1.578125","0"
"30","1","candidate","1.5735157","1.5625","0"
"30","2","parent","1.6363544","1.609375","0"
"31","1","parent","1.7454251","1.59375","0"
"31","2","candidate","1.6136979","1.5625","0"
"32","1","candidate","1.6149568","1.59375","0"
"32","2","parent","1.5878159","1.546875","0"
"33","1","parent","1.5686783","1.515625","0"
"33","2","candidate","1.5510082","1.5625","0"
"34","1","candidate","1.5900077","1.53125","0"
"34","2","parent","1.5812542","1.5625","0"
"35","1","parent","1.5845023","1.53125","0"
"35","2","candidate","1.5666139","1.515625","0"
"36","1","candidate","1.5628926","1.515625","0"
"36","2","parent","1.5763597","1.578125","0"
"37","1","parent","1.5867894","1.546875","0"
"37","2","candidate","1.5703105","1.515625","0"
"38","1","candidate","1.7122131","1.640625","0"
"38","2","parent","1.665512","1.640625","0"
"39","1","parent","1.6045068","1.578125","0"
"39","2","candidate","1.5904301","1.53125","0"
"40","1","candidate","1.6851086","1.640625","0"
"40","2","parent","1.8107136","1.796875","0"
"41","1","parent","1.5988689","1.578125","0"
"41","2","candidate","1.6411841","1.625","0"
"42","1","candidate","1.598411","1.578125","0"
"42","2","parent","1.5390924","1.515625","0"
"43","1","parent","1.5613051","1.515625","0"
"43","2","candidate","1.5750728","1.53125","0"
"44","1","candidate","1.5490613","1.53125","0"
"44","2","parent","1.5445693","1.515625","0"
"45","1","parent","1.6727986","1.46875","0"
"45","2","candidate","1.6172668","1.59375","0"
"46","1","candidate","1.58692","1.5625","0"
"46","2","parent","1.5548912","1.53125","0"
"47","1","parent","1.5687202","1.515625","0"
"47","2","candidate","1.5669922","1.546875","0"
"48","1","candidate","1.5647128","1.515625","0"
"48","2","parent","1.5440732","1.515625","0"
"49","1","parent","1.5466789","1.484375","0"
"49","2","candidate","1.5637766","1.515625","0"
"50","1","candidate","1.5367174","1.53125","0"
"50","2","parent","1.5417328","1.515625","0"
"51","1","parent","1.5316415","1.484375","0"
"51","2","candidate","1.5803111","1.546875","0"
"52","1","candidate","1.531144","1.515625","0"
"52","2","parent","1.5482211","1.5","0"
"53","1","parent","1.5971879","1.578125","0"
"53","2","candidate","1.5509877","1.53125","0"
"54","1","candidate","1.6984992","1.515625","0"
