"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7478675","1.71875","0"
"1","2","candidate","1.7636784","1.75","0"
"2","1","candidate","1.7266433","1.65625","0"
"2","2","parent","1.7787867","1.734375","0"
"3","1","parent","1.7492178","1.703125","0"
"3","2","candidate","1.7770744","1.703125","0"
"4","1","candidate","1.7707629","1.75","0"
"4","2","parent","1.6965457","1.65625","0"
"5","1","parent","1.7140536","1.6875","0"
"5","2","candidate","1.7349905","1.6875","0"
"6","1","candidate","1.7278056","1.6875","0"
"6","2","parent","1.7132324","1.703125","0"
"7","1","parent","1.7346693","1.703125","0"
"7","2","candidate","1.8130383","1.65625","0"
"8","1","candidate","1.7971156","1.765625","0"
"8","2","parent","1.6718323","1.640625","0"
"9","1","parent","1.7640151","1.75","0"
"9","2","candidate","1.7407467","1.71875","0"
"10","1","candidate","1.7734218","1.734375","0"
"10","2","parent","1.7483423","1.71875","0"
"11","1","parent","1.730432","1.734375","0"
"11","2","candidate","1.783301","1.765625","0"
"12","1","candidate","1.6755527","1.640625","0"
"12","2","parent","1.7619769","1.71875","0"
"13","1","parent","1.6877312","1.65625","0"
"13","2","candidate","1.7359473","1.6875","0"
"14","1","candidate","1.7321221","1.703125","0"
"14","2","parent","1.7254411","1.71875","0"
"15","1","parent","1.7539065","1.71875","0"
"15","2","candidate","1.7268153","1.671875","0"
"16","1","candidate","1.8002244","1.71875","0"
"16","2","parent","1.7433947","1.71875","0"
"17","1","parent","2.0739075","2.046875","0"
"17","2","candidate","1.8289253","1.796875","0"
"18","1","candidate","1.8005633","1.78125","0"
"18","2","parent","1.7052288","1.671875","0"
"19","1","parent","1.7416894","1.671875","0"
"19","2","candidate","1.7819823","1.765625","0"
"20","1","candidate","1.7422754","1.71875","0"
"20","2","parent","1.7827628","1.765625","0"
"21","1","parent","1.6372303","1.609375","0"
"21","2","candidate","1.8052791","1.78125","0"
"22","1","candidate","1.6264039","1.578125","0"
"22","2","parent","1.9202968","1.75","0"
"23","1","parent","1.7012306","1.671875","0"
"23","2","candidate","1.7713186","1.734375","0"
"24","1","candidate","2.0325784","2.03125","0"
"24","2","parent","1.761113","1.734375","0"
"25","1","parent","1.815293","1.796875","0"
"25","2","candidate","1.719141","1.6875","0"
"26","1","candidate","1.8978424","1.75","0"
"26","2","parent","1.690468","1.671875","0"
"27","1","parent","1.811287","1.765625","0"
"27","2","candidate","1.8570926","1.703125","0"
"28","1","candidate","1.6980915","1.65625","0"
"28","2","parent","1.7370619","1.703125","0"
"29","1","parent","1.7192679","1.6875","0"
"29","2","candidate","1.7739411","1.734375","0"
"30","1","candidate","1.7114138","1.703125","0"
"30","2","parent","1.7470288","1.703125","0"
"31","1","parent","1.6827527","1.65625","0"
"31","2","candidate","1.7694479","1.734375","0"
"32","1","candidate","1.714314","1.71875","0"
"32","2","parent","1.7813562","1.75","0"
"33","1","parent","1.835684","1.6875","0"
"33","2","candidate","1.726221","1.65625","0"
"34","1","candidate","1.6987187","1.65625","0"
"34","2","parent","1.7297056","1.703125","0"
"35","1","parent","1.7454524","1.734375","0"
"35","2","candidate","1.7352265","1.71875","0"
"36","1","candidate","1.7694956","1.75","0"
"36","2","parent","1.8101156","1.796875","0"
"37","1","parent","2.0181192","2","0"
"37","2","candidate","1.861055","1.859375","0"
"38","1","candidate","1.8035235","1.75","0"
"38","2","parent","1.8283764","1.65625","0"
"39","1","parent","1.7589457","1.734375","0"
"39","2","candidate","1.7135339","1.6875","0"
"40","1","candidate","1.7304644","1.671875","0"
"40","2","parent","1.7396506","1.6875","0"
"41","1","parent","1.7441237","1.703125","0"
"41","2","candidate","1.910263","1.71875","0"
"42","1","candidate","1.6335445","1.59375","0"
"42","2","parent","1.8083544","1.8125","0"
"43","1","parent","1.6698428","1.578125","0"
"43","2","candidate","1.9748326","1.796875","0"
"44","1","candidate","1.6925561","1.65625","0"
"44","2","parent","1.9202374","1.78125","0"
"45","1","parent","1.6489652","1.625","0"
"45","2","candidate","1.7099495","1.671875","0"
"46","1","candidate","1.8162796","1.765625","0"
"46","2","parent","1.6504672","1.625","0"
"47","1","parent","1.9063236","1.890625","0"
"47","2","candidate","1.705914","1.6875","0"
"48","1","candidate","1.7857416","1.78125","0"
"48","2","parent","1.75266","1.59375","0"
"49","1","parent","1.8903723","1.734375","0"
"49","2","candidate","1.795714","1.796875","0"
"50","1","candidate","1.9752875","1.84375","0"
"50","2","parent","1.790225","1.78125","0"
"51","1","parent","1.7250159","1.6875","0"
"51","2","candidate","1.7946904","1.765625","0"
"52","1","candidate","1.7148605","1.71875","0"
"52","2","parent","1.7561036","1.734375","0"
"53","1","parent","1.6617891","1.609375","0"
"53","2","candidate","1.7728443","1.71875","0"
"54","1","candidate","1.7195708","1.671875","0"
"54","2","parent","1.7188384","1.703125","0"
"55","1","parent","1.7317554","1.6875","0"
"55","2","candidate","1.7056977","1.65625","0"
"56","1","candidate","1.739198","1.71875","0"
"56","2","parent","1.7221792","1.703125","0"
"57","1","parent","2.0022687","1.828125","0"
"57","2","candidate","1.9173064","1.859375","0"
"58","1","candidate","1.7712913","1.71875","0"
"58","2","parent","1.7871874","1.75","0"
"59","1","parent","1.7620871","1.734375","0"
"59","2","candidate","1.7178775","1.65625","0"
"60","1","candidate","1.7792521","1.78125","0"
"60","2","parent","1.744189","1.71875","0"
"61","1","parent","1.7522031","1.734375","0"
"61","2","candidate","1.8014612","1.765625","0"
"62","1","candidate","1.7237072","1.703125","0"
"62","2","parent","1.7059994","1.65625","0"
"63","1","parent","1.7085355","1.6875","0"
"63","2","candidate","1.7906676","1.75","0"
"64","1","candidate","1.7457354","1.734375","0"
"64","2","parent","1.8480893","1.828125","0"
