"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7800068","1.75","0"
"1","2","candidate","1.8059059","1.78125","0"
"2","1","candidate","1.7735001","1.75","0"
"2","2","parent","1.7965071","1.765625","0"
"3","1","parent","1.697217","1.703125","0"
"3","2","candidate","1.8199067","1.828125","0"
"4","1","candidate","1.7320195","1.703125","0"
"4","2","parent","1.7703359","1.75","0"
"5","1","parent","1.8205802","1.8125","0"
"5","2","candidate","1.7459596","1.71875","0"
"6","1","candidate","1.7792041","1.765625","0"
"6","2","parent","1.8415696","1.71875","0"
"7","1","parent","1.7304989","1.671875","0"
"7","2","candidate","1.7446876","1.703125","0"
"8","1","candidate","1.777738","1.765625","0"
"8","2","parent","1.8008803","1.78125","0"
"9","1","parent","2.0385846","2","0"
"9","2","candidate","1.9217888","1.890625","0"
"10","1","candidate","1.7842374","1.734375","0"
"10","2","parent","1.7305934","1.671875","0"
"11","1","parent","1.7481229","1.71875","0"
"11","2","candidate","1.7552068","1.765625","0"
"12","1","candidate","1.7450876","1.734375","0"
"12","2","parent","1.7318307","1.734375","0"
"13","1","parent","1.8315982","1.8125","0"
"13","2","candidate","1.7690097","1.75","0"
"14","1","candidate","1.7019128","1.671875","0"
"14","2","parent","1.8110037","1.765625","0"
"15","1","parent","1.758413","1.765625","0"
"15","2","candidate","1.8595463","1.84375","0"
"16","1","candidate","1.7475423","1.734375","0"
"16","2","parent","1.763201","1.734375","0"
"17","1","parent","1.7616561","1.765625","0"
"17","2","candidate","1.8578661","1.71875","0"
"18","1","candidate","1.8149003","1.78125","0"
"18","2","parent","1.7079262","1.6875","0"
"19","1","parent","1.8792549","1.796875","0"
"19","2","candidate","1.7665036","1.703125","0"
"20","1","candidate","1.8368168","1.8125","0"
"20","2","parent","1.6184278","1.546875","0"
"21","1","parent","1.8105342","1.78125","0"
"21","2","candidate","1.7439251","1.71875","0"
"22","1","candidate","1.8132371","1.796875","0"
"22","2","parent","1.8126219","1.78125","0"
"23","1","parent","1.6822787","1.640625","0"
"23","2","candidate","1.945233","1.78125","0"
"24","1","candidate","1.6777208","1.671875","0"
"24","2","parent","1.8489925","1.828125","0"
"25","1","parent","1.6456965","1.640625","0"
"25","2","candidate","1.8429051","1.78125","0"
"26","1","candidate","1.7162106","1.703125","0"
"26","2","parent","1.7327205","1.71875","0"
"27","1","parent","1.8015986","1.734375","0"
"27","2","candidate","1.7046288","1.703125","0"
"28","1","candidate","1.9031566","1.859375","0"
"28","2","parent","1.7052442","1.671875","0"
"29","1","parent","1.8076706","1.75","0"
"29","2","candidate","1.6430474","1.625","0"
"30","1","candidate","1.8734964","1.84375","0"
"30","2","parent","1.7196421","1.640625","0"
"31","1","parent","1.751942","1.734375","0"
"31","2","candidate","1.8826442","1.84375","0"
"32","1","candidate","1.9531901","1.953125","0"
"32","2","parent","2.027794","2","0"
"33","1","parent","1.7936609","1.78125","0"
"33","2","candidate","1.9423678","1.890625","0"
"34","1","candidate","1.7542084","1.671875","0"
"34","2","parent","1.8799911","1.828125","0"
"35","1","parent","1.7939113","1.765625","0"
"35","2","candidate","1.8217406","1.765625","0"
"36","1","candidate","1.8595117","1.8125","0"
"36","2","parent","1.7793324","1.75","0"
"37","1","parent","1.8133326","1.796875","0"
"37","2","candidate","1.7834167","1.78125","0"
"38","1","candidate","1.9051604","1.890625","0"
"38","2","parent","1.8539708","1.84375","0"
"39","1","parent","1.8771994","1.84375","0"
"39","2","candidate","1.7978434","1.78125","0"
"40","1","candidate","1.7225165","1.6875","0"
"40","2","parent","1.7614533","1.734375","0"
"41","1","parent","1.9015746","1.734375","0"
"41","2","candidate","1.7822148","1.75","0"
"42","1","candidate","1.764951","1.703125","0"
"42","2","parent","1.7837132","1.75","0"
"43","1","parent","1.8521692","1.8125","0"
"43","2","candidate","1.7703044","1.75","0"
"44","1","candidate","1.736594","1.703125","0"
"44","2","parent","1.7739327","1.75","0"
"45","1","parent","1.7419076","1.71875","0"
"45","2","candidate","1.8545868","1.828125","0"
"46","1","candidate","1.6999415","1.6875","0"
"46","2","parent","1.7844282","1.765625","0"
"47","1","parent","1.8166805","1.640625","0"
"47","2","candidate","1.7417449","1.734375","0"
"48","1","candidate","1.7540493","1.703125","0"
"48","2","parent","1.76241","1.75","0"
"49","1","parent","2.0026142","1.84375","0"
"49","2","candidate","1.9736714","1.828125","0"
"50","1","candidate","1.8718753","1.84375","0"
"50","2","parent","1.7193836","1.6875","0"
"51","1","parent","1.952693","1.90625","0"
"51","2","candidate","1.9240787","1.859375","0"
"52","1","candidate","1.8697138","1.84375","0"
"52","2","parent","1.7217404","1.65625","0"
"53","1","parent","1.7419743","1.6875","0"
"53","2","candidate","1.8372774","1.8125","0"
"54","1","candidate","1.6682253","1.65625","0"
"54","2","parent","1.8187602","1.78125","0"
"55","1","parent","1.6907349","1.640625","0"
"55","2","candidate","1.8320379","1.78125","0"
"56","1","candidate","1.7820486","1.625","0"
"56","2","parent","1.8598957","1.8125","0"
"57","1","parent","1.6187743","1.59375","0"
"57","2","candidate","1.7517541","1.71875","0"
"58","1","candidate","1.7298061","1.703125","0"
"58","2","parent","1.7645635","1.734375","0"
"59","1","parent","1.7623431","1.703125","0"
"59","2","candidate","1.7267778","1.703125","0"
"60","1","candidate","1.741843","1.671875","0"
"60","2","parent","1.7205068","1.6875","0"
"61","1","parent","1.7231622","1.71875","0"
"61","2","candidate","1.7783543","1.765625","0"
"62","1","candidate","1.7574749","1.71875","0"
"62","2","parent","1.7830034","1.75","0"
"63","1","parent","1.7388724","1.6875","0"
"63","2","candidate","1.7260287","1.734375","0"
"64","1","candidate","1.7417624","1.71875","0"
"64","2","parent","1.7572517","1.75","0"
