"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7954642","1.75","0"
"1","2","candidate","1.8457056","1.796875","0"
"2","1","candidate","1.7637723","1.734375","0"
"2","2","parent","1.86658","1.703125","0"
"3","1","parent","1.6779842","1.625","0"
"3","2","candidate","1.5540477","1.53125","0"
"4","1","candidate","1.6009883","1.515625","0"
"4","2","parent","1.6589063","1.515625","0"
"5","1","parent","1.6049664","1.546875","0"
"5","2","candidate","1.5676624","1.515625","0"
"6","1","candidate","1.5432999","1.5","0"
"6","2","parent","1.6650483","1.46875","0"
"7","1","parent","1.541884","1.46875","0"
"7","2","candidate","1.6624266","1.609375","0"
"8","1","candidate","1.7320158","1.671875","0"
"8","2","parent","1.5897435","1.5625","0"
"9","1","parent","1.5448603","1.5","0"
"9","2","candidate","1.5459316","1.5","0"
"10","1","candidate","1.5982697","1.546875","0"
"10","2","parent","1.5715638","1.53125","0"
"11","1","parent","1.5709333","1.5625","0"
"11","2","candidate","1.5422735","1.53125","0"
"12","1","candidate","1.545397","1.53125","0"
"12","2","parent","1.5388981","1.515625","0"
"13","1","parent","1.5635595","1.53125","0"
"13","2","candidate","1.556647","1.515625","0"
"14","1","candidate","1.5373367","1.515625","0"
"14","2","parent","1.5292845","1.5","0"
"15","1","parent","1.55169","1.53125","0"
"15","2","candidate","1.6078241","1.5625","0"
"16","1","candidate","1.6337648","1.578125","0"
"16","2","parent","1.5816415","1.578125","0"
"17","1","parent","1.5257296","1.5","0"
"17","2","candidate","1.5653697","1.5625","0"
"18","1","candidate","1.5543685","1.53125","0"
"18","2","parent","1.593788","1.546875","0"
"19","1","parent","1.7916547","1.765625","0"
"19","2","candidate","1.688339","1.671875","0"
"20","1","candidate","1.613986","1.59375","0"
"20","2","parent","1.5876112","1.5625","0"
"21","1","parent","1.5748699","1.546875","0"
"21","2","candidate","1.5936594","1.53125","0"
"22","1","candidate","1.5616057","1.53125","0"
"22","2","parent","1.556478","1.515625","0"
"23","1","parent","1.5442494","1.53125","0"
"23","2","candidate","1.6019507","1.59375","0"
"24","1","candidate","1.5795724","1.53125","0"
"24","2","parent","1.5333713","1.5","0"
"25","1","parent","1.5425346","1.515625","0"
"25","2","candidate","1.544038","1.515625","0"
"26","1","candidate","1.5508192","1.53125","0"
"26","2","parent","1.5394255","1.53125","0"
"27","1","parent","1.5413845","1.5","0"
"27","2","candidate","1.5535908","1.53125","0"
"28","1","candidate","1.5597695","1.53125","0"
"28","2","parent","1.528917","1.453125","0"
"29","1","parent","1.53479","1.515625","0"
"29","2","candidate","1.5885756","1.546875","0"
"30","1","candidate","1.5854389","1.546875","0"
"30","2","parent","1.5614507","1.53125","0"
"31","1","parent","1.6005839","1.59375","0"
"31","2","candidate","1.5540001","1.5","0"
"32","1","candidate","1.5717803","1.578125","0"
"32","2","parent","1.5296604","1.515625","0"
"33","1","parent","1.548493","1.53125","0"
"33","2","candidate","1.5390572","1.515625","0"
"34","1","candidate","1.5342949","1.5","0"
"34","2","parent","1.5335289","1.515625","0"
"35","1","parent","1.5274579","1.515625","0"
"35","2","candidate","1.5679497","1.515625","0"
"36","1","candidate","1.5410049","1.484375","0"
"36","2","parent","1.6230631","1.59375","0"
"37","1","parent","1.5902525","1.578125","0"
"37","2","candidate","1.5957432","1.5625","0"
"38","1","candidate","1.5755331","1.53125","0"
"38","2","parent","1.5340143","1.53125","0"
"39","1","parent","1.5793898","1.53125","0"
"39","2","candidate","1.5524699","1.546875","0"
"40","1","candidate","1.5537329","1.53125","0"
"40","2","parent","1.5451034","1.546875","0"
"41","1","parent","1.5887276","1.546875","0"
"41","2","candidate","1.596934","1.5625","0"
"42","1","candidate","1.557484","1.546875","0"
"42","2","parent","1.5411872","1.484375","0"
"43","1","parent","1.548073","1.5","0"
"43","2","candidate","1.5502745","1.5","0"
"44","1","candidate","1.5274738","1.46875","0"
"44","2","parent","1.5418063","1.53125","0"
"45","1","parent","1.5544746","1.5","0"
"45","2","candidate","1.5544167","1.5625","0"
"46","1","candidate","1.7865224","1.765625","0"
"46","2","parent","1.6782516","1.640625","0"
"47","1","parent","1.5513405","1.515625","0"
"47","2","candidate","1.5785061","1.5625","0"
"48","1","candidate","1.542079","1.515625","0"
"48","2","parent","1.5789693","1.578125","0"
"49","1","parent","1.5704576","1.546875","0"
"49","2","candidate","1.5405966","1.484375","0"
"50","1","candidate","1.6804857","1.53125","0"
"50","2","parent","1.5438022","1.484375","0"
"51","1","parent","1.5588427","1.546875","0"
"51","2","candidate","1.5417362","1.53125","0"
"52","1","candidate","1.5443606","1.484375","0"
"52","2","parent","1.5234704","1.5","0"
