"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7669988","1.6875","0"
"1","2","candidate","1.9180626","1.890625","0"
"2","1","candidate","1.6695966","1.640625","0"
"2","2","parent","1.8123454","1.78125","0"
"3","1","parent","1.6539941","1.609375","0"
"3","2","candidate","1.8525635","1.78125","0"
"4","1","candidate","1.7002699","1.65625","0"
"4","2","parent","1.7963818","1.765625","0"
"5","1","parent","1.6918357","1.640625","0"
"5","2","candidate","1.7514957","1.71875","0"
"6","1","candidate","1.8658708","1.875","0"
"6","2","parent","1.70823","1.6875","0"
"7","1","parent","1.7745484","1.765625","0"
"7","2","candidate","1.8087552","1.796875","0"
"8","1","candidate","1.8746092","1.875","0"
"8","2","parent","1.7800361","1.640625","0"
"9","1","parent","1.8495808","1.8125","0"
"9","2","candidate","1.7260507","1.703125","0"
"10","1","candidate","1.8560697","1.71875","0"
"10","2","parent","1.8399271","1.65625","0"
"11","1","parent","1.7297911","1.671875","0"
"11","2","candidate","1.7071324","1.6875","0"
"12","1","candidate","1.7978324","1.75","0"
"12","2","parent","1.7652061","1.75","0"
"13","1","parent","1.7705959","1.71875","0"
"13","2","candidate","1.7090232","1.671875","0"
"14","1","candidate","1.7426952","1.71875","0"
"14","2","parent","1.8046483","1.765625","0"
"15","1","parent","1.71698","1.671875","0"
"15","2","candidate","1.8596528","1.828125","0"
"16","1","candidate","1.6848972","1.65625","0"
"16","2","parent","1.7297168","1.6875","0"
"17","1","parent","1.9185766","1.796875","0"
"17","2","candidate","2.1069371","2.078125","0"
"18","1","candidate","1.8242815","1.78125","0"
"18","2","parent","1.7525164","1.703125","0"
"19","1","parent","1.7211426","1.703125","0"
"19","2","candidate","1.72527","1.6875","0"
"20","1","candidate","1.7671511","1.71875","0"
"20","2","parent","1.7485357","1.703125","0"
"21","1","parent","1.8450768","1.765625","0"
"21","2","candidate","1.6835967","1.671875","0"
"22","1","candidate","1.7675853","1.75","0"
"22","2","parent","1.6967337","1.65625","0"
"23","1","parent","1.704801","1.6875","0"
"23","2","candidate","1.813145","1.78125","0"
"24","1","candidate","1.7272191","1.703125","0"
"24","2","parent","1.7442109","1.71875","0"
"25","1","parent","1.8328238","1.796875","0"
"25","2","candidate","1.7704571","1.75","0"
"26","1","candidate","1.7350184","1.703125","0"
"26","2","parent","1.7392796","1.71875","0"
"27","1","parent","1.7477761","1.734375","0"
"27","2","candidate","1.7553092","1.734375","0"
"28","1","candidate","1.7642018","1.765625","0"
"28","2","parent","1.8221975","1.796875","0"
"29","1","parent","1.7003752","1.65625","0"
"29","2","candidate","1.8428219","1.8125","0"
"30","1","candidate","1.6690824","1.625","0"
"30","2","parent","1.7115038","1.671875","0"
"31","1","parent","1.719546","1.6875","0"
"31","2","candidate","1.7401188","1.703125","0"
"32","1","candidate","1.626668","1.609375","0"
"32","2","parent","1.5623093","1.53125","0"
"33","1","parent","1.5772878","1.5625","0"
"33","2","candidate","1.5830396","1.546875","0"
"34","1","candidate","1.5667943","1.53125","0"
"34","2","parent","1.561732","1.515625","0"
"35","1","parent","1.6227856","1.59375","0"
"35","2","candidate","1.5556502","1.515625","0"
"36","1","candidate","1.6120387","1.546875","0"
"36","2","parent","1.5569555","1.484375","0"
"37","1","parent","1.595124","1.53125","0"
"37","2","candidate","1.5796484","1.53125","0"
"38","1","candidate","1.6083616","1.578125","0"
"38","2","parent","1.5486729","1.515625","0"
"39","1","parent","1.568324","1.578125","0"
"39","2","candidate","1.6279785","1.578125","0"
"40","1","candidate","1.570303","1.515625","0"
"40","2","parent","1.5358395","1.4375","0"
"41","1","parent","1.5649307","1.53125","0"
"41","2","candidate","1.5814708","1.5625","0"
"42","1","candidate","1.5596411","1.46875","0"
"42","2","parent","1.5930147","1.5","0"
"43","1","parent","1.7625931","1.734375","0"
"43","2","candidate","1.8407127","1.828125","0"
"44","1","candidate","1.5503059","1.53125","0"
"44","2","parent","1.5679011","1.53125","0"
"45","1","parent","1.5632047","1.546875","0"
"45","2","candidate","1.5567716","1.53125","0"
"46","1","candidate","1.5448193","1.515625","0"
"46","2","parent","1.553906","1.484375","0"
"47","1","parent","1.5603099","1.53125","0"
"47","2","candidate","1.5872059","1.546875","0"
"48","1","candidate","1.5620041","1.5","0"
"48","2","parent","1.611781","1.5625","0"
"49","1","parent","1.6021946","1.5625","0"
"49","2","candidate","1.5572963","1.5","0"
"50","1","candidate","1.5773414","1.5625","0"
"50","2","parent","1.5795209","1.546875","0"
"51","1","parent","1.5767288","1.53125","0"
"51","2","candidate","1.5554017","1.5","0"
"52","1","candidate","1.5632918","1.546875","0"
"52","2","parent","1.5329695","1.484375","0"
"53","1","parent","1.6656239","1.59375","0"
"53","2","candidate","1.5648467","1.515625","0"
"54","1","candidate","1.5494691","1.5","0"
"54","2","parent","1.5799015","1.53125","0"
"55","1","parent","1.5552625","1.515625","0"
"55","2","candidate","1.5435645","1.484375","0"
"56","1","candidate","1.5528581","1.515625","0"
"56","2","parent","1.538196","1.484375","0"
"57","1","parent","1.542178","1.5","0"
"57","2","candidate","1.5445782","1.5","0"
"58","1","candidate","1.5978646","1.5625","0"
"58","2","parent","1.5881933","1.546875","0"
"59","1","parent","1.5333462","1.515625","0"
"59","2","candidate","1.5600651","1.546875","0"
"60","1","candidate","1.5600109","1.5","0"
"60","2","parent","1.5292696","1.5","0"
"61","1","parent","1.5277954","1.5","0"
"61","2","candidate","1.5391457","1.515625","0"
"62","1","candidate","1.5371719","1.484375","0"
"62","2","parent","1.5272091","1.5","0"
"63","1","parent","1.5226274","1.5","0"
"63","2","candidate","1.5307609","1.515625","0"
"64","1","candidate","1.5467439","1.515625","0"
"64","2","parent","1.5386325","1.5","0"
