"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.8149058","1.78125","0"
"1","2","candidate","1.7516107","1.734375","0"
"2","1","candidate","1.8229557","1.8125","0"
"2","2","parent","1.8498978","1.8125","0"
"3","1","parent","1.6434343","1.609375","0"
"3","2","candidate","1.6018822","1.5625","0"
"4","1","candidate","1.6122792","1.546875","0"
"4","2","parent","1.5704797","1.515625","0"
"5","1","parent","1.5731255","1.5625","0"
"5","2","candidate","1.577559","1.5625","0"
"6","1","candidate","1.5898146","1.5625","0"
"6","2","parent","1.5747743","1.578125","0"
"7","1","parent","1.5619798","1.546875","0"
"7","2","candidate","1.57978","1.5625","0"
"8","1","candidate","1.5609559","1.5625","0"
"8","2","parent","1.5971872","1.53125","0"
"9","1","parent","1.6279372","1.609375","0"
"9","2","candidate","1.5474999","1.515625","0"
"10","1","candidate","1.5966552","1.5625","0"
"10","2","parent","1.5440619","1.515625","0"
"11","1","parent","1.6696569","1.640625","0"
"11","2","candidate","1.5675267","1.53125","0"
"12","1","candidate","1.569756","1.515625","0"
"12","2","parent","1.5653286","1.546875","0"
"13","1","parent","1.5840627","1.59375","0"
"13","2","candidate","1.5646161","1.546875","0"
"14","1","candidate","1.5730439","1.546875","0"
"14","2","parent","1.5491204","1.53125","0"
"15","1","parent","1.5747828","1.5","0"
"15","2","candidate","1.579822","1.5625","0"
"16","1","candidate","1.6098052","1.578125","0"
"16","2","parent","1.56756","1.46875","0"
"17","1","parent","1.5760811","1.546875","0"
"17","2","candidate","1.5508997","1.5","0"
"18","1","candidate","1.5886033","1.546875","0"
"18","2","parent","1.5461317","1.515625","0"
"19","1","parent","1.6646496","1.65625","0"
"19","2","candidate","1.7707467","1.75","0"
"20","1","candidate","1.5861366","1.53125","0"
"20","2","parent","1.5839088","1.546875","0"
"21","1","parent","1.5499744","1.5","0"
"21","2","candidate","1.5556832","1.53125","0"
"22","1","candidate","1.5764936","1.5","0"
"22","2","parent","1.5399811","1.46875","0"
"23","1","parent","1.5737101","1.546875","0"
"23","2","candidate","1.7178127","1.546875","0"
"24","1","candidate","1.5810491","1.546875","0"
"24","2","parent","1.566391","1.515625","0"
"25","1","parent","1.5576186","1.515625","0"
"25","2","candidate","1.5516094","1.53125","0"
"26","1","candidate","1.5533502","1.546875","0"
"26","2","parent","1.5443424","1.484375","0"
"27","1","parent","1.5642712","1.484375","0"
"27","2","candidate","1.5760829","1.5","0"
"28","1","candidate","1.5803778","1.5625","0"
"28","2","parent","1.5608631","1.546875","0"
"29","1","parent","1.5611954","1.5625","0"
"29","2","candidate","1.6015639","1.546875","0"
"30","1","candidate","1.6462997","1.578125","0"
"30","2","parent","1.5662968","1.546875","0"
"31","1","parent","1.5924806","1.53125","0"
"31","2","candidate","1.6515352","1.59375","0"
"32","1","candidate","1.6510016","1.59375","0"
"32","2","parent","1.5643724","1.515625","0"
"33","1","parent","1.5588412","1.515625","0"
"33","2","candidate","1.5374362","1.515625","0"
"34","1","candidate","1.5523409","1.53125","0"
"34","2","parent","1.5488052","1.5","0"
"35","1","parent","1.5433981","1.546875","0"
"35","2","candidate","1.5622326","1.484375","0"
"36","1","candidate","1.5637159","1.515625","0"
"36","2","parent","1.5454645","1.484375","0"
"37","1","parent","1.54567","1.484375","0"
"37","2","candidate","1.5842434","1.484375","0"
"38","1","candidate","1.799046","1.78125","0"
"38","2","parent","1.5676669","1.53125","0"
"39","1","parent","1.6244831","1.609375","0"
"39","2","candidate","1.6210452","1.609375","0"
"40","1","candidate","1.5647293","1.53125","0"
"40","2","parent","1.5991737","1.5625","0"
"41","1","parent","1.5901615","1.5625","0"
"41","2","candidate","1.5382318","1.546875","0"
"42","1","candidate","1.7089152","1.6875","0"
"42","2","parent","1.7496913","1.71875","0"
"43","1","parent","1.5892306","1.5625","0"
"43","2","candidate","1.5535204","1.5","0"
"44","1","candidate","1.5409109","1.46875","0"
"44","2","parent","1.5233474","1.46875","0"
"45","1","parent","1.5604274","1.546875","0"
"45","2","candidate","1.5667258","1.5625","0"
"46","1","candidate","1.5724076","1.546875","0"
"46","2","parent","1.5788163","1.546875","0"
"47","1","parent","1.525592","1.5","0"
"47","2","candidate","1.5746521","1.578125","0"
"48","1","candidate","1.5467833","1.5","0"
"48","2","parent","1.5564415","1.53125","0"
"49","1","parent","1.5257712","1.484375","0"
"49","2","candidate","1.665011","1.515625","0"
"50","1","candidate","1.5347426","1.546875","0"
"50","2","parent","1.5335134","1.484375","0"
"51","1","parent","1.5572469","1.546875","0"
"51","2","candidate","1.5510591","1.53125","0"
"52","1","candidate","1.5460478","1.546875","0"
"52","2","parent","1.5465026","1.515625","0"
"53","1","parent","1.5396748","1.5","0"
"53","2","candidate","1.5453581","1.515625","0"
"54","1","candidate","1.5426018","1.5","0"
"54","2","parent","1.582493","1.546875","0"
"55","1","parent","1.6836024","1.53125","0"
"55","2","candidate","1.5385104","1.5","0"
"56","1","candidate","1.5642871","1.4375","0"
"56","2","parent","1.5237891","1.484375","0"
"57","1","parent","1.7335518","1.703125","0"
"57","2","candidate","1.6248353","1.609375","0"
"58","1","candidate","1.541212","1.5","0"
"58","2","parent","1.6561247","1.515625","0"
"59","1","parent","1.5498079","1.53125","0"
"59","2","candidate","1.5441814","1.5","0"
"60","1","candidate","1.6533718","1.515625","0"
"60","2","parent","1.548104","1.5","0"
"61","1","parent","1.6607063","1.515625","0"
"61","2","candidate","1.7658893","1.609375","0"
"62","1","candidate","1.5758336","1.546875","0"
"62","2","parent","1.5630628","1.546875","0"
"63","1","parent","1.5315738","1.515625","0"
"63","2","candidate","1.5595611","1.53125","0"
"64","1","candidate","1.5439782","1.515625","0"
"64","2","parent","1.5381798","1.515625","0"
