"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.9147251","1.859375","0"
"1","2","candidate","1.810311","1.765625","0"
"2","1","candidate","1.8543341","1.796875","0"
"2","2","parent","1.7567809","1.75","0"
"3","1","parent","1.7595931","1.71875","0"
"3","2","candidate","1.7454072","1.703125","0"
"4","1","candidate","1.7513024","1.6875","0"
"4","2","parent","1.7385045","1.734375","0"
"5","1","parent","1.5753675","1.5","0"
"5","2","candidate","1.5983005","1.5625","0"
"6","1","candidate","1.6831772","1.53125","0"
"6","2","parent","1.551577","1.5","0"
"7","1","parent","1.5535118","1.546875","0"
"7","2","candidate","1.6884613","1.625","0"
"8","1","candidate","1.6197423","1.609375","0"
"8","2","parent","1.5986347","1.578125","0"
"9","1","parent","1.5479151","1.5","0"
"9","2","candidate","1.5906447","1.5625","0"
"10","1","candidate","1.5780087","1.5","0"
"10","2","parent","1.5362157","1.46875","0"
"11","1","parent","1.5390729","1.5","0"
"11","2","candidate","1.6929503","1.625","0"
"12","1","candidate","1.6118949","1.546875","0"
"12","2","parent","1.5484013","1.46875","0"
"13","1","parent","1.5322398","1.5","0"
"13","2","candidate","1.6054856","1.59375","0"
"14","1","candidate","1.6120995","1.59375","0"
"14","2","parent","1.8361432","1.796875","0"
"15","1","parent","1.7229385","1.6875","0"
"15","2","candidate","1.6368191","1.625","0"
"16","1","candidate","1.6191446","1.609375","0"
"16","2","parent","1.5462904","1.515625","0"
"17","1","parent","1.5620936","1.546875","0"
"17","2","candidate","1.672227","1.65625","0"
"18","1","candidate","1.7703882","1.609375","0"
"18","2","parent","1.5474125","1.515625","0"
"19","1","parent","1.5412562","1.484375","0"
"19","2","candidate","1.6064613","1.546875","0"
"20","1","candidate","1.5879769","1.5625","0"
"20","2","parent","1.5362679","1.515625","0"
"21","1","parent","1.5295732","1.515625","0"
"21","2","candidate","1.572225","1.53125","0"
"22","1","candidate","1.5930424","1.484375","0"
"22","2","parent","1.5361724","1.5","0"
"23","1","parent","1.6073287","1.53125","0"
"23","2","candidate","1.6230315","1.59375","0"
"24","1","candidate","1.6525358","1.625","0"
"24","2","parent","1.5664577","1.546875","0"
"25","1","parent","1.5350949","1.515625","0"
"25","2","candidate","1.6886165","1.5625","0"
"26","1","candidate","1.5679598","1.5","0"
"26","2","parent","1.5454059","1.5","0"
"27","1","parent","1.5312466","1.5","0"
"27","2","candidate","1.6259938","1.59375","0"
"28","1","candidate","1.7241091","1.71875","0"
"28","2","parent","1.5595407","1.5","0"
"29","1","parent","1.5446355","1.515625","0"
"29","2","candidate","1.6878352","1.625","0"
"30","1","candidate","1.571689","1.546875","0"
"30","2","parent","1.588922","1.5625","0"
"31","1","parent","1.5590386","1.546875","0"
"31","2","candidate","1.565986","1.546875","0"
"32","1","candidate","1.5771676","1.5625","0"
"32","2","parent","1.5595377","1.53125","0"
"33","1","parent","1.5357417","1.5","0"
"33","2","candidate","1.5863272","1.546875","0"
"34","1","candidate","1.5666741","1.546875","0"
"34","2","parent","1.5561507","1.546875","0"
"35","1","parent","1.5719201","1.5","0"
"35","2","candidate","1.600537","1.546875","0"
"36","1","candidate","1.5900517","1.546875","0"
"36","2","parent","1.5382531","1.515625","0"
"37","1","parent","1.6652167","1.515625","0"
"37","2","candidate","1.5946005","1.578125","0"
"38","1","candidate","1.6478589","1.625","0"
"38","2","parent","1.6779322","1.640625","0"
"39","1","parent","1.7685219","1.765625","0"
"39","2","candidate","1.902694","1.75","0"
"40","1","candidate","1.6372382","1.59375","0"
"40","2","parent","1.531346","1.484375","0"
"41","1","parent","1.5581259","1.5","0"
"41","2","candidate","1.5927218","1.53125","0"
"42","1","candidate","1.5793164","1.515625","0"
"42","2","parent","1.668337","1.5","0"
"43","1","parent","1.530154","1.515625","0"
"43","2","candidate","1.5860213","1.59375","0"
"44","1","candidate","1.5761015","1.546875","0"
"44","2","parent","1.5598789","1.5","0"
"45","1","parent","1.636155","1.5","0"
"45","2","candidate","1.6695483","1.65625","0"
"46","1","candidate","1.5889094","1.5625","0"
"46","2","parent","1.5725003","1.53125","0"
"47","1","parent","1.5280592","1.5","0"
"47","2","candidate","1.578373","1.546875","0"
"48","1","candidate","1.6007495","1.515625","0"
"48","2","parent","1.5479365","1.453125","0"
"49","1","parent","1.5264186","1.46875","0"
"49","2","candidate","1.5755256","1.5625","0"
"50","1","candidate","1.6072996","1.546875","0"
"50","2","parent","1.5231653","1.5","0"
"51","1","parent","1.5270704","1.484375","0"
"51","2","candidate","1.568374","1.5","0"
"52","1","candidate","1.5712632","1.53125","0"
