"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5388843","1.46875","0"
"1","2","candidate","1.5444931","1.53125","0"
"2","1","candidate","1.5296232","1.5","0"
"2","2","parent","1.521714","1.515625","0"
"3","1","parent","1.497047","1.46875","0"
"3","2","candidate","1.5375714","1.5","0"
"4","1","candidate","1.5345427","1.484375","0"
"4","2","parent","1.6973158","1.515625","0"
"5","1","parent","1.5581002","1.53125","0"
"5","2","candidate","1.5196335","1.5","0"
"6","1","candidate","1.5337686","1.5","0"
"6","2","parent","1.5053892","1.453125","0"
"7","1","parent","1.5219189","1.46875","0"
"7","2","candidate","1.5408928","1.5","0"
"8","1","candidate","1.54348","1.484375","0"
"8","2","parent","1.5222612","1.453125","0"
"9","1","parent","1.5175882","1.484375","0"
"9","2","candidate","1.547388","1.53125","0"
"10","1","candidate","1.5326269","1.484375","0"
"10","2","parent","1.5020531","1.46875","0"
"11","1","parent","1.5364556","1.5","0"
"11","2","candidate","1.5278478","1.515625","0"
"12","1","candidate","1.5675315","1.53125","0"
"12","2","parent","1.5733499","1.5625","0"
"13","1","parent","1.6597162","1.640625","0"
"13","2","candidate","1.6027588","1.5625","0"
"14","1","candidate","1.551014","1.5","0"
"14","2","parent","1.4896329","1.453125","0"
"15","1","parent","1.5001454","1.46875","0"
"15","2","candidate","1.5177504","1.484375","0"
"16","1","candidate","1.5183333","1.46875","0"
"16","2","parent","1.4949704","1.453125","0"
"17","1","parent","1.5030565","1.453125","0"
"17","2","candidate","1.5179298","1.5","0"
"18","1","candidate","1.5075137","1.5","0"
"18","2","parent","1.4947279","1.453125","0"
"19","1","parent","1.4963272","1.453125","0"
"19","2","candidate","1.5311573","1.5","0"
"20","1","candidate","1.5795894","1.53125","0"
"20","2","parent","1.5330114","1.46875","0"
"21","1","parent","1.6830385","1.609375","0"
"21","2","candidate","1.6316523","1.578125","0"
"22","1","candidate","1.5655303","1.515625","0"
"22","2","parent","1.4953255","1.46875","0"
"23","1","parent","1.5049663","1.46875","0"
"23","2","candidate","1.5189683","1.484375","0"
"24","1","candidate","1.5097348","1.46875","0"
"24","2","parent","1.5041816","1.5","0"
"25","1","parent","1.6102821","1.453125","0"
"25","2","candidate","1.5214958","1.484375","0"
"26","1","candidate","1.5068943","1.5","0"
"26","2","parent","1.4841695","1.4375","0"
"27","1","parent","1.4968588","1.453125","0"
"27","2","candidate","1.5195862","1.5","0"
"28","1","candidate","1.5758895","1.53125","0"
"28","2","parent","1.5124318","1.46875","0"
"29","1","parent","1.6360015","1.546875","0"
"29","2","candidate","1.5155704","1.5","0"
"30","1","candidate","1.5345969","1.5","0"
"30","2","parent","1.5266657","1.53125","0"
"31","1","parent","1.5161523","1.515625","0"
"31","2","candidate","1.566668","1.53125","0"
"32","1","candidate","1.5596434","1.53125","0"
"32","2","parent","1.5365174","1.515625","0"
"33","1","parent","1.5152453","1.421875","0"
"33","2","candidate","1.5345636","1.5","0"
"34","1","candidate","1.5490539","1.453125","0"
"34","2","parent","1.4926818","1.4375","0"
"35","1","parent","1.5277629","1.5","0"
"35","2","candidate","1.5525612","1.515625","0"
"36","1","candidate","1.6015803","1.578125","0"
"36","2","parent","1.562746","1.5","0"
"37","1","parent","1.5103889","1.453125","0"
"37","2","candidate","1.5338824","1.5","0"
"38","1","candidate","1.680833","1.484375","0"
"38","2","parent","1.5201571","1.484375","0"
"39","1","parent","1.5234823","1.484375","0"
"39","2","candidate","1.5526193","1.53125","0"
"40","1","candidate","1.5419877","1.53125","0"
"40","2","parent","1.5133615","1.453125","0"
"41","1","parent","1.5410544","1.5","0"
"41","2","candidate","1.5439643","1.515625","0"
"42","1","candidate","1.5444533","1.53125","0"
"42","2","parent","1.5287509","1.484375","0"
"43","1","parent","1.5214433","1.453125","0"
"43","2","candidate","1.5529981","1.53125","0"
"44","1","candidate","1.659811","1.46875","0"
"44","2","parent","1.5254982","1.5","0"
"45","1","parent","1.513459","1.484375","0"
"45","2","candidate","1.5358278","1.5","0"
"46","1","candidate","1.5015585","1.484375","0"
"46","2","parent","1.5321089","1.5","0"
"47","1","parent","1.5401325","1.484375","0"
"47","2","candidate","1.6411363","1.625","0"
"48","1","candidate","1.5411784","1.484375","0"
"48","2","parent","1.5008888","1.46875","0"
"49","1","parent","1.5177641","1.5","0"
"49","2","candidate","1.5376795","1.53125","0"
"50","1","candidate","1.5570362","1.484375","0"
"50","2","parent","1.4903109","1.453125","0"
"51","1","parent","1.6548309","1.453125","0"
"51","2","candidate","1.8052981","1.796875","0"
"52","1","candidate","1.6057349","1.5625","0"
"52","2","parent","1.5757586","1.546875","0"
"53","1","parent","1.5076414","1.46875","0"
"53","2","candidate","1.5436861","1.484375","0"
"54","1","candidate","1.5269567","1.4375","0"
"54","2","parent","1.5000101","1.484375","0"
"55","1","parent","1.4970464","1.453125","0"
"55","2","candidate","1.5105922","1.5","0"
"56","1","candidate","1.5291066","1.484375","0"
"56","2","parent","1.5061677","1.484375","0"
"57","1","parent","1.4970549","1.421875","0"
"57","2","candidate","1.5446723","1.5","0"
"58","1","candidate","1.5399382","1.53125","0"
"58","2","parent","1.5157721","1.46875","0"
"59","1","parent","1.4969567","1.453125","0"
"59","2","candidate","1.5865751","1.578125","0"
"60","1","candidate","1.5513677","1.484375","0"
"60","2","parent","1.5256799","1.53125","0"
"61","1","parent","1.5208074","1.5","0"
"61","2","candidate","1.5340304","1.484375","0"
"62","1","candidate","1.5420462","1.46875","0"
"62","2","parent","1.4948142","1.46875","0"
"63","1","parent","1.4998125","1.484375","0"
"63","2","candidate","1.6220266","1.59375","0"
"64","1","candidate","1.537487","1.515625","0"
"64","2","parent","1.5014745","1.46875","0"
