"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7967889","1.703125","0"
"1","2","candidate","1.7750257","1.625","0"
"2","1","candidate","1.4576067","1.4375","0"
"2","2","parent","1.5971557","1.546875","0"
"3","1","parent","1.5692471","1.546875","0"
"3","2","candidate","1.4644927","1.4375","0"
"4","1","candidate","1.4490839","1.4375","0"
"4","2","parent","1.4976536","1.46875","0"
"5","1","parent","1.5197848","1.453125","0"
"5","2","candidate","1.3868417","1.328125","0"
"6","1","candidate","1.415641","1.390625","0"
"6","2","parent","1.5160555","1.515625","0"
"7","1","parent","1.5794278","1.546875","0"
"7","2","candidate","1.43174","1.390625","0"
"8","1","candidate","1.430731","1.375","0"
"8","2","parent","1.5127957","1.46875","0"
"9","1","parent","1.5156353","1.5","0"
"9","2","candidate","1.4553718","1.421875","0"
"10","1","candidate","1.4394282","1.40625","0"
"10","2","parent","1.556056","1.515625","0"
"11","1","parent","1.4726425","1.453125","0"
"11","2","candidate","1.39675","1.359375","0"
"12","1","candidate","1.4092791","1.375","0"
"12","2","parent","1.5028067","1.484375","0"
"13","1","parent","1.5831355","1.4375","0"
"13","2","candidate","1.3812402","1.359375","0"
"14","1","candidate","1.3921274","1.375","0"
"14","2","parent","1.5168688","1.5","0"
"15","1","parent","1.5393494","1.53125","0"
"15","2","candidate","1.3715718","1.3125","0"
"16","1","candidate","1.4066953","1.390625","0"
"16","2","parent","1.5081042","1.453125","0"
"17","1","parent","1.6783411","1.65625","0"
"17","2","candidate","1.4304488","1.390625","0"
"18","1","candidate","1.4099861","1.375","0"
"18","2","parent","1.4578112","1.4375","0"
"19","1","parent","1.4645141","1.453125","0"
"19","2","candidate","1.3722654","1.34375","0"
"20","1","candidate","1.382127","1.34375","0"
"20","2","parent","1.4716821","1.421875","0"
"21","1","parent","1.4671895","1.4375","0"
"21","2","candidate","1.3823404","1.328125","0"
"22","1","candidate","1.3663547","1.34375","0"
"22","2","parent","1.4722818","1.46875","0"
"23","1","parent","1.4842132","1.4375","0"
"23","2","candidate","1.4354093","1.390625","0"
"24","1","candidate","1.3688253","1.34375","0"
"24","2","parent","1.5340097","1.5","0"
"25","1","parent","1.4970967","1.46875","0"
"25","2","candidate","1.3877417","1.328125","0"
"26","1","candidate","1.3810498","1.359375","0"
"26","2","parent","1.4675786","1.4375","0"
"27","1","parent","1.4694213","1.4375","0"
"27","2","candidate","1.3597677","1.34375","0"
"28","1","candidate","1.3701621","1.359375","0"
"28","2","parent","1.4824271","1.484375","0"
"29","1","parent","1.469062","1.4375","0"
"29","2","candidate","1.3668579","1.34375","0"
"30","1","candidate","1.3622678","1.328125","0"
"30","2","parent","1.4665016","1.421875","0"
"31","1","parent","1.4838255","1.390625","0"
"31","2","candidate","1.3649825","1.359375","0"
"32","1","candidate","1.4344448","1.390625","0"
"32","2","parent","1.4566076","1.421875","0"
"33","1","parent","1.525748","1.46875","0"
"33","2","candidate","1.3705544","1.34375","0"
"34","1","candidate","1.3889192","1.34375","0"
"34","2","parent","1.5132687","1.484375","0"
"35","1","parent","1.4842108","1.453125","0"
"35","2","candidate","1.3690233","1.34375","0"
"36","1","candidate","1.3982218","1.359375","0"
"36","2","parent","1.4723111","1.453125","0"
"37","1","parent","1.5029521","1.5","0"
"37","2","candidate","1.4725544","1.4375","0"
"38","1","candidate","1.3725544","1.359375","0"
"38","2","parent","1.4644369","1.421875","0"
"39","1","parent","1.4709892","1.40625","0"
"39","2","candidate","1.3461609","1.28125","0"
"40","1","candidate","1.3716416","1.328125","0"
"40","2","parent","1.5496769","1.515625","0"
"41","1","parent","1.5393885","1.5","0"
"41","2","candidate","1.5652654","1.515625","0"
"42","1","candidate","1.4500946","1.421875","0"
"42","2","parent","1.4898888","1.484375","0"
"43","1","parent","1.4554652","1.4375","0"
"43","2","candidate","1.3675456","1.34375","0"
"44","1","candidate","1.362788","1.34375","0"
"44","2","parent","1.4896537","1.46875","0"
"45","1","parent","1.4962765","1.484375","0"
"45","2","candidate","1.5161136","1.46875","0"
"46","1","candidate","1.372518","1.34375","0"
"46","2","parent","1.458176","1.4375","0"
"47","1","parent","1.4545161","1.421875","0"
"47","2","candidate","1.3718498","1.265625","0"
"48","1","candidate","1.3540859","1.34375","0"
"48","2","parent","1.5019868","1.484375","0"
"49","1","parent","1.5074087","1.46875","0"
"49","2","candidate","1.4052581","1.40625","0"
"50","1","candidate","1.3552408","1.359375","0"
"50","2","parent","1.4738992","1.4375","0"
"51","1","parent","1.5880134","1.546875","0"
"51","2","candidate","1.3787458","1.359375","0"
"52","1","candidate","1.3866663","1.375","0"
"52","2","parent","1.4703887","1.453125","0"
"53","1","parent","1.5596379","1.515625","0"
"53","2","candidate","1.394679","1.359375","0"
"54","1","candidate","1.3701254","1.359375","0"
"54","2","parent","1.4767777","1.484375","0"
"55","1","parent","1.4957651","1.46875","0"
"55","2","candidate","1.5170721","1.484375","0"
"56","1","candidate","1.3948556","1.375","0"
"56","2","parent","1.5115187","1.484375","0"
"57","1","parent","1.5307423","1.5","0"
"57","2","candidate","1.3925414","1.375","0"
"58","1","candidate","1.4067389","1.375","0"
"58","2","parent","1.480742","1.46875","0"
"59","1","parent","1.5666758","1.53125","0"
"59","2","candidate","1.42473","1.40625","0"
"60","1","candidate","1.3777923","1.359375","0"
"60","2","parent","1.4875991","1.453125","0"
"61","1","parent","1.4682858","1.421875","0"
"61","2","candidate","1.3685388","1.328125","0"
"62","1","candidate","1.3760197","1.359375","0"
"62","2","parent","1.4638259","1.453125","0"
"63","1","parent","1.4559722","1.453125","0"
"63","2","candidate","1.3887086","1.328125","0"
"64","1","candidate","1.3491397","1.328125","0"
"64","2","parent","1.4775083","1.4375","0"
