"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4742733","1.453125","0"
"1","2","candidate","1.5336109","1.46875","0"
"2","1","candidate","1.4863778","1.453125","0"
"2","2","parent","1.6237594","1.578125","0"
"3","1","parent","1.5240368","1.5","0"
"3","2","candidate","1.5895012","1.59375","0"
"4","1","candidate","1.522309","1.484375","0"
"4","2","parent","1.5323976","1.515625","0"
"5","1","parent","1.524104","1.484375","0"
"5","2","candidate","1.5052173","1.453125","0"
"6","1","candidate","1.6389608","1.609375","0"
"6","2","parent","1.4861995","1.46875","0"
"7","1","parent","1.5527794","1.53125","0"
"7","2","candidate","1.4195107","1.390625","0"
"8","1","candidate","1.5421916","1.5","0"
"8","2","parent","1.4368462","1.390625","0"
"9","1","parent","1.4801608","1.484375","0"
"9","2","candidate","1.5390341","1.46875","0"
"10","1","candidate","1.4803566","1.453125","0"
"10","2","parent","1.5172205","1.484375","0"
"11","1","parent","1.4688271","1.421875","0"
"11","2","candidate","1.5352185","1.5","0"
"12","1","candidate","1.6180561","1.59375","0"
"12","2","parent","1.4877679","1.46875","0"
"13","1","parent","1.484509","1.4375","0"
"13","2","candidate","1.5272706","1.5","0"
"14","1","candidate","1.5132887","1.46875","0"
"14","2","parent","1.5060644","1.453125","0"
"15","1","parent","1.5002649","1.453125","0"
"15","2","candidate","1.4936761","1.46875","0"
"16","1","candidate","1.5160709","1.5","0"
"16","2","parent","1.4675701","1.4375","0"
"17","1","parent","1.4364559","1.40625","0"
"17","2","candidate","1.5158561","1.46875","0"
"18","1","candidate","1.4766705","1.453125","0"
"18","2","parent","1.4684729","1.4375","0"
"19","1","parent","1.5225784","1.46875","0"
"19","2","candidate","1.5085751","1.453125","0"
"20","1","candidate","1.5629508","1.5","0"
"20","2","parent","1.4924039","1.46875","0"
"21","1","parent","1.5137096","1.484375","0"
"21","2","candidate","1.4230997","1.390625","0"
"22","1","candidate","1.5477175","1.5","0"
"22","2","parent","1.4682546","1.390625","0"
"23","1","parent","1.4758402","1.4375","0"
"23","2","candidate","1.5230715","1.5","0"
"24","1","candidate","1.4754057","1.4375","0"
"24","2","parent","1.5203447","1.53125","0"
"25","1","parent","1.4775677","1.4375","0"
"25","2","candidate","1.5128531","1.46875","0"
"26","1","candidate","1.5139322","1.46875","0"
"26","2","parent","1.464116","1.4375","0"
"27","1","parent","1.4944338","1.46875","0"
"27","2","candidate","1.5001113","1.453125","0"
"28","1","candidate","1.4994999","1.484375","0"
"28","2","parent","1.6984845","1.546875","0"
"29","1","parent","1.6118834","1.5","0"
"29","2","candidate","1.5144862","1.484375","0"
"30","1","candidate","1.4857315","1.453125","0"
"30","2","parent","1.4834602","1.46875","0"
"31","1","parent","1.4445365","1.4375","0"
"31","2","candidate","1.522719","1.515625","0"
"32","1","candidate","1.5087591","1.484375","0"
"32","2","parent","1.4982289","1.46875","0"
"33","1","parent","1.6931419","1.671875","0"
"33","2","candidate","1.4978536","1.46875","0"
"34","1","candidate","1.6152864","1.453125","0"
"34","2","parent","1.4876528","1.484375","0"
"35","1","parent","1.5087429","1.484375","0"
"35","2","candidate","1.4861248","1.46875","0"
"36","1","candidate","1.5644931","1.5","0"
"36","2","parent","1.4963309","1.46875","0"
"37","1","parent","1.5773224","1.546875","0"
"37","2","candidate","1.5414049","1.5","0"
"38","1","candidate","1.4705521","1.4375","0"
"38","2","parent","1.5079367","1.46875","0"
"39","1","parent","1.4649707","1.46875","0"
"39","2","candidate","1.5345366","1.53125","0"
"40","1","candidate","1.5642957","1.546875","0"
"40","2","parent","1.5288121","1.53125","0"
"41","1","parent","1.4413999","1.4375","0"
"41","2","candidate","1.4832083","1.484375","0"
"42","1","candidate","1.5397508","1.5","0"
"42","2","parent","1.4400839","1.40625","0"
"43","1","parent","1.532042","1.515625","0"
"43","2","candidate","1.4851002","1.453125","0"
"44","1","candidate","1.5611469","1.53125","0"
"44","2","parent","1.6139998","1.421875","0"
"45","1","parent","1.5391489","1.515625","0"
"45","2","candidate","1.5352288","1.46875","0"
"46","1","candidate","1.6068516","1.546875","0"
"46","2","parent","1.6941454","1.671875","0"
"47","1","parent","1.5605127","1.53125","0"
"47","2","candidate","1.6734796","1.484375","0"
"48","1","candidate","1.4647347","1.390625","0"
"48","2","parent","1.5210288","1.5","0"
"49","1","parent","1.5735984","1.546875","0"
"49","2","candidate","1.4635175","1.4375","0"
"50","1","candidate","1.6121205","1.59375","0"
"50","2","parent","1.6982234","1.5625","0"
"51","1","parent","1.475766","1.4375","0"
"51","2","candidate","1.5326589","1.5","0"
"52","1","candidate","1.5356056","1.5","0"
"52","2","parent","1.49758","1.5","0"
"53","1","parent","1.4660795","1.4375","0"
"53","2","candidate","1.5305673","1.5","0"
"54","1","candidate","1.4711725","1.4375","0"
"54","2","parent","1.4969003","1.484375","0"
"55","1","parent","1.4721678","1.46875","0"
"55","2","candidate","1.4749996","1.453125","0"
"56","1","candidate","1.5172735","1.515625","0"
"56","2","parent","1.4750325","1.453125","0"
"57","1","parent","1.4979418","1.484375","0"
"57","2","candidate","1.587776","1.46875","0"
"58","1","candidate","1.5116557","1.5","0"
"58","2","parent","1.3955529","1.375","0"
"59","1","parent","1.511403","1.46875","0"
"59","2","candidate","1.5068747","1.484375","0"
"60","1","candidate","1.5118959","1.484375","0"
"60","2","parent","1.5553032","1.53125","0"
"61","1","parent","1.4715991","1.46875","0"
"61","2","candidate","1.5655993","1.515625","0"
"62","1","candidate","1.4450165","1.40625","0"
"62","2","parent","1.5534309","1.546875","0"
"63","1","parent","1.5101575","1.375","0"
"63","2","candidate","1.5374455","1.515625","0"
"64","1","candidate","1.4802516","1.46875","0"
"64","2","parent","1.4643756","1.46875","0"
