"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4872309","1.453125","0"
"1","2","candidate","1.5249294","1.5","0"
"2","1","candidate","1.5555913","1.53125","0"
"2","2","parent","1.5025262","1.5","0"
"3","1","parent","1.5606868","1.5","0"
"3","2","candidate","1.6036708","1.421875","0"
"4","1","candidate","1.5432774","1.5","0"
"4","2","parent","1.4618949","1.46875","0"
"5","1","parent","1.5316131","1.515625","0"
"5","2","candidate","1.5450597","1.546875","0"
"6","1","candidate","1.5088864","1.46875","0"
"6","2","parent","1.4744093","1.4375","0"
"7","1","parent","1.5311244","1.5","0"
"7","2","candidate","1.4897087","1.46875","0"
"8","1","candidate","1.5051075","1.5","0"
"8","2","parent","1.472667","1.421875","0"
"9","1","parent","1.52168","1.484375","0"
"9","2","candidate","1.4317267","1.390625","0"
"10","1","candidate","1.5488623","1.53125","0"
"10","2","parent","1.4535269","1.40625","0"
"11","1","parent","1.489378","1.40625","0"
"11","2","candidate","1.4066112","1.390625","0"
"12","1","candidate","1.3675007","1.34375","0"
"12","2","parent","1.3848227","1.375","0"
"13","1","parent","1.4287444","1.40625","0"
"13","2","candidate","1.363165","1.34375","0"
"14","1","candidate","1.4156653","1.40625","0"
"14","2","parent","1.3554484","1.296875","0"
"15","1","parent","1.3707738","1.328125","0"
"15","2","candidate","1.3671609","1.328125","0"
"16","1","candidate","1.3734684","1.359375","0"
"16","2","parent","1.3827738","1.359375","0"
"17","1","parent","1.3880787","1.359375","0"
"17","2","candidate","1.3960178","1.359375","0"
"18","1","candidate","1.3946722","1.375","0"
"18","2","parent","1.3727424","1.359375","0"
"19","1","parent","1.3897242","1.359375","0"
"19","2","candidate","1.3939334","1.375","0"
"20","1","candidate","1.3960542","1.375","0"
"20","2","parent","1.3742561","1.328125","0"
"21","1","parent","1.3784194","1.375","0"
"21","2","candidate","1.4104011","1.359375","0"
"22","1","candidate","1.5358087","1.5","0"
"22","2","parent","1.3994438","1.359375","0"
"23","1","parent","1.4040325","1.390625","0"
"23","2","candidate","1.3816269","1.359375","0"
"24","1","candidate","1.4158035","1.375","0"
"24","2","parent","1.3802404","1.359375","0"
"25","1","parent","1.4056429","1.390625","0"
"25","2","candidate","1.3770926","1.34375","0"
"26","1","candidate","1.3712417","1.3125","0"
"26","2","parent","1.3780818","1.34375","0"
"27","1","parent","1.4036962","1.375","0"
"27","2","candidate","1.4984699","1.34375","0"
"28","1","candidate","1.3990354","1.375","0"
"28","2","parent","1.3734323","1.328125","0"
"29","1","parent","1.3961805","1.34375","0"
"29","2","candidate","1.3723191","1.375","0"
"30","1","candidate","1.3757558","1.34375","0"
"30","2","parent","1.4322132","1.40625","0"
"31","1","parent","1.3727159","1.328125","0"
"31","2","candidate","1.414317","1.375","0"
"32","1","candidate","1.3719192","1.328125","0"
"32","2","parent","1.3636829","1.375","0"
"33","1","parent","1.3694646","1.34375","0"
"33","2","candidate","1.3747427","1.3125","0"
"34","1","candidate","1.3718469","1.328125","0"
"34","2","parent","1.3673407","1.328125","0"
"35","1","parent","1.3804555","1.359375","0"
"35","2","candidate","1.3780447","1.34375","0"
"36","1","candidate","1.3778267","1.375","0"
"36","2","parent","1.3600427","1.328125","0"
"37","1","parent","1.3624014","1.375","0"
"37","2","candidate","1.37071","1.34375","0"
"38","1","candidate","1.3575501","1.328125","0"
"38","2","parent","1.3597001","1.3125","0"
"39","1","parent","1.367043","1.3125","0"
"39","2","candidate","1.4475626","1.40625","0"
"40","1","candidate","1.3725593","1.359375","0"
"40","2","parent","1.3874942","1.328125","0"
"41","1","parent","1.3903698","1.34375","0"
"41","2","candidate","1.4041587","1.390625","0"
"42","1","candidate","1.4040879","1.375","0"
"42","2","parent","1.3718353","1.359375","0"
"43","1","parent","1.3731551","1.28125","0"
"43","2","candidate","1.3955269","1.375","0"
"44","1","candidate","1.3834561","1.359375","0"
"44","2","parent","1.4006641","1.375","0"
"45","1","parent","1.5102721","1.5","0"
"45","2","candidate","1.3718046","1.359375","0"
"46","1","candidate","1.3618036","1.34375","0"
"46","2","parent","1.3700882","1.328125","0"
"47","1","parent","1.3631122","1.3125","0"
"47","2","candidate","1.361931","1.3125","0"
"48","1","candidate","1.4308553","1.4375","0"
"48","2","parent","1.3816839","1.265625","0"
"49","1","parent","1.5141769","1.34375","0"
"49","2","candidate","1.3737833","1.328125","0"
"50","1","candidate","1.3864682","1.328125","0"
"50","2","parent","1.3775493","1.328125","0"
"51","1","parent","1.4770667","1.34375","0"
"51","2","candidate","1.3704248","1.328125","0"
"52","1","candidate","1.3624391","1.34375","0"
"52","2","parent","1.3777976","1.296875","0"
"53","1","parent","1.4116116","1.375","0"
"53","2","candidate","1.4849775","1.4375","0"
"54","1","candidate","1.68908","1.53125","0"
"54","2","parent","1.4024619","1.40625","0"
"55","1","parent","1.361261","1.34375","0"
"55","2","candidate","1.3694995","1.34375","0"
"56","1","candidate","1.3753916","1.359375","0"
"56","2","parent","1.4262729","1.359375","0"
"57","1","parent","1.3690698","1.359375","0"
"57","2","candidate","1.4071722","1.328125","0"
"58","1","candidate","1.4151417","1.375","0"
"58","2","parent","1.3677286","1.3125","0"
"59","1","parent","1.3783526","1.34375","0"
"59","2","candidate","1.391763","1.34375","0"
"60","1","candidate","1.3586199","1.34375","0"
"60","2","parent","1.3486415","1.328125","0"
"61","1","parent","1.3762579","1.34375","0"
"61","2","candidate","1.3747287","1.359375","0"
"62","1","candidate","1.3859197","1.34375","0"
"62","2","parent","1.3607783","1.328125","0"
"63","1","parent","1.3589791","1.328125","0"
"63","2","candidate","1.3592786","1.328125","0"
"64","1","candidate","1.3698956","1.3125","0"
"64","2","parent","1.3720032","1.34375","0"
