"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5972177","1.5625","0"
"1","2","candidate","1.4808214","1.484375","0"
"2","1","candidate","1.473671","1.46875","0"
"2","2","parent","1.5285392","1.46875","0"
"3","1","parent","1.452785","1.421875","0"
"3","2","candidate","1.5411031","1.484375","0"
"4","1","candidate","1.4332754","1.375","0"
"4","2","parent","1.541315","1.515625","0"
"5","1","parent","1.4623267","1.4375","0"
"5","2","candidate","1.6089383","1.578125","0"
"6","1","candidate","1.5118641","1.46875","0"
"6","2","parent","1.4998413","1.484375","0"
"7","1","parent","1.5444324","1.53125","0"
"7","2","candidate","1.5280556","1.53125","0"
"8","1","candidate","1.6548049","1.625","0"
"8","2","parent","1.5900921","1.5625","0"
"9","1","parent","1.6420544","1.5","0"
"9","2","candidate","1.6401299","1.625","0"
"10","1","candidate","1.4673363","1.4375","0"
"10","2","parent","1.5179931","1.46875","0"
"11","1","parent","1.6121899","1.484375","0"
"11","2","candidate","1.5073677","1.5","0"
"12","1","candidate","1.5259761","1.46875","0"
"12","2","parent","1.4689031","1.4375","0"
"13","1","parent","1.5186575","1.46875","0"
"13","2","candidate","1.5960285","1.5625","0"
"14","1","candidate","1.5256217","1.484375","0"
"14","2","parent","1.4280871","1.390625","0"
"15","1","parent","1.5748632","1.5625","0"
"15","2","candidate","1.5299334","1.5","0"
"16","1","candidate","1.6517358","1.484375","0"
"16","2","parent","1.552747","1.5625","0"
"17","1","parent","1.4615985","1.4375","0"
"17","2","candidate","1.6303555","1.484375","0"
"18","1","candidate","1.4508544","1.421875","0"
"18","2","parent","1.5147952","1.515625","0"
"19","1","parent","1.4620777","1.4375","0"
"19","2","candidate","1.5046243","1.484375","0"
"20","1","candidate","1.5171924","1.484375","0"
"20","2","parent","1.5027089","1.484375","0"
"21","1","parent","1.4737439","1.453125","0"
"21","2","candidate","1.6174432","1.59375","0"
"22","1","candidate","1.7271911","1.546875","0"
"22","2","parent","1.5272691","1.484375","0"
"23","1","parent","1.5300818","1.484375","0"
"23","2","candidate","1.5705038","1.53125","0"
"24","1","candidate","1.4215558","1.375","0"
"24","2","parent","1.5494771","1.53125","0"
"25","1","parent","1.4748153","1.453125","0"
"25","2","candidate","1.4926021","1.484375","0"
"26","1","candidate","1.5276448","1.515625","0"
"26","2","parent","1.4693264","1.4375","0"
"27","1","parent","1.5363124","1.515625","0"
"27","2","candidate","1.4768985","1.4375","0"
"28","1","candidate","1.5097299","1.46875","0"
"28","2","parent","1.5208982","1.5","0"
"29","1","parent","1.5316031","1.484375","0"
"29","2","candidate","1.4764296","1.453125","0"
"30","1","candidate","1.4862725","1.4375","0"
"30","2","parent","1.5141998","1.46875","0"
"31","1","parent","1.5198774","1.46875","0"
"31","2","candidate","1.5206909","1.484375","0"
"32","1","candidate","1.5205105","1.515625","0"
"32","2","parent","1.5534503","1.53125","0"
"33","1","parent","1.5730736","1.53125","0"
"33","2","candidate","1.5174831","1.484375","0"
"34","1","candidate","1.4782825","1.453125","0"
"34","2","parent","1.5347145","1.515625","0"
"35","1","parent","1.493214","1.453125","0"
"35","2","candidate","1.4534967","1.390625","0"
"36","1","candidate","1.3923547","1.359375","0"
"36","2","parent","1.3797823","1.359375","0"
"37","1","parent","1.3678073","1.34375","0"
"37","2","candidate","1.3683776","1.375","0"
"38","1","candidate","1.3685693","1.34375","0"
"38","2","parent","1.3727024","1.328125","0"
"39","1","parent","1.4253454","1.375","0"
"39","2","candidate","1.3738983","1.375","0"
"40","1","candidate","1.4164208","1.390625","0"
"40","2","parent","1.3719995","1.359375","0"
"41","1","parent","1.3830035","1.390625","0"
"41","2","candidate","1.3659244","1.34375","0"
"42","1","candidate","1.3633074","1.359375","0"
"42","2","parent","1.3712322","1.328125","0"
"43","1","parent","1.3630641","1.34375","0"
"43","2","candidate","1.367324","1.375","0"
"44","1","candidate","1.4744965","1.40625","0"
"44","2","parent","1.378971","1.375","0"
"45","1","parent","1.4168219","1.375","0"
"45","2","candidate","1.3933281","1.359375","0"
"46","1","candidate","1.3696313","1.375","0"
"46","2","parent","1.3694476","1.359375","0"
"47","1","parent","1.3691532","1.34375","0"
"47","2","candidate","1.3875532","1.34375","0"
"48","1","candidate","1.4127834","1.375","0"
"48","2","parent","1.3810771","1.359375","0"
"49","1","parent","1.4209336","1.390625","0"
"49","2","candidate","1.3801262","1.359375","0"
"50","1","candidate","1.3962167","1.359375","0"
"50","2","parent","1.3785939","1.34375","0"
"51","1","parent","1.5025169","1.359375","0"
"51","2","candidate","1.3633977","1.3125","0"
"52","1","candidate","1.3846078","1.34375","0"
"52","2","parent","1.3618903","1.328125","0"
"53","1","parent","1.3930136","1.34375","0"
"53","2","candidate","1.3642628","1.328125","0"
"54","1","candidate","1.3660018","1.328125","0"
"54","2","parent","1.3629089","1.328125","0"
"55","1","parent","1.3736026","1.3125","0"
"55","2","candidate","1.3739527","1.3125","0"
"56","1","candidate","1.3882623","1.328125","0"
"56","2","parent","1.4592452","1.40625","0"
"57","1","parent","1.3758045","1.390625","0"
"57","2","candidate","1.4265288","1.40625","0"
"58","1","candidate","1.366932","1.359375","0"
"58","2","parent","1.3971997","1.34375","0"
"59","1","parent","1.4875535","1.3125","0"
"59","2","candidate","1.3790317","1.34375","0"
"60","1","candidate","1.3630226","1.3125","0"
"60","2","parent","1.4240439","1.359375","0"
"61","1","parent","1.3788708","1.34375","0"
"61","2","candidate","1.3849644","1.34375","0"
