"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4885271","1.484375","0"
"1","2","candidate","1.5367741","1.515625","0"
"2","1","candidate","1.4266728","1.375","0"
"2","2","parent","1.6932072","1.640625","0"
"3","1","parent","1.4607654","1.40625","0"
"3","2","candidate","1.5018715","1.46875","0"
"4","1","candidate","1.5607829","1.53125","0"
"4","2","parent","1.4506612","1.421875","0"
"5","1","parent","1.5579189","1.515625","0"
"5","2","candidate","1.5659733","1.546875","0"
"6","1","candidate","1.5678951","1.546875","0"
"6","2","parent","1.4814126","1.453125","0"
"7","1","parent","1.5197495","1.5","0"
"7","2","candidate","1.6790019","1.515625","0"
"8","1","candidate","1.4951361","1.46875","0"
"8","2","parent","1.5458492","1.53125","0"
"9","1","parent","1.4971933","1.4375","0"
"9","2","candidate","1.4954809","1.46875","0"
"10","1","candidate","1.5130934","1.484375","0"
"10","2","parent","1.4930687","1.453125","0"
"11","1","parent","1.5383006","1.546875","0"
"11","2","candidate","1.5808179","1.453125","0"
"12","1","candidate","1.5706334","1.53125","0"
"12","2","parent","1.4855497","1.4375","0"
"13","1","parent","1.498827","1.484375","0"
"13","2","candidate","1.5406658","1.53125","0"
"14","1","candidate","1.4583488","1.4375","0"
"14","2","parent","1.5502301","1.5","0"
"15","1","parent","1.4787506","1.4375","0"
"15","2","candidate","1.5544857","1.515625","0"
"16","1","candidate","1.4733358","1.453125","0"
"16","2","parent","1.4858869","1.46875","0"
"17","1","parent","1.5030409","1.46875","0"
"17","2","candidate","1.5138209","1.5","0"
"18","1","candidate","1.5081021","1.46875","0"
"18","2","parent","1.5585368","1.53125","0"
"19","1","parent","1.4815753","1.4375","0"
"19","2","candidate","1.5319481","1.5","0"
"20","1","candidate","1.5970451","1.578125","0"
"20","2","parent","1.5185776","1.5","0"
"21","1","parent","1.4196026","1.390625","0"
"21","2","candidate","1.6076567","1.515625","0"
"22","1","candidate","1.4875384","1.46875","0"
"22","2","parent","1.5438221","1.515625","0"
"23","1","parent","1.526702","1.53125","0"
"23","2","candidate","1.5107221","1.453125","0"
"24","1","candidate","1.5941092","1.578125","0"
"24","2","parent","1.5258837","1.46875","0"
"25","1","parent","1.5386524","1.546875","0"
"25","2","candidate","1.5108267","1.46875","0"
"26","1","candidate","1.5053411","1.484375","0"
"26","2","parent","1.5242465","1.484375","0"
"27","1","parent","1.5366405","1.53125","0"
"27","2","candidate","1.5140886","1.5","0"
"28","1","candidate","1.5201254","1.5","0"
"28","2","parent","1.6302337","1.484375","0"
"29","1","parent","1.5126334","1.484375","0"
"29","2","candidate","1.4712905","1.4375","0"
"30","1","candidate","1.5168332","1.5","0"
"30","2","parent","1.443222","1.375","0"
"31","1","parent","1.575101","1.578125","0"
"31","2","candidate","1.5098891","1.515625","0"
"32","1","candidate","1.5064383","1.484375","0"
"32","2","parent","1.5577363","1.5625","0"
"33","1","parent","1.4817995","1.453125","0"
"33","2","candidate","1.5394502","1.546875","0"
"34","1","candidate","1.4382983","1.4375","0"
"34","2","parent","1.6522135","1.65625","0"
"35","1","parent","1.4683955","1.46875","0"
"35","2","candidate","1.5165422","1.46875","0"
"36","1","candidate","1.4832798","1.46875","0"
"36","2","parent","1.494703","1.5","0"
"37","1","parent","1.4907084","1.453125","0"
"37","2","candidate","1.4804811","1.453125","0"
"38","1","candidate","1.50284","1.46875","0"
"38","2","parent","1.5413007","1.5","0"
"39","1","parent","1.5150854","1.484375","0"
"39","2","candidate","1.5152725","1.5","0"
"40","1","candidate","1.5074182","1.515625","0"
"40","2","parent","1.5339298","1.484375","0"
"41","1","parent","1.5003397","1.4375","0"
"41","2","candidate","1.510429","1.484375","0"
"42","1","candidate","1.6220138","1.5625","0"
"42","2","parent","1.536663","1.5","0"
"43","1","parent","1.6508399","1.640625","0"
"43","2","candidate","1.47473","1.453125","0"
"44","1","candidate","1.5236714","1.53125","0"
"44","2","parent","1.4214066","1.390625","0"
"45","1","parent","1.5544041","1.515625","0"
"45","2","candidate","1.472265","1.40625","0"
"46","1","candidate","1.4753034","1.46875","0"
"46","2","parent","1.578947","1.515625","0"
"47","1","parent","1.5139134","1.484375","0"
"47","2","candidate","1.5534173","1.5625","0"
"48","1","candidate","1.4990043","1.453125","0"
"48","2","parent","1.5265413","1.484375","0"
"49","1","parent","1.4746288","1.4375","0"
"49","2","candidate","1.4769833","1.40625","0"
