"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7370303","1.578125","0"
"1","2","candidate","1.9521777","1.8125","0"
"2","1","candidate","1.592928","1.5625","0"
"2","2","parent","1.6881559","1.671875","0"
"3","1","parent","1.5445458","1.484375","0"
"3","2","candidate","1.7255608","1.734375","0"
"4","1","candidate","1.5758116","1.5625","0"
"4","2","parent","1.6483985","1.609375","0"
"5","1","parent","1.6738916","1.65625","0"
"5","2","candidate","1.6447566","1.625","0"
"6","1","candidate","1.5219474","1.5","0"
"6","2","parent","1.5948988","1.5625","0"
"7","1","parent","1.5304537","1.46875","0"
"7","2","candidate","1.4953562","1.453125","0"
"8","1","candidate","1.4715879","1.4375","0"
"8","2","parent","1.4963208","1.484375","0"
"9","1","parent","1.5211328","1.46875","0"
"9","2","candidate","1.5011868","1.453125","0"
"10","1","candidate","1.4734694","1.4375","0"
"10","2","parent","1.4918384","1.46875","0"
"11","1","parent","1.5238139","1.5","0"
"11","2","candidate","1.5719564","1.546875","0"
"12","1","candidate","1.633184","1.578125","0"
"12","2","parent","1.650371","1.625","0"
"13","1","parent","1.5462709","1.5","0"
"13","2","candidate","1.4787177","1.4375","0"
"14","1","candidate","1.4841938","1.421875","0"
"14","2","parent","1.5059716","1.4375","0"
"15","1","parent","1.5108717","1.484375","0"
"15","2","candidate","1.4672907","1.453125","0"
"16","1","candidate","1.4832103","1.421875","0"
"16","2","parent","1.4913553","1.46875","0"
"17","1","parent","1.4946006","1.46875","0"
"17","2","candidate","1.4695491","1.453125","0"
"18","1","candidate","1.4618702","1.4375","0"
"18","2","parent","1.5057078","1.484375","0"
"19","1","parent","1.5442457","1.515625","0"
"19","2","candidate","1.4738052","1.421875","0"
"20","1","candidate","1.4615525","1.390625","0"
"20","2","parent","1.4920572","1.4375","0"
"21","1","parent","1.5199773","1.484375","0"
"21","2","candidate","1.4579484","1.421875","0"
"22","1","candidate","1.4758253","1.453125","0"
"22","2","parent","1.4830029","1.453125","0"
"23","1","parent","1.5031948","1.453125","0"
"23","2","candidate","1.4852974","1.484375","0"
"24","1","candidate","1.4881445","1.4375","0"
"24","2","parent","1.4907498","1.46875","0"
"25","1","parent","1.4993178","1.46875","0"
"25","2","candidate","1.4582375","1.4375","0"
"26","1","candidate","1.4709958","1.40625","0"
"26","2","parent","1.4701182","1.4375","0"
"27","1","parent","1.5002127","1.453125","0"
"27","2","candidate","1.6271216","1.59375","0"
"28","1","candidate","1.4565072","1.4375","0"
"28","2","parent","1.4642025","1.453125","0"
"29","1","parent","1.5312277","1.515625","0"
"29","2","candidate","1.454119","1.375","0"
"30","1","candidate","1.45457","1.4375","0"
"30","2","parent","1.4908398","1.40625","0"
"31","1","parent","1.4918648","1.453125","0"
"31","2","candidate","1.4752106","1.421875","0"
"32","1","candidate","1.4867373","1.46875","0"
"32","2","parent","1.4754087","1.421875","0"
"33","1","parent","1.4955515","1.484375","0"
"33","2","candidate","1.4672608","1.4375","0"
"34","1","candidate","1.4713982","1.40625","0"
"34","2","parent","1.482196","1.46875","0"
"35","1","parent","1.4945091","1.40625","0"
"35","2","candidate","1.5805417","1.53125","0"
"36","1","candidate","1.4536568","1.390625","0"
"36","2","parent","1.4813131","1.453125","0"
"37","1","parent","1.4931333","1.484375","0"
"37","2","candidate","1.459513","1.40625","0"
"38","1","candidate","1.4633935","1.4375","0"
"38","2","parent","1.455972","1.421875","0"
"39","1","parent","1.5097426","1.46875","0"
"39","2","candidate","1.4652802","1.4375","0"
"40","1","candidate","1.4491249","1.421875","0"
"40","2","parent","1.4597079","1.421875","0"
"41","1","parent","1.5053285","1.453125","0"
"41","2","candidate","1.4612155","1.34375","0"
"42","1","candidate","1.4683723","1.4375","0"
"42","2","parent","1.4747422","1.40625","0"
"43","1","parent","1.5194666","1.5","0"
"43","2","candidate","1.4887484","1.46875","0"
"44","1","candidate","1.5635401","1.546875","0"
"44","2","parent","1.4819678","1.46875","0"
"45","1","parent","1.5064908","1.421875","0"
"45","2","candidate","1.4678274","1.453125","0"
"46","1","candidate","1.4636643","1.40625","0"
"46","2","parent","1.4858351","1.421875","0"
"47","1","parent","1.4777746","1.4375","0"
"47","2","candidate","1.4642867","1.4375","0"
"48","1","candidate","1.434937","1.4375","0"
"48","2","parent","1.5875081","1.59375","0"
"49","1","parent","1.4866824","1.453125","0"
"49","2","candidate","1.4482252","1.40625","0"
"50","1","candidate","1.5335903","1.515625","0"
"50","2","parent","1.5451208","1.5","0"
"51","1","parent","1.4910416","1.46875","0"
"51","2","candidate","1.4839701","1.4375","0"
"52","1","candidate","1.4690905","1.4375","0"
"52","2","parent","1.4938705","1.453125","0"
"53","1","parent","1.5079807","1.5","0"
"53","2","candidate","1.4510892","1.421875","0"
"54","1","candidate","1.4744807","1.4375","0"
"54","2","parent","1.6064687","1.421875","0"
"55","1","parent","1.4841522","1.4375","0"
"55","2","candidate","1.4737559","1.4375","0"
"56","1","candidate","1.4486427","1.34375","0"
"56","2","parent","1.4736715","1.4375","0"
"57","1","parent","1.4921067","1.5","0"
"57","2","candidate","1.7483511","1.71875","0"
"58","1","candidate","1.7098701","1.671875","0"
"58","2","parent","1.6337001","1.5625","0"
"59","1","parent","1.6407757","1.484375","0"
"59","2","candidate","1.5811723","1.5625","0"
"60","1","candidate","1.7009207","1.53125","0"
"60","2","parent","1.4979204","1.46875","0"
"61","1","parent","1.5067357","1.46875","0"
"61","2","candidate","1.4510946","1.40625","0"
"62","1","candidate","1.462327","1.421875","0"
"62","2","parent","1.4624902","1.40625","0"
"63","1","parent","1.5343385","1.515625","0"
"63","2","candidate","1.4924146","1.46875","0"
"64","1","candidate","1.46613","1.453125","0"
"64","2","parent","1.4891761","1.4375","0"
