"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.664657","1.609375","0"
"1","2","candidate","1.6725131","1.625","0"
"2","1","candidate","1.5621945","1.53125","0"
"2","2","parent","1.8388782","1.734375","0"
"3","1","parent","1.7645584","1.75","0"
"3","2","candidate","1.7201159","1.703125","0"
"4","1","candidate","1.6466948","1.625","0"
"4","2","parent","1.6700614","1.625","0"
"5","1","parent","1.6760404","1.640625","0"
"5","2","candidate","1.6160524","1.59375","0"
"6","1","candidate","1.568601","1.546875","0"
"6","2","parent","1.7284425","1.6875","0"
"7","1","parent","1.5711487","1.5","0"
"7","2","candidate","1.711193","1.6875","0"
"8","1","candidate","1.5573763","1.515625","0"
"8","2","parent","1.6350899","1.53125","0"
"9","1","parent","1.67916","1.578125","0"
"9","2","candidate","1.6635645","1.609375","0"
"10","1","candidate","1.6838603","1.6875","0"
"10","2","parent","1.5950794","1.515625","0"
"11","1","parent","1.5939078","1.578125","0"
"11","2","candidate","1.7080932","1.65625","0"
"12","1","candidate","1.5857342","1.5625","0"
"12","2","parent","1.6833086","1.640625","0"
"13","1","parent","1.6302696","1.5625","0"
"13","2","candidate","1.6252449","1.578125","0"
"14","1","candidate","1.6250026","1.578125","0"
"14","2","parent","1.5508574","1.515625","0"
"15","1","parent","1.7624282","1.703125","0"
"15","2","candidate","1.6564086","1.546875","0"
"16","1","candidate","1.7597351","1.765625","0"
"16","2","parent","1.7609124","1.734375","0"
"17","1","parent","1.7289289","1.640625","0"
"17","2","candidate","1.6942264","1.609375","0"
"18","1","candidate","1.6866281","1.65625","0"
"18","2","parent","1.7617447","1.703125","0"
"19","1","parent","1.672185","1.640625","0"
"19","2","candidate","1.7213146","1.640625","0"
"20","1","candidate","1.5058959","1.46875","0"
"20","2","parent","1.7328142","1.65625","0"
"21","1","parent","1.5767478","1.53125","0"
"21","2","candidate","1.6082002","1.546875","0"
"22","1","candidate","1.6393551","1.59375","0"
"22","2","parent","1.604707","1.5","0"
"23","1","parent","1.8108949","1.71875","0"
"23","2","candidate","1.6340555","1.546875","0"
"24","1","candidate","1.5903796","1.546875","0"
"24","2","parent","1.6268673","1.609375","0"
"25","1","parent","1.4736097","1.421875","0"
"25","2","candidate","1.6201902","1.59375","0"
"26","1","candidate","1.5072388","1.46875","0"
"26","2","parent","1.5268876","1.5","0"
"27","1","parent","1.5424769","1.515625","0"
"27","2","candidate","1.5652333","1.53125","0"
"28","1","candidate","1.5052817","1.5","0"
"28","2","parent","1.593469","1.5625","0"
"29","1","parent","1.5510807","1.5","0"
"29","2","candidate","1.5426819","1.515625","0"
"30","1","candidate","1.6689923","1.625","0"
"30","2","parent","1.7239976","1.6875","0"
"31","1","parent","1.5373371","1.515625","0"
"31","2","candidate","1.6627976","1.65625","0"
"32","1","candidate","1.5796416","1.546875","0"
"32","2","parent","1.6873351","1.640625","0"
"33","1","parent","1.5588835","1.484375","0"
"33","2","candidate","1.6545729","1.625","0"
"34","1","candidate","1.6125495","1.53125","0"
"34","2","parent","1.591059","1.546875","0"
"35","1","parent","1.8064413","1.640625","0"
"35","2","candidate","1.6208425","1.59375","0"
"36","1","candidate","1.5631243","1.515625","0"
"36","2","parent","1.6920963","1.65625","0"
"37","1","parent","1.5262201","1.5","0"
"37","2","candidate","1.670577","1.578125","0"
"38","1","candidate","1.5389401","1.515625","0"
"38","2","parent","1.6518851","1.625","0"
"39","1","parent","1.6743284","1.640625","0"
"39","2","candidate","1.6160875","1.609375","0"
"40","1","candidate","1.7071161","1.65625","0"
"40","2","parent","1.6368519","1.609375","0"
"41","1","parent","1.7622713","1.75","0"
"41","2","candidate","1.4931988","1.46875","0"
"42","1","candidate","2.0652783","1.984375","0"
"42","2","parent","1.6176875","1.609375","0"
"43","1","parent","1.5613115","1.53125","0"
"43","2","candidate","1.5639265","1.53125","0"
"44","1","candidate","1.6599075","1.625","0"
"44","2","parent","1.6344682","1.609375","0"
"45","1","parent","1.7003199","1.65625","0"
"45","2","candidate","1.7375091","1.578125","0"
"46","1","candidate","1.5950637","1.5625","0"
"46","2","parent","1.4649617","1.4375","0"
"47","1","parent","1.5465525","1.46875","0"
"47","2","candidate","1.5603956","1.53125","0"
"48","1","candidate","1.558514","1.515625","0"
"48","2","parent","1.587635","1.515625","0"
"49","1","parent","1.5692122","1.53125","0"
"49","2","candidate","1.7465215","1.734375","0"
"50","1","candidate","1.5645853","1.515625","0"
"50","2","parent","1.5319839","1.484375","0"
"51","1","parent","1.6404343","1.5625","0"
"51","2","candidate","1.5409415","1.484375","0"
"52","1","candidate","1.6940672","1.671875","0"
"52","2","parent","1.6377346","1.609375","0"
"53","1","parent","1.7062071","1.59375","0"
"53","2","candidate","1.6861738","1.65625","0"
"54","1","candidate","1.5447788","1.5","0"
"54","2","parent","1.6373858","1.609375","0"
"55","1","parent","1.6345877","1.625","0"
"55","2","candidate","1.6237889","1.578125","0"
"56","1","candidate","1.6220753","1.609375","0"
"56","2","parent","1.6443137","1.625","0"
"57","1","parent","1.6425951","1.609375","0"
"57","2","candidate","1.6195184","1.5625","0"
"58","1","candidate","1.6101146","1.59375","0"
