"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5663797","1.515625","0"
"1","2","candidate","1.5772471","1.546875","0"
"2","1","candidate","1.4871987","1.484375","0"
"2","2","parent","1.5369055","1.5","0"
"3","1","parent","1.5994418","1.5625","0"
"3","2","candidate","1.5088065","1.484375","0"
"4","1","candidate","1.5904448","1.59375","0"
"4","2","parent","1.5271603","1.484375","0"
"5","1","parent","1.5344656","1.515625","0"
"5","2","candidate","1.5694026","1.515625","0"
"6","1","candidate","1.5075253","1.515625","0"
"6","2","parent","1.5456814","1.53125","0"
"7","1","parent","1.4717497","1.4375","0"
"7","2","candidate","1.5509866","1.484375","0"
"8","1","candidate","1.5925903","1.546875","0"
"8","2","parent","1.4757198","1.453125","0"
"9","1","parent","1.5757611","1.5625","0"
"9","2","candidate","1.4804751","1.453125","0"
"10","1","candidate","1.5506063","1.53125","0"
"10","2","parent","1.4856431","1.46875","0"
"11","1","parent","1.4912799","1.46875","0"
"11","2","candidate","1.6125518","1.59375","0"
"12","1","candidate","1.5755864","1.546875","0"
"12","2","parent","1.5333984","1.5","0"
"13","1","parent","1.6140836","1.578125","0"
"13","2","candidate","1.4952896","1.46875","0"
"14","1","candidate","1.6389293","1.625","0"
"14","2","parent","1.5342254","1.484375","0"
"15","1","parent","1.5555424","1.515625","0"
"15","2","candidate","1.5499961","1.53125","0"
"16","1","candidate","1.522792","1.453125","0"
"16","2","parent","1.5316442","1.5","0"
"17","1","parent","1.6467886","1.59375","0"
"17","2","candidate","1.4680077","1.4375","0"
"18","1","candidate","1.5959472","1.578125","0"
"18","2","parent","1.4711752","1.453125","0"
"19","1","parent","1.5421637","1.5","0"
"19","2","candidate","1.671398","1.625","0"
"20","1","candidate","1.6665757","1.671875","0"
"20","2","parent","1.5679188","1.546875","0"
"21","1","parent","1.4944199","1.4375","0"
"21","2","candidate","1.6019659","1.578125","0"
"22","1","candidate","1.6306195","1.5625","0"
"22","2","parent","1.6236484","1.578125","0"
"23","1","parent","1.6235118","1.59375","0"
"23","2","candidate","1.5535914","1.5625","0"
"24","1","candidate","1.5750251","1.5625","0"
"24","2","parent","1.5778037","1.546875","0"
"25","1","parent","1.6076118","1.59375","0"
"25","2","candidate","1.592102","1.5625","0"
"26","1","candidate","1.4778966","1.453125","0"
"26","2","parent","1.5420088","1.5","0"
"27","1","parent","1.4781688","1.453125","0"
"27","2","candidate","1.5051933","1.46875","0"
"28","1","candidate","1.5529504","1.5625","0"
"28","2","parent","1.6182396","1.5625","0"
"29","1","parent","1.5097065","1.484375","0"
"29","2","candidate","1.5820994","1.59375","0"
"30","1","candidate","1.4635836","1.4375","0"
"30","2","parent","1.5715038","1.53125","0"
"31","1","parent","1.4221611","1.40625","0"
"31","2","candidate","1.5333346","1.484375","0"
"32","1","candidate","1.5198024","1.484375","0"
"32","2","parent","1.4879857","1.46875","0"
"33","1","parent","1.4481043","1.4375","0"
"33","2","candidate","1.5567193","1.5","0"
"34","1","candidate","1.4715539","1.46875","0"
"34","2","parent","1.552444","1.546875","0"
"35","1","parent","1.4828035","1.46875","0"
"35","2","candidate","1.5679724","1.53125","0"
"36","1","candidate","1.5898956","1.53125","0"
"36","2","parent","1.4956191","1.46875","0"
"37","1","parent","1.4895906","1.46875","0"
"37","2","candidate","1.669106","1.640625","0"
"38","1","candidate","1.5532946","1.53125","0"
"38","2","parent","1.7274778","1.640625","0"
"39","1","parent","1.4703864","1.453125","0"
"39","2","candidate","1.5828139","1.546875","0"
"40","1","candidate","1.5180146","1.46875","0"
"40","2","parent","1.6362539","1.59375","0"
"41","1","parent","1.5585492","1.53125","0"
"41","2","candidate","1.5506041","1.53125","0"
"42","1","candidate","1.5668886","1.53125","0"
"42","2","parent","1.621543","1.578125","0"
"43","1","parent","1.4946042","1.4375","0"
"43","2","candidate","1.5916846","1.5625","0"
"44","1","candidate","1.4774124","1.4375","0"
"44","2","parent","1.5348606","1.53125","0"
"45","1","parent","1.5354505","1.515625","0"
"45","2","candidate","1.6135799","1.546875","0"
"46","1","candidate","1.5720238","1.546875","0"
"46","2","parent","1.6610564","1.640625","0"
"47","1","parent","1.7288741","1.6875","0"
"47","2","candidate","1.686433","1.640625","0"
"48","1","candidate","1.6402819","1.609375","0"
"48","2","parent","1.6486168","1.609375","0"
"49","1","parent","1.6053218","1.546875","0"
"49","2","candidate","1.7517911","1.734375","0"
"50","1","candidate","1.6258587","1.453125","0"
"50","2","parent","1.5714702","1.53125","0"
"51","1","parent","1.7390937","1.53125","0"
"51","2","candidate","1.6218257","1.53125","0"
"52","1","candidate","1.6020508","1.578125","0"
"52","2","parent","1.5709372","1.546875","0"
"53","1","parent","1.5692027","1.53125","0"
"53","2","candidate","1.4376697","1.40625","0"
"54","1","candidate","1.4311637","1.34375","0"
"54","2","parent","1.4178618","1.328125","0"
"55","1","parent","1.398805","1.359375","0"
"55","2","candidate","1.4350629","1.359375","0"
"56","1","candidate","1.4962433","1.484375","0"
"56","2","parent","1.5680237","1.53125","0"
"57","1","parent","1.5258115","1.515625","0"
"57","2","candidate","1.576975","1.53125","0"
"58","1","candidate","1.455509","1.421875","0"
"58","2","parent","1.4092463","1.34375","0"
"59","1","parent","1.3643276","1.296875","0"
"59","2","candidate","1.4376721","1.4375","0"
"60","1","candidate","1.3690322","1.375","0"
"60","2","parent","1.3510599","1.34375","0"
"61","1","parent","1.3976545","1.40625","0"
"61","2","candidate","1.3959803","1.375","0"
"62","1","candidate","1.4215186","1.390625","0"
"62","2","parent","1.4166921","1.375","0"
"63","1","parent","1.4381778","1.421875","0"
"63","2","candidate","1.4004169","1.3125","0"
"64","1","candidate","1.4784953","1.421875","0"
"64","2","parent","1.3717204","1.359375","0"
