"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5371283","1.5","0"
"1","2","candidate","1.5402489","1.5","0"
"2","1","candidate","1.4850299","1.46875","0"
"2","2","parent","1.5322305","1.5","0"
"3","1","parent","1.4157381","1.375","0"
"3","2","candidate","1.5317722","1.5","0"
"4","1","candidate","1.4802752","1.4375","0"
"4","2","parent","1.5131294","1.484375","0"
"5","1","parent","1.3992027","1.390625","0"
"5","2","candidate","1.3948459","1.359375","0"
"6","1","candidate","1.372083","1.296875","0"
"6","2","parent","1.3805946","1.328125","0"
"7","1","parent","1.3683373","1.375","0"
"7","2","candidate","1.3834008","1.375","0"
"8","1","candidate","1.3782079","1.359375","0"
"8","2","parent","1.3723619","1.375","0"
"9","1","parent","1.3566632","1.34375","0"
"9","2","candidate","1.3851859","1.359375","0"
"10","1","candidate","1.3683698","1.296875","0"
"10","2","parent","1.3777551","1.34375","0"
"11","1","parent","1.3674722","1.359375","0"
"11","2","candidate","1.4046143","1.375","0"
"12","1","candidate","1.4003849","1.375","0"
"12","2","parent","1.3788568","1.359375","0"
"13","1","parent","1.4802463","1.3125","0"
"13","2","candidate","1.368664","1.328125","0"
"14","1","candidate","1.3672119","1.359375","0"
"14","2","parent","1.3681305","1.359375","0"
"15","1","parent","1.3615997","1.328125","0"
"15","2","candidate","1.3568916","1.328125","0"
"16","1","candidate","1.3641804","1.328125","0"
"16","2","parent","1.3568953","1.34375","0"
"17","1","parent","1.3704398","1.359375","0"
"17","2","candidate","1.3737879","1.359375","0"
"18","1","candidate","1.3621345","1.328125","0"
"18","2","parent","1.3680136","1.296875","0"
"19","1","parent","1.3843896","1.3125","0"
"19","2","candidate","1.3735858","1.3125","0"
"20","1","candidate","1.3880414","1.34375","0"
"20","2","parent","1.3753808","1.34375","0"
"21","1","parent","1.3891402","1.3125","0"
"21","2","candidate","1.3840021","1.3125","0"
"22","1","candidate","1.3964138","1.390625","0"
"22","2","parent","1.3864796","1.328125","0"
"23","1","parent","1.3670069","1.375","0"
"23","2","candidate","1.3730895","1.359375","0"
"24","1","candidate","1.4909637","1.453125","0"
"24","2","parent","1.4877702","1.453125","0"
"25","1","parent","1.3885949","1.328125","0"
"25","2","candidate","1.3645593","1.3125","0"
"26","1","candidate","1.3630302","1.359375","0"
"26","2","parent","1.4779233","1.40625","0"
"27","1","parent","1.3761478","1.3125","0"
"27","2","candidate","1.3900759","1.3125","0"
"28","1","candidate","1.3687341","1.3125","0"
"28","2","parent","1.3642879","1.328125","0"
"29","1","parent","1.3560386","1.328125","0"
"29","2","candidate","1.3579372","1.3125","0"
"30","1","candidate","1.3644298","1.34375","0"
"30","2","parent","1.3609196","1.34375","0"
"31","1","parent","1.3513268","1.296875","0"
"31","2","candidate","1.3657965","1.328125","0"
"32","1","candidate","1.352777","1.328125","0"
"32","2","parent","1.3482185","1.296875","0"
"33","1","parent","1.3710836","1.296875","0"
"33","2","candidate","1.3661204","1.296875","0"
"34","1","candidate","1.3775648","1.34375","0"
"34","2","parent","1.4976767","1.4375","0"
"35","1","parent","1.3602998","1.34375","0"
"35","2","candidate","1.3614805","1.34375","0"
"36","1","candidate","1.3571823","1.3125","0"
"36","2","parent","1.4070689","1.390625","0"
"37","1","parent","1.4124108","1.375","0"
"37","2","candidate","1.3805626","1.328125","0"
"38","1","candidate","1.3630245","1.328125","0"
"38","2","parent","1.3715371","1.3125","0"
"39","1","parent","1.3608372","1.296875","0"
"39","2","candidate","1.3666229","1.3125","0"
"40","1","candidate","1.3678785","1.375","0"
"40","2","parent","1.3701913","1.28125","0"
"41","1","parent","1.3524923","1.28125","0"
"41","2","candidate","1.3908632","1.375","0"
"42","1","candidate","1.3838691","1.390625","0"
"42","2","parent","1.3729623","1.359375","0"
"43","1","parent","1.3811129","1.359375","0"
"43","2","candidate","1.3903923","1.359375","0"
"44","1","candidate","1.3920281","1.375","0"
"44","2","parent","1.4098974","1.359375","0"
"45","1","parent","1.3749022","1.34375","0"
"45","2","candidate","1.3827195","1.375","0"
"46","1","candidate","1.3966864","1.34375","0"
"46","2","parent","1.5931592","1.34375","0"
"47","1","parent","1.4208653","1.421875","0"
"47","2","candidate","1.5538372","1.515625","0"
"48","1","candidate","1.5168242","1.46875","0"
"48","2","parent","1.5212865","1.5","0"
"49","1","parent","1.4051144","1.390625","0"
"49","2","candidate","1.3916063","1.390625","0"
"50","1","candidate","1.3816109","1.34375","0"
"50","2","parent","1.3513575","1.34375","0"
"51","1","parent","1.3491463","1.328125","0"
"51","2","candidate","1.4379558","1.390625","0"
"52","1","candidate","1.3886194","1.359375","0"
"52","2","parent","1.363292","1.34375","0"
"53","1","parent","1.3665249","1.375","0"
"53","2","candidate","1.3718053","1.34375","0"
"54","1","candidate","1.3494365","1.296875","0"
"54","2","parent","1.5102592","1.46875","0"
"55","1","parent","1.372718","1.34375","0"
"55","2","candidate","1.3734491","1.359375","0"
"56","1","candidate","1.4999864","1.46875","0"
"56","2","parent","1.3970568","1.390625","0"
"57","1","parent","1.5786359","1.4375","0"
"57","2","candidate","1.5039059","1.484375","0"
"58","1","candidate","1.6966875","1.53125","0"
"58","2","parent","1.4415296","1.421875","0"
"59","1","parent","1.3947847","1.359375","0"
"59","2","candidate","1.468296","1.421875","0"
"60","1","candidate","1.4073159","1.390625","0"
"60","2","parent","1.4058775","1.359375","0"
"61","1","parent","1.3967604","1.359375","0"
"61","2","candidate","1.4002796","1.375","0"
"62","1","candidate","1.3775627","1.3125","0"
"62","2","parent","1.381869","1.3125","0"
"63","1","parent","1.3806497","1.34375","0"
"63","2","candidate","1.3727057","1.34375","0"
"64","1","candidate","1.3681705","1.328125","0"
"64","2","parent","1.3970206","1.390625","0"
