"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5479176","1.5","0"
"1","2","candidate","1.6019927","1.5625","0"
"2","1","candidate","1.5352396","1.5","0"
"2","2","parent","1.6099312","1.578125","0"
"3","1","parent","1.5104218","1.484375","0"
"3","2","candidate","1.6157085","1.578125","0"
"4","1","candidate","1.5279574","1.5","0"
"4","2","parent","1.5353471","1.53125","0"
"5","1","parent","1.4531943","1.453125","0"
"5","2","candidate","1.4837976","1.4375","0"
"6","1","candidate","1.4072833","1.390625","0"
"6","2","parent","1.3710782","1.359375","0"
"7","1","parent","1.4056054","1.375","0"
"7","2","candidate","1.5159766","1.484375","0"
"8","1","candidate","1.4076648","1.375","0"
"8","2","parent","1.3697326","1.359375","0"
"9","1","parent","1.3659857","1.328125","0"
"9","2","candidate","1.392984","1.375","0"
"10","1","candidate","1.3778566","1.328125","0"
"10","2","parent","1.4003913","1.375","0"
"11","1","parent","1.3887246","1.359375","0"
"11","2","candidate","1.4213416","1.359375","0"
"12","1","candidate","1.3696242","1.3125","0"
"12","2","parent","1.3714961","1.328125","0"
"13","1","parent","1.3931731","1.375","0"
"13","2","candidate","1.3894349","1.34375","0"
"14","1","candidate","1.4144788","1.40625","0"
"14","2","parent","1.4261577","1.390625","0"
"15","1","parent","1.3628986","1.3125","0"
"15","2","candidate","1.404444","1.375","0"
"16","1","candidate","2.8002013","1.390625","0"
"16","2","parent","2.5480599","1.296875","0"
"17","1","parent","1.3520137","1.296875","0"
"17","2","candidate","1.3718097","1.34375","0"
"18","1","candidate","1.3873533","1.359375","0"
"18","2","parent","1.4375641","1.40625","0"
"19","1","parent","1.4089959","1.390625","0"
"19","2","candidate","1.3969156","1.375","0"
"20","1","candidate","1.3870959","1.390625","0"
"20","2","parent","1.3715913","1.328125","0"
"21","1","parent","1.3500768","1.328125","0"
"21","2","candidate","1.3813387","1.265625","0"
"22","1","candidate","1.3654139","1.328125","0"
"22","2","parent","1.3519314","1.3125","0"
"23","1","parent","1.3594296","1.328125","0"
"23","2","candidate","1.4096285","1.375","0"
"24","1","candidate","1.3629318","1.34375","0"
"24","2","parent","1.3574513","1.3125","0"
"25","1","parent","1.4774135","1.296875","0"
"25","2","candidate","1.3665698","1.34375","0"
"26","1","candidate","1.3812447","1.34375","0"
"26","2","parent","1.3593524","1.34375","0"
"27","1","parent","1.3997402","1.359375","0"
"27","2","candidate","1.5963733","1.53125","0"
"28","1","candidate","1.4204778","1.421875","0"
"28","2","parent","1.3661928","1.359375","0"
"29","1","parent","1.3866708","1.328125","0"
"29","2","candidate","1.3809089","1.359375","0"
"30","1","candidate","1.3857845","1.34375","0"
"30","2","parent","1.3717975","1.34375","0"
"31","1","parent","1.3721989","1.34375","0"
"31","2","candidate","1.3669875","1.34375","0"
"32","1","candidate","1.3747301","1.359375","0"
"32","2","parent","1.3624331","1.359375","0"
"33","1","parent","1.3532348","1.328125","0"
"33","2","candidate","1.3786683","1.328125","0"
"34","1","candidate","1.3704017","1.328125","0"
"34","2","parent","1.3792065","1.34375","0"
"35","1","parent","1.4015251","1.359375","0"
"35","2","candidate","1.3869047","1.3125","0"
"36","1","candidate","1.4478785","1.40625","0"
"36","2","parent","1.3697165","1.34375","0"
"37","1","parent","1.3956801","1.359375","0"
"37","2","candidate","1.3847972","1.34375","0"
"38","1","candidate","1.3861001","1.375","0"
"38","2","parent","1.3659323","1.3125","0"
"39","1","parent","1.3680683","1.34375","0"
"39","2","candidate","1.3711268","1.34375","0"
"40","1","candidate","1.3858826","1.359375","0"
"40","2","parent","1.3693449","1.34375","0"
"41","1","parent","1.37001","1.3125","0"
"41","2","candidate","1.404376","1.375","0"
"42","1","candidate","1.3854156","1.328125","0"
"42","2","parent","1.3620168","1.3125","0"
"43","1","parent","1.3599663","1.359375","0"
"43","2","candidate","1.4869552","1.46875","0"
"44","1","candidate","1.3767518","1.359375","0"
"44","2","parent","1.4142237","1.359375","0"
"45","1","parent","1.3716054","1.359375","0"
"45","2","candidate","1.4122178","1.375","0"
"46","1","candidate","1.374285","1.359375","0"
"46","2","parent","1.3802308","1.34375","0"
"47","1","parent","1.3714607","1.3125","0"
"47","2","candidate","1.4962621","1.453125","0"
"48","1","candidate","1.3934143","1.375","0"
"48","2","parent","1.3649795","1.328125","0"
"49","1","parent","1.3630457","1.328125","0"
"49","2","candidate","1.4105444","1.375","0"
"50","1","candidate","1.3667431","1.328125","0"
"50","2","parent","1.372197","1.34375","0"
"51","1","parent","1.3826115","1.359375","0"
"51","2","candidate","1.5002061","1.453125","0"
"52","1","candidate","1.3795197","1.34375","0"
"52","2","parent","1.3686877","1.359375","0"
"53","1","parent","1.3945828","1.34375","0"
"53","2","candidate","1.6274476","1.515625","0"
"54","1","candidate","1.4148563","1.359375","0"
"54","2","parent","1.3688065","1.3125","0"
"55","1","parent","1.3827581","1.375","0"
"55","2","candidate","1.4059581","1.359375","0"
"56","1","candidate","1.3747352","1.328125","0"
"56","2","parent","1.3672894","1.328125","0"
"57","1","parent","1.3843332","1.3125","0"
"57","2","candidate","1.3822288","1.328125","0"
"58","1","candidate","1.3739759","1.328125","0"
"58","2","parent","1.3927608","1.375","0"
"59","1","parent","1.3602905","1.34375","0"
"59","2","candidate","1.3765746","1.359375","0"
"60","1","candidate","1.3685055","1.3125","0"
"60","2","parent","1.3580323","1.296875","0"
"61","1","parent","1.3573018","1.328125","0"
"61","2","candidate","1.3692314","1.34375","0"
"62","1","candidate","1.4424405","1.40625","0"
"62","2","parent","1.3537663","1.3125","0"
"63","1","parent","1.4085421","1.390625","0"
"63","2","candidate","1.3712049","1.359375","0"
"64","1","candidate","1.3747421","1.359375","0"
"64","2","parent","1.3475633","1.34375","0"
