"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.3918302","1.34375","0"
"1","2","candidate","1.38241","1.359375","0"
"2","1","candidate","1.3527132","1.34375","0"
"2","2","parent","1.355056","1.34375","0"
"3","1","parent","1.491493","1.34375","0"
"3","2","candidate","1.3549464","1.3125","0"
"4","1","candidate","1.3818851","1.375","0"
"4","2","parent","1.3821075","1.390625","0"
"5","1","parent","1.3765213","1.34375","0"
"5","2","candidate","1.3790831","1.34375","0"
"6","1","candidate","1.3871707","1.359375","0"
"6","2","parent","1.3723328","1.3125","0"
"7","1","parent","1.3871231","1.359375","0"
"7","2","candidate","1.4437831","1.390625","0"
"8","1","candidate","1.4028105","1.359375","0"
"8","2","parent","1.4102246","1.375","0"
"9","1","parent","1.4106732","1.375","0"
"9","2","candidate","1.4106765","1.375","0"
"10","1","candidate","1.3717865","1.3125","0"
"10","2","parent","1.3657423","1.328125","0"
"11","1","parent","1.36519","1.34375","0"
"11","2","candidate","1.3893643","1.3125","0"
"12","1","candidate","1.3978854","1.34375","0"
"12","2","parent","1.5115705","1.46875","0"
"13","1","parent","1.3795357","1.34375","0"
"13","2","candidate","1.3892151","1.359375","0"
"14","1","candidate","1.400221","1.375","0"
"14","2","parent","1.4251384","1.40625","0"
"15","1","parent","1.3827637","1.359375","0"
"15","2","candidate","1.3813927","1.34375","0"
"16","1","candidate","1.4378306","1.40625","0"
"16","2","parent","1.3906631","1.328125","0"
"17","1","parent","1.396878","1.359375","0"
"17","2","candidate","1.3863862","1.34375","0"
"18","1","candidate","1.3718472","1.328125","0"
"18","2","parent","1.3982139","1.40625","0"
"19","1","parent","1.3726455","1.359375","0"
"19","2","candidate","1.4023443","1.359375","0"
"20","1","candidate","1.3485352","1.28125","0"
"20","2","parent","1.3481721","1.328125","0"
"21","1","parent","1.4947188","1.453125","0"
"21","2","candidate","1.3762219","1.34375","0"
"22","1","candidate","1.3510376","1.328125","0"
"22","2","parent","1.3650939","1.328125","0"
"23","1","parent","1.3641435","1.359375","0"
"23","2","candidate","1.3786168","1.375","0"
"24","1","candidate","1.3605818","1.34375","0"
"24","2","parent","1.3548159","1.3125","0"
"25","1","parent","1.4140583","1.390625","0"
"25","2","candidate","1.5158908","1.484375","0"
"26","1","candidate","1.3935696","1.359375","0"
"26","2","parent","1.370158","1.296875","0"
"27","1","parent","1.3920183","1.34375","0"
"27","2","candidate","1.3739303","1.3125","0"
"28","1","candidate","1.3581655","1.34375","0"
"28","2","parent","1.3542352","1.3125","0"
"29","1","parent","1.351006","1.3125","0"
"29","2","candidate","1.3762898","1.3125","0"
"30","1","candidate","1.3831373","1.359375","0"
"30","2","parent","1.3650443","1.375","0"
"31","1","parent","1.3609854","1.34375","0"
"31","2","candidate","1.3725945","1.359375","0"
"32","1","candidate","1.3709929","1.328125","0"
"32","2","parent","1.3722261","1.328125","0"
"33","1","parent","1.3699323","1.34375","0"
"33","2","candidate","1.4423583","1.421875","0"
"34","1","candidate","1.389349","1.359375","0"
"34","2","parent","1.4121067","1.40625","0"
"35","1","parent","1.4892528","1.328125","0"
"35","2","candidate","1.3828669","1.359375","0"
"36","1","candidate","1.3695184","1.3125","0"
"36","2","parent","1.3478458","1.296875","0"
