"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5690966","1.546875","0"
"1","2","candidate","1.5787942","1.546875","0"
"2","1","candidate","1.4347163","1.40625","0"
"2","2","parent","1.4040516","1.390625","0"
"3","1","parent","1.3722428","1.328125","0"
"3","2","candidate","1.3957344","1.390625","0"
"4","1","candidate","1.3718122","1.34375","0"
"4","2","parent","1.3602166","1.34375","0"
"5","1","parent","1.3901007","1.375","0"
"5","2","candidate","1.3764843","1.375","0"
"6","1","candidate","1.3983435","1.359375","0"
"6","2","parent","1.3921181","1.375","0"
"7","1","parent","1.3941259","1.375","0"
"7","2","candidate","1.3745456","1.34375","0"
"8","1","candidate","1.3633888","1.328125","0"
"8","2","parent","1.367054","1.328125","0"
"9","1","parent","1.3614137","1.359375","0"
"9","2","candidate","1.3562667","1.3125","0"
"10","1","candidate","1.3954624","1.375","0"
"10","2","parent","1.4365007","1.40625","0"
"11","1","parent","1.3885013","1.34375","0"
"11","2","candidate","1.390546","1.34375","0"
"12","1","candidate","1.3798035","1.34375","0"
"12","2","parent","1.4067859","1.34375","0"
"13","1","parent","1.384717","1.359375","0"
"13","2","candidate","1.3719019","1.359375","0"
"14","1","candidate","1.3784084","1.359375","0"
"14","2","parent","1.4942992","1.453125","0"
"15","1","parent","1.3616578","1.328125","0"
"15","2","candidate","1.4028557","1.375","0"
"16","1","candidate","1.3761423","1.34375","0"
"16","2","parent","1.3680498","1.34375","0"
"17","1","parent","1.3691482","1.3125","0"
"17","2","candidate","1.3767445","1.34375","0"
"18","1","candidate","1.3896154","1.296875","0"
"18","2","parent","1.3715062","1.3125","0"
"19","1","parent","1.4221223","1.40625","0"
"19","2","candidate","1.3901693","1.375","0"
"20","1","candidate","1.3836701","1.3125","0"
"20","2","parent","1.3652149","1.34375","0"
"21","1","parent","1.3809222","1.34375","0"
"21","2","candidate","1.3788523","1.375","0"
"22","1","candidate","1.3661298","1.34375","0"
"22","2","parent","1.3600002","1.34375","0"
"23","1","parent","1.346924","1.328125","0"
"23","2","candidate","1.559746","1.484375","0"
"24","1","candidate","1.394965","1.375","0"
"24","2","parent","1.3708078","1.34375","0"
"25","1","parent","1.3661448","1.296875","0"
"25","2","candidate","1.3700668","1.34375","0"
"26","1","candidate","1.4971769","1.453125","0"
"26","2","parent","1.3854768","1.328125","0"
"27","1","parent","1.3673383","1.34375","0"
"27","2","candidate","1.4183318","1.390625","0"
"28","1","candidate","1.3800865","1.375","0"
"28","2","parent","1.386949","1.359375","0"
"29","1","parent","1.35021","1.296875","0"
"29","2","candidate","1.3640226","1.296875","0"
"30","1","candidate","1.3794991","1.34375","0"
"30","2","parent","1.3587107","1.34375","0"
"31","1","parent","1.3704472","1.3125","0"
"31","2","candidate","1.3584279","1.34375","0"
"32","1","candidate","1.3662742","1.328125","0"
"32","2","parent","1.3911167","1.328125","0"
"33","1","parent","1.3658591","1.3125","0"
"33","2","candidate","1.3919687","1.375","0"
"34","1","candidate","1.3829726","1.359375","0"
"34","2","parent","1.3700431","1.359375","0"
"35","1","parent","1.3599556","1.3125","0"
"35","2","candidate","1.3763676","1.359375","0"
"36","1","candidate","1.3716941","1.296875","0"
"36","2","parent","1.4351134","1.40625","0"
"37","1","parent","1.3690718","1.328125","0"
"37","2","candidate","1.4041433","1.390625","0"
"38","1","candidate","1.3733638","1.359375","0"
"38","2","parent","1.4285627","1.390625","0"
"39","1","parent","1.4091524","1.375","0"
"39","2","candidate","1.4000088","1.359375","0"
"40","1","candidate","1.4085472","1.390625","0"
"40","2","parent","1.3494391","1.296875","0"
"41","1","parent","1.381236","1.328125","0"
"41","2","candidate","1.3803489","1.359375","0"
"42","1","candidate","1.3715087","1.359375","0"
"42","2","parent","1.3608865","1.34375","0"
"43","1","parent","1.36363","1.296875","0"
"43","2","candidate","1.3663083","1.328125","0"
"44","1","candidate","1.3566437","1.34375","0"
"44","2","parent","1.3490928","1.328125","0"
"45","1","parent","1.400818","1.375","0"
"45","2","candidate","1.4003106","1.375","0"
"46","1","candidate","1.4206487","1.390625","0"
"46","2","parent","1.3783109","1.34375","0"
"47","1","parent","1.4709949","1.453125","0"
"47","2","candidate","1.3931276","1.375","0"
"48","1","candidate","1.3635135","1.28125","0"
"48","2","parent","1.3571112","1.359375","0"
"49","1","parent","1.3815359","1.359375","0"
"49","2","candidate","1.351114","1.328125","0"
"50","1","candidate","1.3772439","1.34375","0"
"50","2","parent","1.3540023","1.3125","0"
"51","1","parent","1.3461697","1.34375","0"
"51","2","candidate","1.364219","1.328125","0"
"52","1","candidate","1.3609635","1.3125","0"
"52","2","parent","1.3618448","1.328125","0"
"53","1","parent","1.4673536","1.4375","0"
"53","2","candidate","1.3700085","1.34375","0"
"54","1","candidate","1.4174727","1.390625","0"
"54","2","parent","1.3691969","1.328125","0"
"55","1","parent","1.382615","1.359375","0"
"55","2","candidate","1.356259","1.328125","0"
"56","1","candidate","1.4192952","1.34375","0"
"56","2","parent","1.3817608","1.34375","0"
"57","1","parent","1.3760968","1.359375","0"
"57","2","candidate","1.3967077","1.375","0"
"58","1","candidate","1.3750577","1.34375","0"
"58","2","parent","1.3580849","1.328125","0"
"59","1","parent","1.3840557","1.34375","0"
"59","2","candidate","1.3589587","1.328125","0"
"60","1","candidate","1.3635724","1.3125","0"
"60","2","parent","1.3586109","1.328125","0"
"61","1","parent","1.3683625","1.34375","0"
"61","2","candidate","1.3744253","1.3125","0"
"62","1","candidate","1.371783","1.3125","0"
"62","2","parent","1.405235","1.359375","0"
"63","1","parent","1.3841844","1.328125","0"
"63","2","candidate","1.4006611","1.34375","0"
"64","1","candidate","1.3868616","1.3125","0"
"64","2","parent","1.3636887","1.28125","0"
