"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4301881","1.421875","0"
"1","2","candidate","1.437847","1.4375","0"
"2","1","candidate","1.4459755","1.421875","0"
"2","2","parent","1.4297229","1.40625","0"
"3","1","parent","1.3832294","1.359375","0"
"3","2","candidate","1.3778079","1.359375","0"
"4","1","candidate","1.4885856","1.484375","0"
"4","2","parent","1.3732797","1.34375","0"
"5","1","parent","1.3595527","1.296875","0"
"5","2","candidate","1.3612623","1.328125","0"
"6","1","candidate","1.3823785","1.359375","0"
"6","2","parent","1.3844706","1.359375","0"
"7","1","parent","1.3755344","1.34375","0"
"7","2","candidate","1.3766816","1.34375","0"
"8","1","candidate","1.359005","1.34375","0"
"8","2","parent","1.3665108","1.34375","0"
"9","1","parent","1.3655001","1.34375","0"
"9","2","candidate","1.3550148","1.3125","0"
"10","1","candidate","1.395779","1.375","0"
"10","2","parent","1.4527008","1.453125","0"
"11","1","parent","1.3634923","1.34375","0"
"11","2","candidate","1.4304658","1.40625","0"
"12","1","candidate","1.379706","1.359375","0"
"12","2","parent","1.3692848","1.34375","0"
"13","1","parent","1.3737958","1.34375","0"
"13","2","candidate","1.358073","1.296875","0"
"14","1","candidate","1.3661945","1.3125","0"
"14","2","parent","1.3694668","1.296875","0"
"15","1","parent","1.3841921","1.359375","0"
"15","2","candidate","1.4167612","1.390625","0"
"16","1","candidate","1.4032856","1.390625","0"
"16","2","parent","1.3742701","1.328125","0"
"17","1","parent","1.5048128","1.34375","0"
"17","2","candidate","1.3803776","1.359375","0"
"18","1","candidate","1.3911817","1.359375","0"
"18","2","parent","1.4744401","1.46875","0"
"19","1","parent","1.437196","1.421875","0"
"19","2","candidate","1.3999187","1.359375","0"
"20","1","candidate","1.4237139","1.375","0"
"20","2","parent","1.3629296","1.3125","0"
"21","1","parent","1.3940777","1.390625","0"
"21","2","candidate","1.3836753","1.34375","0"
"22","1","candidate","1.3879141","1.34375","0"
"22","2","parent","1.3643147","1.34375","0"
"23","1","parent","1.3834508","1.359375","0"
"23","2","candidate","1.3959461","1.375","0"
"24","1","candidate","1.4980069","1.46875","0"
"24","2","parent","1.3771473","1.359375","0"
"25","1","parent","1.3850722","1.359375","0"
"25","2","candidate","1.3785836","1.34375","0"
"26","1","candidate","1.4217182","1.375","0"
"26","2","parent","1.3678363","1.328125","0"
"27","1","parent","1.3705463","1.375","0"
"27","2","candidate","1.4233297","1.40625","0"
"28","1","candidate","1.4115209","1.359375","0"
"28","2","parent","1.4033613","1.40625","0"
"29","1","parent","1.3834323","1.359375","0"
"29","2","candidate","1.3811517","1.359375","0"
"30","1","candidate","1.3878573","1.328125","0"
"30","2","parent","1.3583991","1.328125","0"
"31","1","parent","1.3855682","1.328125","0"
"31","2","candidate","1.3779514","1.34375","0"
"32","1","candidate","1.3740116","1.359375","0"
"32","2","parent","1.3759434","1.296875","0"
"33","1","parent","1.3643104","1.34375","0"
"33","2","candidate","1.3606623","1.328125","0"
"34","1","candidate","1.3642638","1.25","0"
"34","2","parent","1.3663542","1.296875","0"
"35","1","parent","1.3639992","1.34375","0"
"35","2","candidate","1.4836063","1.453125","0"
"36","1","candidate","1.3646282","1.296875","0"
"36","2","parent","1.423075","1.421875","0"
"37","1","parent","1.3639921","1.328125","0"
"37","2","candidate","1.4008031","1.390625","0"
"38","1","candidate","1.3611371","1.34375","0"
"38","2","parent","1.397096","1.328125","0"
"39","1","parent","1.351844","1.328125","0"
"39","2","candidate","1.3674697","1.34375","0"
"40","1","candidate","1.3672955","1.359375","0"
"40","2","parent","1.3496842","1.3125","0"
"41","1","parent","1.359953","1.3125","0"
"41","2","candidate","1.3811779","1.34375","0"
"42","1","candidate","1.3606899","1.28125","0"
"42","2","parent","1.3587252","1.3125","0"
"43","1","parent","1.3681091","1.34375","0"
"43","2","candidate","1.3767424","1.34375","0"
"44","1","candidate","1.3599143","1.359375","0"
"44","2","parent","1.3627367","1.296875","0"
"45","1","parent","1.3649206","1.328125","0"
"45","2","candidate","1.4937142","1.390625","0"
"46","1","candidate","1.3777742","1.359375","0"
"46","2","parent","1.3708257","1.34375","0"
"47","1","parent","1.3519215","1.3125","0"
"47","2","candidate","1.4924193","1.328125","0"
"48","1","candidate","1.3661949","1.359375","0"
"48","2","parent","1.3482293","1.328125","0"
"49","1","parent","1.3539825","1.328125","0"
"49","2","candidate","1.4739644","1.4375","0"
"50","1","candidate","1.3584604","1.34375","0"
"50","2","parent","1.3677495","1.375","0"
"51","1","parent","1.4550287","1.390625","0"
"51","2","candidate","1.4685636","1.421875","0"
"52","1","candidate","1.5865647","1.4375","0"
"52","2","parent","1.343483","1.328125","0"
"53","1","parent","1.3623961","1.328125","0"
"53","2","candidate","1.3665427","1.34375","0"
"54","1","candidate","1.432299","1.4375","0"
"54","2","parent","1.3394677","1.328125","0"
"55","1","parent","1.3842902","1.375","0"
"55","2","candidate","1.3636605","1.328125","0"
"56","1","candidate","1.393376","1.359375","0"
"56","2","parent","1.3535402","1.328125","0"
"57","1","parent","1.399879","1.328125","0"
"57","2","candidate","1.4841701","1.34375","0"
"58","1","candidate","1.4677428","1.4375","0"
"58","2","parent","1.4523072","1.4375","0"
"59","1","parent","1.4135554","1.359375","0"
"59","2","candidate","1.3704845","1.3125","0"
"60","1","candidate","1.3658805","1.3125","0"
"60","2","parent","1.3567154","1.296875","0"
"61","1","parent","1.3696771","1.34375","0"
"61","2","candidate","1.3746005","1.34375","0"
"62","1","candidate","1.3604961","1.34375","0"
"62","2","parent","1.3955631","1.390625","0"
"63","1","parent","1.3783111","1.3125","0"
"63","2","candidate","1.4183853","1.359375","0"
"64","1","candidate","1.487271","1.359375","0"
"64","2","parent","1.379558","1.34375","0"
