"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5565201","1.53125","0"
"1","2","candidate","1.4615076","1.46875","0"
"2","1","candidate","1.4744596","1.4375","0"
"2","2","parent","1.4377377","1.4375","0"
"3","1","parent","1.4097558","1.40625","0"
"3","2","candidate","1.3962779","1.359375","0"
"4","1","candidate","1.399585","1.359375","0"
"4","2","parent","1.4577036","1.40625","0"
"5","1","parent","1.4231895","1.390625","0"
"5","2","candidate","1.4006189","1.375","0"
"6","1","candidate","1.3924348","1.359375","0"
"6","2","parent","1.3774686","1.34375","0"
"7","1","parent","1.38642","1.375","0"
"7","2","candidate","1.4058237","1.390625","0"
"8","1","candidate","1.3917135","1.359375","0"
"8","2","parent","1.3847058","1.375","0"
"9","1","parent","1.3823812","1.34375","0"
"9","2","candidate","1.4119532","1.390625","0"
"10","1","candidate","1.390573","1.359375","0"
"10","2","parent","1.4237493","1.40625","0"
"11","1","parent","1.4038026","1.34375","0"
"11","2","candidate","1.4143214","1.375","0"
"12","1","candidate","1.4163074","1.34375","0"
"12","2","parent","1.397121","1.375","0"
"13","1","parent","1.3940645","1.390625","0"
"13","2","candidate","1.3842006","1.3125","0"
"14","1","candidate","1.3865882","1.359375","0"
"14","2","parent","1.3885907","1.28125","0"
"15","1","parent","1.377935","1.34375","0"
"15","2","candidate","1.3992578","1.375","0"
"16","1","candidate","1.4021324","1.390625","0"
"16","2","parent","1.3740674","1.296875","0"
"17","1","parent","1.386798","1.3125","0"
"17","2","candidate","1.3936849","1.390625","0"
"18","1","candidate","1.4116859","1.34375","0"
"18","2","parent","1.3890856","1.328125","0"
"19","1","parent","1.373581","1.34375","0"
"19","2","candidate","1.4610738","1.4375","0"
"20","1","candidate","1.3918064","1.359375","0"
"20","2","parent","1.5117073","1.375","0"
"21","1","parent","1.3822901","1.359375","0"
"21","2","candidate","1.3944746","1.375","0"
"22","1","candidate","1.3830111","1.296875","0"
"22","2","parent","1.3706809","1.3125","0"
"23","1","parent","1.3724159","1.34375","0"
"23","2","candidate","1.3801998","1.34375","0"
"24","1","candidate","1.3644442","1.34375","0"
"24","2","parent","1.417949","1.40625","0"
"25","1","parent","1.3951506","1.3125","0"
"25","2","candidate","1.3978167","1.359375","0"
"26","1","candidate","1.4026456","1.359375","0"
"26","2","parent","1.3736877","1.328125","0"
"27","1","parent","1.3729164","1.34375","0"
"27","2","candidate","1.3856541","1.375","0"
"28","1","candidate","1.4572259","1.4375","0"
"28","2","parent","1.3877657","1.34375","0"
"29","1","parent","1.389433","1.34375","0"
"29","2","candidate","1.3952343","1.375","0"
"30","1","candidate","1.4036307","1.375","0"
"30","2","parent","1.3721452","1.359375","0"
"31","1","parent","1.3810543","1.34375","0"
"31","2","candidate","1.4749527","1.453125","0"
"32","1","candidate","1.4636585","1.4375","0"
"32","2","parent","1.4029346","1.40625","0"
"33","1","parent","1.3883998","1.34375","0"
"33","2","candidate","1.5062287","1.5","0"
"34","1","candidate","1.3924077","1.390625","0"
"34","2","parent","1.3934322","1.359375","0"
"35","1","parent","1.3577106","1.3125","0"
"35","2","candidate","1.3750254","1.359375","0"
"36","1","candidate","1.3958182","1.328125","0"
"36","2","parent","1.3934487","1.359375","0"
"37","1","parent","1.3854677","1.34375","0"
"37","2","candidate","1.4318011","1.375","0"
"38","1","candidate","1.3780141","1.34375","0"
"38","2","parent","1.3942241","1.359375","0"
"39","1","parent","1.3866442","1.328125","0"
"39","2","candidate","1.3877813","1.359375","0"
"40","1","candidate","1.3924581","1.3125","0"
"40","2","parent","1.3805697","1.359375","0"
"41","1","parent","1.368984","1.328125","0"
"41","2","candidate","1.3922613","1.375","0"
"42","1","candidate","1.3814056","1.359375","0"
"42","2","parent","1.3590884","1.34375","0"
"43","1","parent","1.3511934","1.359375","0"
"43","2","candidate","1.3781045","1.359375","0"
"44","1","candidate","1.3808981","1.359375","0"
"44","2","parent","1.347022","1.3125","0"
"45","1","parent","1.455146","1.421875","0"
"45","2","candidate","1.4321509","1.4375","0"
"46","1","candidate","1.5233167","1.5","0"
"46","2","parent","1.381722","1.375","0"
"47","1","parent","1.3691836","1.34375","0"
"47","2","candidate","1.423977","1.40625","0"
"48","1","candidate","1.3875543","1.34375","0"
"48","2","parent","1.4826343","1.4375","0"
"49","1","parent","1.3842819","1.359375","0"
"49","2","candidate","1.3846364","1.328125","0"
"50","1","candidate","1.3675054","1.34375","0"
"50","2","parent","1.3730117","1.359375","0"
"51","1","parent","1.4893975","1.453125","0"
"51","2","candidate","1.4082899","1.375","0"
"52","1","candidate","1.3870267","1.359375","0"
"52","2","parent","1.4991716","1.46875","0"
"53","1","parent","1.3604857","1.3125","0"
"53","2","candidate","1.3859802","1.375","0"
"54","1","candidate","1.4410326","1.421875","0"
"54","2","parent","1.3841404","1.3125","0"
"55","1","parent","1.3982521","1.34375","0"
"55","2","candidate","1.3806275","1.34375","0"
"56","1","candidate","1.3949329","1.375","0"
"56","2","parent","1.3733948","1.359375","0"
"57","1","parent","1.3699284","1.328125","0"
"57","2","candidate","1.3788939","1.3125","0"
"58","1","candidate","1.3957977","1.34375","0"
"58","2","parent","1.3748745","1.359375","0"
"59","1","parent","1.4068239","1.34375","0"
"59","2","candidate","1.3958145","1.375","0"
"60","1","candidate","1.3826333","1.34375","0"
"60","2","parent","1.3777591","1.375","0"
"61","1","parent","1.3711387","1.3125","0"
"61","2","candidate","1.3888065","1.328125","0"
"62","1","candidate","1.4069893","1.390625","0"
"62","2","parent","1.4110881","1.40625","0"
"63","1","parent","1.4016454","1.34375","0"
"63","2","candidate","1.4298052","1.390625","0"
"64","1","candidate","1.3922327","1.34375","0"
"64","2","parent","1.3580623","1.328125","0"
