"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.45565","1.40625","0"
"1","2","candidate","1.568265","1.546875","0"
"2","1","candidate","1.5327078","1.515625","0"
"2","2","parent","1.5941123","1.5625","0"
"3","1","parent","1.5575996","1.515625","0"
"3","2","candidate","1.4942842","1.453125","0"
"4","1","candidate","1.5727618","1.53125","0"
"4","2","parent","1.5259413","1.4375","0"
"5","1","parent","1.4694811","1.421875","0"
"5","2","candidate","1.3911915","1.34375","0"
"6","1","candidate","1.3786349","1.34375","0"
"6","2","parent","1.3714098","1.3125","0"
"7","1","parent","1.3801797","1.34375","0"
"7","2","candidate","1.3645925","1.328125","0"
"8","1","candidate","1.3744904","1.359375","0"
"8","2","parent","1.5009557","1.453125","0"
"9","1","parent","1.3815282","1.328125","0"
"9","2","candidate","1.3718922","1.328125","0"
"10","1","candidate","1.3653381","1.328125","0"
"10","2","parent","1.4019998","1.375","0"
"11","1","parent","1.3945935","1.359375","0"
"11","2","candidate","1.434674","1.40625","0"
"12","1","candidate","1.3939168","1.390625","0"
"12","2","parent","1.4387341","1.40625","0"
"13","1","parent","1.3986743","1.359375","0"
"13","2","candidate","1.3711675","1.34375","0"
"14","1","candidate","1.3844864","1.359375","0"
"14","2","parent","1.3747577","1.359375","0"
"15","1","parent","1.3824305","1.390625","0"
"15","2","candidate","1.3677236","1.328125","0"
"16","1","candidate","1.3771162","1.34375","0"
"16","2","parent","1.3939638","1.375","0"
"17","1","parent","1.3914175","1.359375","0"
"17","2","candidate","1.3703143","1.34375","0"
"18","1","candidate","1.3869904","1.375","0"
"18","2","parent","1.370063","1.34375","0"
"19","1","parent","1.5074066","1.359375","0"
"19","2","candidate","1.3716461","1.3125","0"
"20","1","candidate","1.3599646","1.328125","0"
"20","2","parent","1.4311933","1.40625","0"
"21","1","parent","1.3970009","1.375","0"
"21","2","candidate","1.3666863","1.359375","0"
"22","1","candidate","1.3921668","1.375","0"
"22","2","parent","1.4047043","1.359375","0"
"23","1","parent","1.4618892","1.46875","0"
"23","2","candidate","1.5623179","1.53125","0"
"24","1","candidate","1.4306416","1.390625","0"
"24","2","parent","1.3680779","1.375","0"
"25","1","parent","1.3684892","1.34375","0"
"25","2","candidate","1.3649162","1.375","0"
"26","1","candidate","1.3575974","1.3125","0"
"26","2","parent","1.3647175","1.34375","0"
"27","1","parent","1.3741034","1.34375","0"
"27","2","candidate","1.3706953","1.359375","0"
"28","1","candidate","1.4874444","1.28125","0"
"28","2","parent","1.3707673","1.328125","0"
"29","1","parent","1.4141092","1.390625","0"
"29","2","candidate","1.3586418","1.296875","0"
"30","1","candidate","1.3964702","1.375","0"
"30","2","parent","1.3678957","1.328125","0"
"31","1","parent","1.3796893","1.359375","0"
"31","2","candidate","1.355649","1.328125","0"
"32","1","candidate","1.3496947","1.3125","0"
"32","2","parent","1.3578504","1.3125","0"
"33","1","parent","1.3744712","1.359375","0"
"33","2","candidate","1.4710774","1.453125","0"
"34","1","candidate","1.3763485","1.359375","0"
"34","2","parent","1.3863043","1.375","0"
"35","1","parent","1.3915498","1.359375","0"
"35","2","candidate","1.3634299","1.34375","0"
"36","1","candidate","1.3636251","1.296875","0"
"36","2","parent","1.365411","1.3125","0"
"37","1","parent","1.370346","1.34375","0"
"37","2","candidate","1.3927139","1.390625","0"
"38","1","candidate","1.3954311","1.359375","0"
"38","2","parent","1.4125496","1.390625","0"
"39","1","parent","1.3728192","1.359375","0"
"39","2","candidate","1.3562542","1.328125","0"
"40","1","candidate","1.3786615","1.328125","0"
"40","2","parent","1.359881","1.328125","0"
"41","1","parent","1.3546292","1.359375","0"
"41","2","candidate","1.3571927","1.328125","0"
"42","1","candidate","1.3770158","1.34375","0"
"42","2","parent","1.3655616","1.3125","0"
"43","1","parent","1.3917542","1.359375","0"
"43","2","candidate","1.3815527","1.34375","0"
"44","1","candidate","1.365477","1.3125","0"
"44","2","parent","1.4853624","1.46875","0"
"45","1","parent","1.3730691","1.359375","0"
"45","2","candidate","1.3799518","1.34375","0"
