"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.7290462","1.671875","0"
"1","2","candidate","1.8017187","1.78125","0"
"2","1","candidate","1.8624081","1.828125","0"
"2","2","parent","1.7669382","1.734375","0"
"3","1","parent","1.6557289","1.65625","0"
"3","2","candidate","1.7182635","1.671875","0"
"4","1","candidate","1.6532475","1.65625","0"
"4","2","parent","1.564277","1.53125","0"
"5","1","parent","1.5891096","1.5625","0"
"5","2","candidate","1.6655866","1.59375","0"
"6","1","candidate","1.7660812","1.609375","0"
"6","2","parent","1.5340266","1.5","0"
"7","1","parent","1.5048469","1.5","0"
"7","2","candidate","1.663454","1.640625","0"
"8","1","candidate","1.6535356","1.59375","0"
"8","2","parent","1.5596643","1.53125","0"
"9","1","parent","1.5469817","1.53125","0"
"9","2","candidate","1.6219104","1.578125","0"
"10","1","candidate","1.6400863","1.5625","0"
"10","2","parent","1.4424682","1.421875","0"
"11","1","parent","1.5228018","1.46875","0"
"11","2","candidate","1.5893254","1.5625","0"
"12","1","candidate","1.5834241","1.5625","0"
"12","2","parent","1.4510083","1.421875","0"
"13","1","parent","1.4483796","1.40625","0"
"13","2","candidate","1.6909872","1.6875","0"
"14","1","candidate","1.5704675","1.515625","0"
"14","2","parent","1.4002906","1.375","0"
"15","1","parent","1.4313574","1.40625","0"
"15","2","candidate","1.5113723","1.46875","0"
"16","1","candidate","1.5673025","1.546875","0"
"16","2","parent","1.4030045","1.390625","0"
"17","1","parent","1.4520976","1.390625","0"
"17","2","candidate","1.6268604","1.609375","0"
"18","1","candidate","1.5684878","1.5","0"
"18","2","parent","1.402413","1.390625","0"
"19","1","parent","1.4045537","1.375","0"
"19","2","candidate","1.5046149","1.421875","0"
"20","1","candidate","1.526001","1.515625","0"
"20","2","parent","1.4068159","1.359375","0"
"21","1","parent","1.3935923","1.359375","0"
"21","2","candidate","1.6351652","1.421875","0"
"22","1","candidate","1.4977645","1.46875","0"
"22","2","parent","1.3955023","1.359375","0"
"23","1","parent","1.3896874","1.359375","0"
"23","2","candidate","1.5236034","1.484375","0"
"24","1","candidate","1.5459023","1.53125","0"
"24","2","parent","1.4243983","1.375","0"
"25","1","parent","1.4693035","1.40625","0"
"25","2","candidate","1.5313477","1.515625","0"
"26","1","candidate","1.614772","1.578125","0"
"26","2","parent","1.4545182","1.40625","0"
"27","1","parent","1.4525591","1.4375","0"
"27","2","candidate","1.6559536","1.5","0"
"28","1","candidate","1.6685826","1.640625","0"
"28","2","parent","1.6164946","1.59375","0"
"29","1","parent","1.4483968","1.390625","0"
"29","2","candidate","1.521596","1.46875","0"
"30","1","candidate","1.5142849","1.5","0"
"30","2","parent","1.399161","1.359375","0"
"31","1","parent","1.4270956","1.421875","0"
"31","2","candidate","1.5342269","1.53125","0"
"32","1","candidate","1.6192989","1.59375","0"
"32","2","parent","1.4993651","1.484375","0"
"33","1","parent","1.4633581","1.4375","0"
"33","2","candidate","1.4989128","1.453125","0"
"34","1","candidate","1.5318348","1.515625","0"
"34","2","parent","1.4203232","1.328125","0"
"35","1","parent","1.3956796","1.375","0"
"35","2","candidate","1.6338175","1.453125","0"
"36","1","candidate","1.5167643","1.5","0"
"36","2","parent","1.3933048","1.359375","0"
"37","1","parent","1.4230756","1.375","0"
"37","2","candidate","1.5063151","1.484375","0"
"38","1","candidate","1.5476935","1.5","0"
"38","2","parent","1.5384736","1.46875","0"
"39","1","parent","1.4110807","1.359375","0"
"39","2","candidate","1.5211993","1.453125","0"
"40","1","candidate","1.5405484","1.46875","0"
"40","2","parent","1.6627269","1.515625","0"
"41","1","parent","1.4328444","1.390625","0"
"41","2","candidate","1.542169","1.515625","0"
"42","1","candidate","1.5117398","1.453125","0"
"42","2","parent","1.4264737","1.359375","0"
"43","1","parent","1.3946592","1.375","0"
"43","2","candidate","1.516735","1.5","0"
"44","1","candidate","1.5320429","1.515625","0"
"44","2","parent","1.4025083","1.359375","0"
"45","1","parent","1.4027088","1.390625","0"
"45","2","candidate","1.5116025","1.5","0"
"46","1","candidate","1.4942237","1.46875","0"
"46","2","parent","1.4508606","1.390625","0"
"47","1","parent","1.387034","1.34375","0"
"47","2","candidate","1.5109701","1.484375","0"
"48","1","candidate","1.5084867","1.453125","0"
"48","2","parent","1.4467392","1.421875","0"
"49","1","parent","1.4101547","1.40625","0"
"49","2","candidate","1.553521","1.53125","0"
"50","1","candidate","1.5188901","1.453125","0"
"50","2","parent","1.4133029","1.390625","0"
"51","1","parent","1.5779918","1.5625","0"
"51","2","candidate","1.6688773","1.640625","0"
"52","1","candidate","1.6611593","1.484375","0"
"52","2","parent","1.4193972","1.359375","0"
"53","1","parent","1.4108454","1.375","0"
"53","2","candidate","1.5118746","1.46875","0"
"54","1","candidate","1.5066201","1.453125","0"
"54","2","parent","1.4068157","1.359375","0"
"55","1","parent","1.3829802","1.375","0"
"55","2","candidate","1.5010101","1.46875","0"
"56","1","candidate","1.5122117","1.484375","0"
"56","2","parent","1.4542853","1.4375","0"
"57","1","parent","1.4169941","1.40625","0"
"57","2","candidate","1.5517724","1.53125","0"
"58","1","candidate","1.5097064","1.46875","0"
"58","2","parent","1.4232149","1.390625","0"
"59","1","parent","1.3932713","1.375","0"
"59","2","candidate","1.4840996","1.453125","0"
"60","1","candidate","1.6160012","1.609375","0"
"60","2","parent","1.4306352","1.40625","0"
"61","1","parent","1.3894402","1.34375","0"
"61","2","candidate","1.4915179","1.453125","0"
"62","1","candidate","1.4733048","1.46875","0"
"62","2","parent","1.3671476","1.296875","0"
"63","1","parent","1.3868491","1.34375","0"
"63","2","candidate","1.500452","1.46875","0"
"64","1","candidate","1.4828441","1.421875","0"
"64","2","parent","1.3881514","1.34375","0"
