"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5638459","1.515625","0"
"1","2","candidate","1.5317536","1.53125","0"
"2","1","candidate","1.6207809","1.59375","0"
"2","2","parent","1.6063018","1.5625","0"
"3","1","parent","1.6245666","1.609375","0"
"3","2","candidate","1.6677547","1.625","0"
"4","1","candidate","1.5347143","1.515625","0"
"4","2","parent","1.6329267","1.609375","0"
"5","1","parent","1.5556974","1.53125","0"
"5","2","candidate","1.573721","1.546875","0"
"6","1","candidate","1.6831684","1.640625","0"
"6","2","parent","1.5211017","1.484375","0"
"7","1","parent","1.6362848","1.59375","0"
"7","2","candidate","1.5535617","1.515625","0"
"8","1","candidate","1.7276432","1.71875","0"
"8","2","parent","1.526181","1.484375","0"
"9","1","parent","1.4943322","1.46875","0"
"9","2","candidate","1.684949","1.671875","0"
"10","1","candidate","1.6010955","1.5625","0"
"10","2","parent","1.6131638","1.59375","0"
"11","1","parent","1.4565548","1.40625","0"
"11","2","candidate","1.4314077","1.40625","0"
"12","1","candidate","1.3894165","1.359375","0"
"12","2","parent","1.3766131","1.34375","0"
"13","1","parent","1.4038844","1.359375","0"
"13","2","candidate","1.3989056","1.359375","0"
"14","1","candidate","1.3854232","1.328125","0"
"14","2","parent","1.3859069","1.34375","0"
"15","1","parent","1.3862353","1.34375","0"
"15","2","candidate","1.3905749","1.328125","0"
"16","1","candidate","1.4010966","1.375","0"
"16","2","parent","1.3811447","1.359375","0"
"17","1","parent","1.3686817","1.34375","0"
"17","2","candidate","1.3908287","1.359375","0"
"18","1","candidate","1.3706796","1.34375","0"
"18","2","parent","1.5040201","1.515625","0"
"19","1","parent","1.6174876","1.578125","0"
"19","2","candidate","1.5428467","1.5","0"
"20","1","candidate","1.6055834","1.59375","0"
"20","2","parent","1.4742929","1.453125","0"
"21","1","parent","1.581496","1.546875","0"
"21","2","candidate","1.5776395","1.5625","0"
"22","1","candidate","1.5960549","1.546875","0"
"22","2","parent","1.5414061","1.5","0"
"23","1","parent","1.575205","1.546875","0"
"23","2","candidate","1.5863367","1.5625","0"
"24","1","candidate","1.5768505","1.546875","0"
"24","2","parent","1.5945651","1.53125","0"
"25","1","parent","1.6252031","1.578125","0"
"25","2","candidate","1.5865338","1.546875","0"
"26","1","candidate","1.6048529","1.578125","0"
"26","2","parent","1.769105","1.59375","0"
"27","1","parent","1.6070616","1.59375","0"
"27","2","candidate","1.5619471","1.53125","0"
"28","1","candidate","1.5065061","1.484375","0"
"28","2","parent","1.3817545","1.296875","0"
"29","1","parent","1.401124","1.390625","0"
"29","2","candidate","1.3991569","1.390625","0"
"30","1","candidate","1.3884895","1.328125","0"
"30","2","parent","1.3669641","1.28125","0"
"31","1","parent","1.3986215","1.359375","0"
"31","2","candidate","1.3807038","1.359375","0"
"32","1","candidate","1.4109045","1.34375","0"
"32","2","parent","1.3745151","1.359375","0"
"33","1","parent","1.391089","1.375","0"
"33","2","candidate","1.3951176","1.359375","0"
"34","1","candidate","1.3804454","1.359375","0"
"34","2","parent","1.4971223","1.4375","0"
"35","1","parent","1.397155","1.34375","0"
"35","2","candidate","1.4537989","1.421875","0"
"36","1","candidate","1.3814522","1.390625","0"
"36","2","parent","1.4171551","1.40625","0"
"37","1","parent","1.3878573","1.375","0"
"37","2","candidate","1.5992559","1.5625","0"
"38","1","candidate","1.6892498","1.65625","0"
"38","2","parent","1.7441929","1.703125","0"
"39","1","parent","1.6146694","1.59375","0"
"39","2","candidate","1.5651188","1.53125","0"
"40","1","candidate","1.6294557","1.59375","0"
"40","2","parent","1.5218698","1.53125","0"
"41","1","parent","1.584711","1.546875","0"
"41","2","candidate","1.5773431","1.5625","0"
"42","1","candidate","1.5502405","1.5","0"
"42","2","parent","1.5972162","1.578125","0"
"43","1","parent","1.5325541","1.515625","0"
"43","2","candidate","1.6836458","1.65625","0"
"44","1","candidate","1.6040956","1.53125","0"
"44","2","parent","1.6542919","1.640625","0"
"45","1","parent","1.4707769","1.46875","0"
"45","2","candidate","1.5171598","1.5","0"
"46","1","candidate","1.5503746","1.515625","0"
"46","2","parent","1.5560006","1.5","0"
"47","1","parent","1.4241084","1.375","0"
"47","2","candidate","1.3946442","1.375","0"
"48","1","candidate","1.389855","1.375","0"
"48","2","parent","1.4051559","1.390625","0"
"49","1","parent","1.3922494","1.359375","0"
"49","2","candidate","1.5059735","1.453125","0"
"50","1","candidate","1.3847959","1.296875","0"
"50","2","parent","1.3897484","1.34375","0"
"51","1","parent","1.3850767","1.34375","0"
"51","2","candidate","1.429776","1.390625","0"
"52","1","candidate","1.3973557","1.34375","0"
"52","2","parent","1.5834103","1.53125","0"
"53","1","parent","1.3787104","1.34375","0"
"53","2","candidate","1.4088495","1.375","0"
"54","1","candidate","1.3817722","1.359375","0"
"54","2","parent","1.3851342","1.359375","0"
"55","1","parent","1.5785762","1.5625","0"
"55","2","candidate","1.5066538","1.46875","0"
"56","1","candidate","1.5888463","1.5625","0"
"56","2","parent","1.5614793","1.515625","0"
"57","1","parent","1.5664453","1.546875","0"
"57","2","candidate","1.5251258","1.46875","0"
"58","1","candidate","1.4740838","1.4375","0"
"58","2","parent","1.5711794","1.53125","0"
"59","1","parent","1.5064693","1.5","0"
"59","2","candidate","1.6129337","1.453125","0"
"60","1","candidate","1.6791465","1.640625","0"
"60","2","parent","1.5637442","1.578125","0"
"61","1","parent","1.7686556","1.625","0"
"61","2","candidate","1.5493561","1.53125","0"
"62","1","candidate","1.5696568","1.515625","0"
"62","2","parent","1.5582247","1.515625","0"
"63","1","parent","1.5317163","1.484375","0"
"63","2","candidate","1.5937733","1.5625","0"
"64","1","candidate","1.5954746","1.578125","0"
"64","2","parent","1.4812581","1.46875","0"
