"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5784118","1.546875","0"
"1","2","candidate","1.5814569","1.5625","0"
"2","1","candidate","1.5987738","1.53125","0"
"2","2","parent","1.6264698","1.609375","0"
"3","1","parent","1.563137","1.53125","0"
"3","2","candidate","1.6184159","1.578125","0"
"4","1","candidate","1.4996043","1.484375","0"
"4","2","parent","1.6393543","1.609375","0"
"5","1","parent","1.5157287","1.46875","0"
"5","2","candidate","1.5740255","1.546875","0"
"6","1","candidate","1.565911","1.546875","0"
"6","2","parent","1.6085348","1.5625","0"
"7","1","parent","1.7542229","1.734375","0"
"7","2","candidate","1.558972","1.53125","0"
"8","1","candidate","1.7591354","1.59375","0"
"8","2","parent","1.5976075","1.578125","0"
"9","1","parent","1.571975","1.546875","0"
"9","2","candidate","1.6970725","1.65625","0"
"10","1","candidate","1.5367181","1.53125","0"
"10","2","parent","1.5835578","1.578125","0"
"11","1","parent","1.6800775","1.515625","0"
"11","2","candidate","1.4559004","1.421875","0"
"12","1","candidate","1.425252","1.390625","0"
"12","2","parent","1.469516","1.390625","0"
"13","1","parent","1.4586302","1.4375","0"
"13","2","candidate","1.4488537","1.40625","0"
"14","1","candidate","1.4047124","1.359375","0"
"14","2","parent","1.3956525","1.40625","0"
"15","1","parent","1.3967026","1.359375","0"
"15","2","candidate","1.4127224","1.34375","0"
"16","1","candidate","1.4833293","1.46875","0"
"16","2","parent","1.3969179","1.359375","0"
"17","1","parent","1.4914994","1.453125","0"
"17","2","candidate","1.6631838","1.609375","0"
"18","1","candidate","1.8922121","1.84375","0"
"18","2","parent","1.8524723","1.828125","0"
"19","1","parent","1.5800384","1.5625","0"
"19","2","candidate","1.6466829","1.609375","0"
"20","1","candidate","1.5088149","1.484375","0"
"20","2","parent","1.5974404","1.5625","0"
"21","1","parent","1.6075018","1.578125","0"
"21","2","candidate","1.6145534","1.5625","0"
"22","1","candidate","1.6061564","1.578125","0"
"22","2","parent","1.5934581","1.5625","0"
"23","1","parent","1.5907705","1.5625","0"
"23","2","candidate","1.6474557","1.59375","0"
"24","1","candidate","1.6950364","1.671875","0"
"24","2","parent","1.6138766","1.609375","0"
"25","1","parent","1.4598671","1.46875","0"
"25","2","candidate","1.7804369","1.765625","0"
"26","1","candidate","1.544897","1.53125","0"
"26","2","parent","1.5058636","1.484375","0"
"27","1","parent","1.4165543","1.390625","0"
"27","2","candidate","1.3873265","1.359375","0"
"28","1","candidate","1.4231824","1.375","0"
"28","2","parent","1.4080023","1.359375","0"
"29","1","parent","1.4060196","1.359375","0"
"29","2","candidate","1.3844839","1.359375","0"
"30","1","candidate","1.3834387","1.296875","0"
"30","2","parent","1.3913122","1.34375","0"
"31","1","parent","1.5615618","1.5","0"
"31","2","candidate","1.602901","1.421875","0"
"32","1","candidate","1.4304745","1.390625","0"
"32","2","parent","1.4263164","1.40625","0"
"33","1","parent","1.3889255","1.34375","0"
"33","2","candidate","1.4137113","1.421875","0"
"34","1","candidate","1.5355928","1.515625","0"
"34","2","parent","1.6553125","1.59375","0"
"35","1","parent","1.5439184","1.515625","0"
"35","2","candidate","1.6331006","1.640625","0"
"36","1","candidate","1.5043067","1.5","0"
"36","2","parent","1.6077629","1.59375","0"
"37","1","parent","1.5333172","1.515625","0"
"37","2","candidate","1.6353419","1.609375","0"
"38","1","candidate","1.6287154","1.59375","0"
"38","2","parent","1.5632366","1.53125","0"
"39","1","parent","1.54818","1.484375","0"
"39","2","candidate","1.6550379","1.625","0"
"40","1","candidate","1.5650733","1.53125","0"
"40","2","parent","1.7295344","1.671875","0"
"41","1","parent","1.5493646","1.53125","0"
"41","2","candidate","1.6683489","1.640625","0"
"42","1","candidate","1.6013649","1.578125","0"
"42","2","parent","1.6445291","1.625","0"
"43","1","parent","1.5399836","1.515625","0"
"43","2","candidate","1.6652368","1.640625","0"
"44","1","candidate","1.4608391","1.40625","0"
