"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.6367445","1.59375","0"
"1","2","candidate","1.5984604","1.578125","0"
"2","1","candidate","1.6035614","1.578125","0"
"2","2","parent","1.5571424","1.5","0"
"3","1","parent","1.6203651","1.625","0"
"3","2","candidate","1.4725689","1.390625","0"
"4","1","candidate","1.6296278","1.609375","0"
"4","2","parent","1.5435252","1.515625","0"
"5","1","parent","1.6143972","1.578125","0"
"5","2","candidate","1.6400128","1.625","0"
"6","1","candidate","1.571832","1.53125","0"
"6","2","parent","1.6112041","1.59375","0"
"7","1","parent","1.6964431","1.671875","0"
"7","2","candidate","1.6269547","1.59375","0"
"8","1","candidate","1.5654125","1.546875","0"
"8","2","parent","1.5297783","1.515625","0"
"9","1","parent","1.5831371","1.515625","0"
"9","2","candidate","1.5528335","1.515625","0"
"10","1","candidate","1.4623195","1.40625","0"
"10","2","parent","1.3861768","1.28125","0"
"11","1","parent","1.3717572","1.34375","0"
"11","2","candidate","1.3994943","1.375","0"
"12","1","candidate","1.4075947","1.34375","0"
"12","2","parent","1.3709836","1.359375","0"
"13","1","parent","1.3623372","1.359375","0"
"13","2","candidate","1.3746949","1.34375","0"
"14","1","candidate","1.4058995","1.40625","0"
"14","2","parent","1.3910375","1.359375","0"
"15","1","parent","1.380434","1.375","0"
"15","2","candidate","1.5632641","1.53125","0"
"16","1","candidate","1.4148684","1.390625","0"
"16","2","parent","1.4265507","1.40625","0"
"17","1","parent","1.3818375","1.296875","0"
"17","2","candidate","1.4101303","1.390625","0"
"18","1","candidate","1.6586842","1.625","0"
"18","2","parent","1.5866903","1.578125","0"
"19","1","parent","1.5799287","1.5625","0"
"19","2","candidate","1.5086065","1.453125","0"
"20","1","candidate","1.542741","1.53125","0"
"20","2","parent","1.5321075","1.515625","0"
"21","1","parent","1.6126189","1.5625","0"
"21","2","candidate","1.6430389","1.59375","0"
"22","1","candidate","1.5773573","1.5625","0"
"22","2","parent","1.5381486","1.515625","0"
"23","1","parent","1.6165225","1.609375","0"
"23","2","candidate","1.6143128","1.59375","0"
"24","1","candidate","1.7364461","1.703125","0"
"24","2","parent","1.6180679","1.5625","0"
"25","1","parent","1.7141437","1.671875","0"
"25","2","candidate","1.5125283","1.46875","0"
"26","1","candidate","1.7183158","1.703125","0"
"26","2","parent","1.578288","1.53125","0"
"27","1","parent","1.5639306","1.53125","0"
"27","2","candidate","1.4388883","1.421875","0"
"28","1","candidate","1.4289402","1.375","0"
"28","2","parent","1.3847102","1.328125","0"
"29","1","parent","1.3971921","1.34375","0"
"29","2","candidate","1.3991993","1.359375","0"
"30","1","candidate","1.3823433","1.359375","0"
"30","2","parent","1.4296312","1.421875","0"
"31","1","parent","1.5014731","1.453125","0"
"31","2","candidate","1.4557888","1.421875","0"
"32","1","candidate","1.4092435","1.390625","0"
"32","2","parent","1.3995388","1.375","0"
"33","1","parent","1.3819803","1.328125","0"
"33","2","candidate","1.5265054","1.4375","0"
"34","1","candidate","1.400484","1.359375","0"
"34","2","parent","1.3849289","1.328125","0"
"35","1","parent","1.3577221","1.34375","0"
