"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.8072836","1.75","0"
"1","2","candidate","1.5121114","1.46875","0"
"2","1","candidate","1.5363209","1.515625","0"
"2","2","parent","1.6023784","1.53125","0"
"3","1","parent","1.5167536","1.5","0"
"3","2","candidate","1.6248523","1.59375","0"
"4","1","candidate","1.6398222","1.625","0"
"4","2","parent","1.6103513","1.59375","0"
"5","1","parent","1.4777008","1.46875","0"
"5","2","candidate","1.5841981","1.59375","0"
"6","1","candidate","1.6957209","1.53125","0"
"6","2","parent","1.6533304","1.640625","0"
"7","1","parent","1.6539917","1.640625","0"
"7","2","candidate","1.6307745","1.578125","0"
"8","1","candidate","1.6561091","1.609375","0"
"8","2","parent","1.5900522","1.578125","0"
"9","1","parent","1.6749297","1.671875","0"
"9","2","candidate","1.564088","1.546875","0"
"10","1","candidate","1.4828304","1.484375","0"
"10","2","parent","1.6149999","1.59375","0"
"11","1","parent","1.5390745","1.515625","0"
"11","2","candidate","1.5214449","1.5","0"
"12","1","candidate","1.4082599","1.375","0"
"12","2","parent","1.381688","1.328125","0"
"13","1","parent","1.521019","1.484375","0"
"13","2","candidate","1.3901081","1.390625","0"
"14","1","candidate","1.4041322","1.375","0"
"14","2","parent","1.4399388","1.421875","0"
"15","1","parent","1.399683","1.390625","0"
"15","2","candidate","1.4204539","1.421875","0"
"16","1","candidate","1.3814223","1.359375","0"
"16","2","parent","1.3996288","1.359375","0"
"17","1","parent","1.3981794","1.390625","0"
"17","2","candidate","1.4099079","1.390625","0"
"18","1","candidate","1.4166254","1.375","0"
"18","2","parent","1.392924","1.328125","0"
"19","1","parent","1.4022432","1.390625","0"
"19","2","candidate","1.5152248","1.46875","0"
"20","1","candidate","1.6373958","1.59375","0"
"20","2","parent","1.4637031","1.453125","0"
"21","1","parent","1.511381","1.484375","0"
"21","2","candidate","1.5832839","1.546875","0"
"22","1","candidate","1.4710563","1.40625","0"
"22","2","parent","1.6592322","1.609375","0"
"23","1","parent","1.6625074","1.5","0"
"23","2","candidate","1.6911811","1.671875","0"
"24","1","candidate","1.6018576","1.546875","0"
"24","2","parent","1.7380407","1.6875","0"
"25","1","parent","1.6902568","1.671875","0"
"25","2","candidate","1.5644212","1.53125","0"
"26","1","candidate","1.6971167","1.671875","0"
"26","2","parent","1.6543656","1.484375","0"
"27","1","parent","1.6318837","1.625","0"
"27","2","candidate","1.5811875","1.5625","0"
"28","1","candidate","1.6022256","1.546875","0"
"28","2","parent","1.7117392","1.671875","0"
"29","1","parent","1.6368204","1.609375","0"
"29","2","candidate","1.6090204","1.5625","0"
"30","1","candidate","1.4786821","1.453125","0"
"30","2","parent","1.393413","1.34375","0"
"31","1","parent","1.4364354","1.421875","0"
"31","2","candidate","1.4085988","1.375","0"
"32","1","candidate","1.4182712","1.375","0"
"32","2","parent","1.4119963","1.375","0"
"33","1","parent","1.3827373","1.359375","0"
"33","2","candidate","1.4108586","1.328125","0"
"34","1","candidate","1.4053621","1.375","0"
"34","2","parent","1.3892874","1.359375","0"
"35","1","parent","1.4048577","1.34375","0"
"35","2","candidate","1.3998918","1.375","0"
"36","1","candidate","1.3949619","1.359375","0"
"36","2","parent","1.3908274","1.390625","0"
"37","1","parent","1.3802881","1.328125","0"
"37","2","candidate","1.3964113","1.390625","0"
"38","1","candidate","1.3918421","1.375","0"
"38","2","parent","1.4115714","1.375","0"
"39","1","parent","1.6111469","1.59375","0"
"39","2","candidate","1.5794225","1.53125","0"
"40","1","candidate","1.5555096","1.5625","0"
"40","2","parent","1.8384762","1.796875","0"
"41","1","parent","1.6988247","1.65625","0"
"41","2","candidate","1.6552688","1.625","0"
"42","1","candidate","1.4769846","1.40625","0"
"42","2","parent","1.6196142","1.609375","0"
"43","1","parent","1.5136724","1.484375","0"
"43","2","candidate","1.5569333","1.53125","0"
"44","1","candidate","1.6228268","1.546875","0"
"44","2","parent","1.5358449","1.484375","0"
"45","1","parent","1.6188463","1.59375","0"
"45","2","candidate","1.5909006","1.546875","0"
"46","1","candidate","1.6297618","1.59375","0"
"46","2","parent","1.702281","1.640625","0"
"47","1","parent","1.5394722","1.5","0"
"47","2","candidate","1.6075017","1.59375","0"
"48","1","candidate","1.5648507","1.53125","0"
"48","2","parent","1.4436815","1.390625","0"
"49","1","parent","1.3922128","1.359375","0"
"49","2","candidate","1.4006547","1.296875","0"
"50","1","candidate","1.5276808","1.359375","0"
"50","2","parent","1.3891866","1.28125","0"
"51","1","parent","1.4031007","1.375","0"
"51","2","candidate","1.3972754","1.390625","0"
"52","1","candidate","1.4249349","1.421875","0"
"52","2","parent","1.4067503","1.328125","0"
"53","1","parent","1.3846636","1.375","0"
"53","2","candidate","1.3927144","1.3125","0"
"54","1","candidate","1.4052614","1.375","0"
"54","2","parent","1.4430386","1.421875","0"
"55","1","parent","1.4117021","1.328125","0"
"55","2","candidate","1.4862434","1.453125","0"
"56","1","candidate","1.4088","1.40625","0"
"56","2","parent","1.4099342","1.359375","0"
"57","1","parent","1.4227875","1.421875","0"
"57","2","candidate","1.6191248","1.578125","0"
"58","1","candidate","1.4720313","1.453125","0"
"58","2","parent","1.5800743","1.53125","0"
"59","1","parent","1.4703887","1.4375","0"
"59","2","candidate","1.5980461","1.578125","0"
"60","1","candidate","1.5273518","1.53125","0"
"60","2","parent","1.5307361","1.46875","0"
"61","1","parent","1.5597846","1.53125","0"
"61","2","candidate","1.6545729","1.640625","0"
"62","1","candidate","1.5764574","1.5625","0"
"62","2","parent","1.6281556","1.609375","0"
"63","1","parent","1.558063","1.5625","0"
"63","2","candidate","1.6378966","1.640625","0"
"64","1","candidate","1.6952127","1.671875","0"
"64","2","parent","1.6987026","1.65625","0"
