"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5842743","1.578125","0"
"1","2","candidate","1.770745","1.609375","0"
"2","1","candidate","1.926492","1.875","0"
"2","2","parent","1.6258467","1.484375","0"
"3","1","parent","1.7888118","1.578125","0"
"3","2","candidate","1.6213488","1.59375","0"
"4","1","candidate","1.7568337","1.734375","0"
"4","2","parent","1.536516","1.515625","0"
"5","1","parent","1.5929525","1.546875","0"
"5","2","candidate","1.8103834","1.8125","0"
"6","1","candidate","1.6811323","1.671875","0"
"6","2","parent","1.6191981","1.578125","0"
"7","1","parent","1.5110222","1.484375","0"
"7","2","candidate","1.7557991","1.734375","0"
"8","1","candidate","1.7806533","1.765625","0"
"8","2","parent","1.5453976","1.53125","0"
"9","1","parent","1.5185095","1.484375","0"
"9","2","candidate","1.6724411","1.625","0"
"10","1","candidate","1.7779586","1.765625","0"
"10","2","parent","1.6045591","1.59375","0"
"11","1","parent","1.6131343","1.59375","0"
"11","2","candidate","1.7320815","1.6875","0"
"12","1","candidate","1.7813534","1.78125","0"
"12","2","parent","1.5812796","1.546875","0"
"13","1","parent","1.5777956","1.53125","0"
"13","2","candidate","1.7015957","1.671875","0"
"14","1","candidate","1.730592","1.65625","0"
"14","2","parent","1.6421695","1.609375","0"
"15","1","parent","1.6564845","1.609375","0"
"15","2","candidate","1.7179036","1.703125","0"
"16","1","candidate","1.6712957","1.65625","0"
"16","2","parent","1.562975","1.5625","0"
"17","1","parent","1.5128224","1.46875","0"
"17","2","candidate","1.7469454","1.734375","0"
"18","1","candidate","1.7254385","1.703125","0"
"18","2","parent","1.5910817","1.53125","0"
"19","1","parent","1.589838","1.5625","0"
"19","2","candidate","1.7782748","1.765625","0"
"20","1","candidate","1.8065923","1.78125","0"
"20","2","parent","1.690356","1.515625","0"
"21","1","parent","1.6227558","1.5625","0"
"21","2","candidate","1.6751811","1.640625","0"
"22","1","candidate","1.8223033","1.796875","0"
"22","2","parent","1.5935484","1.53125","0"
"23","1","parent","1.5672397","1.53125","0"
"23","2","candidate","1.7211659","1.71875","0"
"24","1","candidate","1.8977173","1.859375","0"
"24","2","parent","1.7751145","1.734375","0"
"25","1","parent","1.695459","1.515625","0"
"25","2","candidate","1.8330987","1.796875","0"
"26","1","candidate","1.6576038","1.625","0"
"26","2","parent","1.6324441","1.625","0"
"27","1","parent","1.6012349","1.578125","0"
"27","2","candidate","1.7187418","1.671875","0"
"28","1","candidate","1.7898938","1.734375","0"
"28","2","parent","1.731581","1.578125","0"
"29","1","parent","1.7052794","1.671875","0"
"29","2","candidate","1.8161998","1.796875","0"
"30","1","candidate","1.7986496","1.734375","0"
"30","2","parent","1.5098369","1.484375","0"
"31","1","parent","1.5648321","1.546875","0"
"31","2","candidate","1.7941031","1.75","0"
"32","1","candidate","1.7018029","1.65625","0"
"32","2","parent","1.5861563","1.546875","0"
"33","1","parent","1.488392","1.46875","0"
"33","2","candidate","1.7572746","1.734375","0"
"34","1","candidate","1.6369421","1.609375","0"
"34","2","parent","1.5964812","1.578125","0"
"35","1","parent","1.4779445","1.453125","0"
"35","2","candidate","1.7159616","1.703125","0"
"36","1","candidate","1.6441113","1.625","0"
"36","2","parent","1.5269497","1.515625","0"
"37","1","parent","1.4469167","1.4375","0"
"37","2","candidate","1.5097488","1.484375","0"
"38","1","candidate","1.5695102","1.546875","0"
"38","2","parent","1.5019865","1.328125","0"
"39","1","parent","1.4775863","1.453125","0"
"39","2","candidate","1.7406652","1.6875","0"
"40","1","candidate","1.6638252","1.671875","0"
"40","2","parent","1.6527172","1.640625","0"
"41","1","parent","1.5234481","1.515625","0"
"41","2","candidate","1.7969155","1.75","0"
"42","1","candidate","1.6507692","1.609375","0"
"42","2","parent","1.6290861","1.609375","0"
"43","1","parent","1.6684531","1.515625","0"
"43","2","candidate","1.7079987","1.671875","0"
"44","1","candidate","1.7830877","1.75","0"
"44","2","parent","1.5196623","1.5","0"
"45","1","parent","1.7106175","1.6875","0"
"45","2","candidate","1.6297791","1.640625","0"
"46","1","candidate","1.7323433","1.71875","0"
"46","2","parent","1.4352027","1.4375","0"
"47","1","parent","1.7342501","1.6875","0"
"47","2","candidate","1.6617551","1.640625","0"
"48","1","candidate","1.649494","1.609375","0"
"48","2","parent","1.4267943","1.40625","0"
"49","1","parent","1.3768091","1.359375","0"
"49","2","candidate","1.5327883","1.5","0"
"50","1","candidate","1.5000018","1.453125","0"
"50","2","parent","1.5084262","1.359375","0"
"51","1","parent","1.3662589","1.375","0"
"51","2","candidate","1.5153888","1.484375","0"
"52","1","candidate","1.5137875","1.46875","0"
