"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5822357","1.5625","0"
"1","2","candidate","1.5865682","1.5625","0"
"2","1","candidate","1.6130844","1.59375","0"
"2","2","parent","1.5825999","1.53125","0"
"3","1","parent","1.5650696","1.53125","0"
"3","2","candidate","1.4503151","1.453125","0"
"4","1","candidate","1.6236911","1.59375","0"
"4","2","parent","1.666803","1.625","0"
"5","1","parent","1.4900846","1.46875","0"
"5","2","candidate","1.6754177","1.65625","0"
"6","1","candidate","1.5513657","1.53125","0"
"6","2","parent","1.5841022","1.546875","0"
"7","1","parent","1.7629844","1.75","0"
"7","2","candidate","1.5411716","1.484375","0"
"8","1","candidate","1.6585379","1.640625","0"
"8","2","parent","1.5401875","1.5","0"
"9","1","parent","1.6298371","1.5625","0"
"9","2","candidate","1.704051","1.671875","0"
"10","1","candidate","1.6038358","1.59375","0"
"10","2","parent","1.6857831","1.53125","0"
"11","1","parent","1.6352329","1.578125","0"
"11","2","candidate","1.4519053","1.421875","0"
"12","1","candidate","1.416433","1.375","0"
"12","2","parent","1.3880092","1.359375","0"
"13","1","parent","1.3929211","1.359375","0"
"13","2","candidate","1.4148219","1.390625","0"
"14","1","candidate","1.3933041","1.359375","0"
"14","2","parent","1.3820342","1.359375","0"
"15","1","parent","1.3843352","1.359375","0"
"15","2","candidate","1.5154188","1.328125","0"
"16","1","candidate","1.4342791","1.390625","0"
"16","2","parent","1.3784508","1.328125","0"
"17","1","parent","1.4330983","1.421875","0"
"17","2","candidate","1.4433281","1.421875","0"
"18","1","candidate","1.4288814","1.390625","0"
"18","2","parent","1.3814515","1.328125","0"
"19","1","parent","1.369554","1.34375","0"
"19","2","candidate","1.4299098","1.375","0"
"20","1","candidate","1.58523","1.546875","0"
"20","2","parent","1.5462498","1.53125","0"
"21","1","parent","1.5816921","1.546875","0"
"21","2","candidate","1.6608871","1.625","0"
"22","1","candidate","1.5830463","1.53125","0"
"22","2","parent","1.6020505","1.5625","0"
"23","1","parent","1.4882208","1.46875","0"
"23","2","candidate","1.5951557","1.5625","0"
"24","1","candidate","1.5486656","1.515625","0"
"24","2","parent","1.5731603","1.546875","0"
"25","1","parent","1.6202433","1.59375","0"
"25","2","candidate","1.6108425","1.5625","0"
"26","1","candidate","1.6487286","1.625","0"
"26","2","parent","1.6552176","1.640625","0"
"27","1","parent","1.6017829","1.546875","0"
"27","2","candidate","1.5753463","1.578125","0"
"28","1","candidate","1.4656051","1.421875","0"
"28","2","parent","1.7017146","1.6875","0"
"29","1","parent","1.5118252","1.484375","0"
"29","2","candidate","1.5386075","1.5","0"
"30","1","candidate","1.5736616","1.546875","0"
"30","2","parent","1.4049797","1.375","0"
"31","1","parent","1.3785787","1.34375","0"
"31","2","candidate","1.4062446","1.359375","0"
"32","1","candidate","1.4063162","1.328125","0"
"32","2","parent","1.5046462","1.46875","0"
"33","1","parent","1.4421719","1.421875","0"
"33","2","candidate","1.4085761","1.40625","0"
"34","1","candidate","1.4489135","1.40625","0"
"34","2","parent","1.3864348","1.34375","0"
"35","1","parent","1.4034997","1.328125","0"
"35","2","candidate","1.4031622","1.40625","0"
"36","1","candidate","1.3947208","1.359375","0"
"36","2","parent","1.3997883","1.34375","0"
"37","1","parent","1.4062502","1.359375","0"
"37","2","candidate","1.6454228","1.625","0"
"38","1","candidate","1.6567925","1.65625","0"
"38","2","parent","1.8370644","1.828125","0"
"39","1","parent","1.5998214","1.578125","0"
"39","2","candidate","1.6915785","1.65625","0"
"40","1","candidate","1.5750069","1.546875","0"
"40","2","parent","1.564582","1.53125","0"
"41","1","parent","1.6592607","1.640625","0"
"41","2","candidate","1.6461902","1.625","0"
"42","1","candidate","1.5909952","1.5625","0"
"42","2","parent","1.566432","1.5","0"
"43","1","parent","1.7153705","1.703125","0"
"43","2","candidate","1.5969262","1.546875","0"
"44","1","candidate","1.6827302","1.640625","0"
"44","2","parent","1.5630745","1.53125","0"
"45","1","parent","1.4551644","1.40625","0"
"45","2","candidate","1.6436215","1.640625","0"
"46","1","candidate","1.5683827","1.546875","0"
"46","2","parent","1.5231784","1.46875","0"
"47","1","parent","1.4011011","1.375","0"
"47","2","candidate","1.4045162","1.375","0"
"48","1","candidate","1.508277","1.46875","0"
"48","2","parent","1.4129894","1.359375","0"
"49","1","parent","1.5704688","1.546875","0"
"49","2","candidate","1.4217033","1.40625","0"
"50","1","candidate","1.425456","1.40625","0"
"50","2","parent","1.3591177","1.34375","0"
"51","1","parent","1.407268","1.390625","0"
"51","2","candidate","1.4066936","1.359375","0"
"52","1","candidate","1.4148376","1.328125","0"
"52","2","parent","1.388406","1.328125","0"
"53","1","parent","1.3619702","1.328125","0"
"53","2","candidate","1.4075788","1.375","0"
"54","1","candidate","1.4273175","1.375","0"
"54","2","parent","1.530505","1.5","0"
"55","1","parent","1.5574242","1.515625","0"
"55","2","candidate","1.567898","1.53125","0"
"56","1","candidate","1.5519207","1.515625","0"
"56","2","parent","1.5682357","1.515625","0"
"57","1","parent","1.6311266","1.625","0"
"57","2","candidate","1.5187757","1.515625","0"
"58","1","candidate","1.6586106","1.640625","0"
"58","2","parent","1.5330586","1.515625","0"
"59","1","parent","1.5728562","1.546875","0"
"59","2","candidate","1.6096434","1.578125","0"
"60","1","candidate","1.5685714","1.546875","0"
"60","2","parent","1.6018472","1.5625","0"
"61","1","parent","1.5725687","1.53125","0"
"61","2","candidate","1.719023","1.703125","0"
"62","1","candidate","1.5258618","1.484375","0"
"62","2","parent","1.4891774","1.453125","0"
"63","1","parent","1.5786627","1.5625","0"
"63","2","candidate","1.5385275","1.5","0"
"64","1","candidate","1.5878897","1.59375","0"
"64","2","parent","1.3919344","1.296875","0"
