"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5791959","1.515625","0"
"1","2","candidate","1.6010409","1.578125","0"
"2","1","candidate","1.6084414","1.578125","0"
"2","2","parent","1.5047829","1.453125","0"
"3","1","parent","1.6010283","1.578125","0"
"3","2","candidate","1.5927488","1.546875","0"
"4","1","candidate","1.6302135","1.609375","0"
"4","2","parent","1.5559036","1.515625","0"
"5","1","parent","1.5216191","1.484375","0"
"5","2","candidate","1.6367548","1.578125","0"
"6","1","candidate","1.5836722","1.546875","0"
"6","2","parent","1.5702596","1.546875","0"
"7","1","parent","1.6236116","1.625","0"
"7","2","candidate","1.6179887","1.546875","0"
"8","1","candidate","1.631748","1.578125","0"
"8","2","parent","1.633912","1.59375","0"
"9","1","parent","1.6135181","1.59375","0"
"9","2","candidate","1.4625994","1.4375","0"
"10","1","candidate","1.6982722","1.5625","0"
"10","2","parent","1.5558292","1.53125","0"
"11","1","parent","1.5483053","1.515625","0"
"11","2","candidate","1.418074","1.375","0"
"12","1","candidate","1.3920359","1.359375","0"
"12","2","parent","1.4028925","1.390625","0"
"13","1","parent","1.4213666","1.390625","0"
"13","2","candidate","1.3750393","1.375","0"
"14","1","candidate","1.4109207","1.359375","0"
"14","2","parent","1.3618283","1.328125","0"
"15","1","parent","1.3841027","1.359375","0"
"15","2","candidate","1.3959139","1.359375","0"
"16","1","candidate","1.5817671","1.53125","0"
"16","2","parent","1.3763693","1.359375","0"
"17","1","parent","1.4320974","1.40625","0"
"17","2","candidate","1.4239826","1.390625","0"
"18","1","candidate","1.4082056","1.34375","0"
"18","2","parent","1.3547156","1.328125","0"
"19","1","parent","1.3883699","1.359375","0"
"19","2","candidate","1.5889342","1.5625","0"
"20","1","candidate","1.4988522","1.484375","0"
"20","2","parent","1.5250018","1.53125","0"
"21","1","parent","1.4873729","1.4375","0"
"21","2","candidate","1.6596188","1.625","0"
"22","1","candidate","1.5660884","1.53125","0"
"22","2","parent","1.5218555","1.484375","0"
"23","1","parent","1.6297815","1.59375","0"
"23","2","candidate","1.5740028","1.546875","0"
"24","1","candidate","1.5905083","1.5625","0"
"24","2","parent","1.6296435","1.59375","0"
"25","1","parent","1.5657126","1.515625","0"
"25","2","candidate","1.662422","1.640625","0"
"26","1","candidate","1.4964683","1.5","0"
"26","2","parent","1.741212","1.71875","0"
"27","1","parent","1.4651206","1.453125","0"
"27","2","candidate","1.5555434","1.53125","0"
"28","1","candidate","1.5740068","1.578125","0"
"28","2","parent","1.532562","1.515625","0"
"29","1","parent","1.4220513","1.390625","0"
"29","2","candidate","1.4065699","1.375","0"
"30","1","candidate","1.4004338","1.34375","0"
"30","2","parent","1.3701817","1.328125","0"
"31","1","parent","1.3823507","1.375","0"
"31","2","candidate","1.3882169","1.375","0"
"32","1","candidate","1.4009314","1.390625","0"
"32","2","parent","1.3950648","1.359375","0"
"33","1","parent","1.5544017","1.375","0"
"33","2","candidate","1.4047516","1.375","0"
"34","1","candidate","1.4058099","1.375","0"
"34","2","parent","1.3744346","1.34375","0"
"35","1","parent","1.3758987","1.34375","0"
"35","2","candidate","1.3887531","1.34375","0"
"36","1","candidate","1.3960358","1.34375","0"
"36","2","parent","1.3757511","1.3125","0"
"37","1","parent","1.3690245","1.3125","0"
"37","2","candidate","1.5866777","1.546875","0"
"38","1","candidate","1.6596149","1.640625","0"
"38","2","parent","1.6134208","1.578125","0"
"39","1","parent","1.6872167","1.640625","0"
"39","2","candidate","1.5215234","1.484375","0"
"40","1","candidate","1.5803358","1.546875","0"
