"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.6099358","1.59375","0"
"1","2","candidate","1.654653","1.609375","0"
"2","1","candidate","1.5826307","1.5625","0"
"2","2","parent","1.5451492","1.53125","0"
"3","1","parent","1.5424971","1.515625","0"
"3","2","candidate","1.5360841","1.484375","0"
"4","1","candidate","1.5615463","1.515625","0"
"4","2","parent","1.6292447","1.609375","0"
"5","1","parent","1.5783343","1.546875","0"
"5","2","candidate","1.5697268","1.546875","0"
"6","1","candidate","1.5324101","1.515625","0"
"6","2","parent","1.6454443","1.625","0"
"7","1","parent","1.5716318","1.53125","0"
"7","2","candidate","1.5805306","1.5625","0"
"8","1","candidate","1.714725","1.671875","0"
"8","2","parent","1.6862937","1.515625","0"
"9","1","parent","1.6451012","1.59375","0"
"9","2","candidate","1.6324414","1.640625","0"
"10","1","candidate","1.6355443","1.59375","0"
"10","2","parent","1.4428786","1.421875","0"
"11","1","parent","1.5666157","1.515625","0"
"11","2","candidate","1.5676285","1.53125","0"
"12","1","candidate","1.6124113","1.578125","0"
"12","2","parent","1.6189511","1.578125","0"
"13","1","parent","1.5510262","1.53125","0"
"13","2","candidate","1.6143752","1.546875","0"
"14","1","candidate","1.5903942","1.546875","0"
"14","2","parent","1.5738395","1.515625","0"
"15","1","parent","1.5701858","1.484375","0"
"15","2","candidate","1.6075499","1.546875","0"
"16","1","candidate","1.6469821","1.59375","0"
"16","2","parent","1.5806684","1.5625","0"
"17","1","parent","1.5887169","1.5625","0"
"17","2","candidate","1.689972","1.671875","0"
"18","1","candidate","1.5553028","1.53125","0"
"18","2","parent","1.6286477","1.578125","0"
"19","1","parent","1.547263","1.53125","0"
"19","2","candidate","1.700184","1.65625","0"
"20","1","candidate","1.5495315","1.53125","0"
"20","2","parent","1.5980551","1.609375","0"
"21","1","parent","1.6377547","1.609375","0"
"21","2","candidate","1.6168015","1.5625","0"
"22","1","candidate","1.6514163","1.625","0"
"22","2","parent","1.5064713","1.453125","0"
"23","1","parent","1.6410338","1.59375","0"
"23","2","candidate","1.6038208","1.609375","0"
"24","1","candidate","1.6362479","1.609375","0"
"24","2","parent","1.6489442","1.625","0"
"25","1","parent","1.6025197","1.59375","0"
"25","2","candidate","1.6898215","1.671875","0"
"26","1","candidate","1.6779783","1.671875","0"
"26","2","parent","1.5491239","1.546875","0"
