"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5280707","1.484375","0"
"1","2","candidate","1.7158559","1.671875","0"
"2","1","candidate","1.757003","1.734375","0"
"2","2","parent","1.5282758","1.515625","0"
"3","1","parent","1.6586535","1.609375","0"
"3","2","candidate","1.6731313","1.65625","0"
"4","1","candidate","1.7886613","1.765625","0"
"4","2","parent","1.4763173","1.453125","0"
"5","1","parent","1.5544694","1.53125","0"
"5","2","candidate","1.6817876","1.65625","0"
"6","1","candidate","1.7094348","1.65625","0"
"6","2","parent","1.5804738","1.5625","0"
"7","1","parent","1.5464107","1.484375","0"
"7","2","candidate","1.6765441","1.640625","0"
"8","1","candidate","1.7787203","1.703125","0"
"8","2","parent","1.5444151","1.5","0"
"9","1","parent","1.5679245","1.515625","0"
"9","2","candidate","1.6657986","1.65625","0"
"10","1","candidate","1.7076119","1.703125","0"
"10","2","parent","1.5196442","1.46875","0"
"11","1","parent","1.4547388","1.375","0"
"11","2","candidate","1.500731","1.421875","0"
"12","1","candidate","1.6148844","1.578125","0"
"12","2","parent","1.3810413","1.359375","0"
"13","1","parent","1.3986928","1.375","0"
"13","2","candidate","1.5203374","1.5","0"
"14","1","candidate","1.4783309","1.453125","0"
"14","2","parent","1.4723339","1.4375","0"
"15","1","parent","1.3895999","1.34375","0"
"15","2","candidate","1.4930156","1.453125","0"
"16","1","candidate","1.5140298","1.484375","0"
"16","2","parent","1.3816668","1.34375","0"
"17","1","parent","1.4424301","1.40625","0"
"17","2","candidate","1.4897365","1.40625","0"
"18","1","candidate","1.5218972","1.515625","0"
"18","2","parent","1.5370856","1.484375","0"
"19","1","parent","1.5239151","1.484375","0"
"19","2","candidate","1.6745945","1.640625","0"
"20","1","candidate","1.5923071","1.546875","0"
"20","2","parent","1.5238549","1.53125","0"
"21","1","parent","1.5830036","1.578125","0"
"21","2","candidate","1.6601485","1.625","0"
"22","1","candidate","1.6798506","1.640625","0"
"22","2","parent","1.554985","1.515625","0"
"23","1","parent","1.5510675","1.515625","0"
"23","2","candidate","1.7422606","1.703125","0"
"24","1","candidate","1.7519297","1.71875","0"
"24","2","parent","1.6173482","1.546875","0"
"25","1","parent","1.6015572","1.578125","0"
"25","2","candidate","1.7759404","1.734375","0"
"26","1","candidate","1.8233091","1.78125","0"
"26","2","parent","1.6120496","1.578125","0"
"27","1","parent","1.4750798","1.421875","0"
"27","2","candidate","1.5593896","1.546875","0"
"28","1","candidate","1.4852999","1.453125","0"
"28","2","parent","1.3716088","1.328125","0"
"29","1","parent","1.4034466","1.359375","0"
"29","2","candidate","1.5055954","1.46875","0"
"30","1","candidate","1.6213059","1.46875","0"
"30","2","parent","1.3923477","1.375","0"
"31","1","parent","1.4214731","1.328125","0"
"31","2","candidate","1.5678951","1.546875","0"
"32","1","candidate","1.569003","1.515625","0"
"32","2","parent","1.4582754","1.453125","0"
