"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5514052","1.5","0"
"1","2","candidate","1.4620189","1.421875","0"
"2","1","candidate","1.5281617","1.5","0"
"2","2","parent","1.4657891","1.453125","0"
"3","1","parent","1.5780582","1.5","0"
"3","2","candidate","1.452232","1.453125","0"
"4","1","candidate","1.5110403","1.484375","0"
"4","2","parent","1.5343334","1.515625","0"
"5","1","parent","1.5023939","1.46875","0"
"5","2","candidate","1.5138502","1.46875","0"
"6","1","candidate","1.5014366","1.484375","0"
"6","2","parent","1.4941278","1.453125","0"
"7","1","parent","1.5314377","1.5","0"
"7","2","candidate","1.4642118","1.4375","0"
"8","1","candidate","1.5175291","1.484375","0"
"8","2","parent","1.4149762","1.40625","0"
"9","1","parent","1.5312291","1.515625","0"
"9","2","candidate","1.457597","1.4375","0"
"10","1","candidate","1.5119644","1.453125","0"
"10","2","parent","1.4571841","1.4375","0"
"11","1","parent","1.6391339","1.625","0"
"11","2","candidate","1.4953382","1.4375","0"
"12","1","candidate","1.3742316","1.34375","0"
"12","2","parent","1.5273341","1.46875","0"
"13","1","parent","1.3931248","1.34375","0"
"13","2","candidate","1.3765649","1.34375","0"
"14","1","candidate","1.3419044","1.34375","0"
"14","2","parent","1.3786365","1.359375","0"
"15","1","parent","1.3898071","1.359375","0"
"15","2","candidate","1.3613669","1.3125","0"
"16","1","candidate","1.342975","1.28125","0"
"16","2","parent","1.3649075","1.3125","0"
"17","1","parent","1.3562103","1.28125","0"
"17","2","candidate","1.3505169","1.359375","0"
"18","1","candidate","1.3561931","1.3125","0"
"18","2","parent","1.359262","1.34375","0"
"19","1","parent","1.3677572","1.328125","0"
"19","2","candidate","1.3848591","1.359375","0"
"20","1","candidate","1.3543206","1.328125","0"
"20","2","parent","1.3888447","1.34375","0"
"21","1","parent","1.3632756","1.34375","0"
"21","2","candidate","1.3597802","1.3125","0"
"22","1","candidate","1.3467244","1.3125","0"
"22","2","parent","1.378826","1.359375","0"
"23","1","parent","1.3839239","1.359375","0"
"23","2","candidate","1.3547459","1.296875","0"
"24","1","candidate","1.3538317","1.328125","0"
"24","2","parent","1.5217824","1.4375","0"
"25","1","parent","1.3739225","1.328125","0"
"25","2","candidate","1.3344635","1.296875","0"
"26","1","candidate","1.327656","1.296875","0"
"26","2","parent","1.3616173","1.359375","0"
"27","1","parent","1.3596994","1.265625","0"
"27","2","candidate","1.32121","1.296875","0"
"28","1","candidate","1.4036505","1.359375","0"
"28","2","parent","1.4014497","1.390625","0"
"29","1","parent","1.3965339","1.375","0"
"29","2","candidate","1.3412787","1.296875","0"
"30","1","candidate","1.341393","1.28125","0"
"30","2","parent","1.3905936","1.3125","0"
"31","1","parent","1.4777943","1.296875","0"
"31","2","candidate","1.3564657","1.3125","0"
"32","1","candidate","1.3342825","1.296875","0"
"32","2","parent","1.3560105","1.265625","0"
"33","1","parent","1.3721328","1.296875","0"
"33","2","candidate","1.3170976","1.265625","0"
"34","1","candidate","1.3307885","1.28125","0"
"34","2","parent","1.3698751","1.375","0"
"35","1","parent","1.4856649","1.46875","0"
"35","2","candidate","1.5597803","1.53125","0"
"36","1","candidate","1.3980627","1.359375","0"
"36","2","parent","1.4119561","1.390625","0"
"37","1","parent","1.4170473","1.34375","0"
"37","2","candidate","1.3677618","1.3125","0"
"38","1","candidate","1.3396268","1.328125","0"
"38","2","parent","1.3424293","1.3125","0"
"39","1","parent","1.4071399","1.390625","0"
"39","2","candidate","1.3659007","1.34375","0"
"40","1","candidate","1.3399711","1.328125","0"
"40","2","parent","1.3581342","1.34375","0"
"41","1","parent","1.3633462","1.25","0"
"41","2","candidate","1.326191","1.28125","0"
"42","1","candidate","1.469768","1.328125","0"
"42","2","parent","1.3612964","1.328125","0"
"43","1","parent","1.3501366","1.328125","0"
"43","2","candidate","1.3385692","1.296875","0"
"44","1","candidate","1.367697","1.34375","0"
"44","2","parent","1.3720942","1.328125","0"
"45","1","parent","1.3631417","1.359375","0"
"45","2","candidate","1.369873","1.34375","0"
"46","1","candidate","1.3516333","1.28125","0"
"46","2","parent","1.423834","1.40625","0"
"47","1","parent","1.3772994","1.359375","0"
"47","2","candidate","1.3546947","1.34375","0"
"48","1","candidate","1.4594917","1.421875","0"
"48","2","parent","1.3760477","1.328125","0"
"49","1","parent","1.3603491","1.296875","0"
"49","2","candidate","1.3336159","1.3125","0"
"50","1","candidate","1.3346911","1.296875","0"
"50","2","parent","1.3998005","1.3125","0"
"51","1","parent","1.372186","1.28125","0"
"51","2","candidate","1.3422442","1.3125","0"
"52","1","candidate","1.3268346","1.3125","0"
"52","2","parent","1.3552631","1.34375","0"
"53","1","parent","1.474298","1.46875","0"
"53","2","candidate","1.3272148","1.328125","0"
"54","1","candidate","1.3341668","1.3125","0"
"54","2","parent","1.4281489","1.40625","0"
"55","1","parent","1.3598813","1.296875","0"
"55","2","candidate","1.5046763","1.328125","0"
"56","1","candidate","1.4406515","1.40625","0"
"56","2","parent","1.389871","1.3125","0"
"57","1","parent","1.4921767","1.453125","0"
"57","2","candidate","1.3692596","1.296875","0"
"58","1","candidate","1.4863123","1.296875","0"
"58","2","parent","1.6029378","1.46875","0"
"59","1","parent","1.3707645","1.34375","0"
"59","2","candidate","1.5117378","1.46875","0"
"60","1","candidate","1.527469","1.46875","0"
"60","2","parent","1.4092454","1.390625","0"
"61","1","parent","1.369943","1.328125","0"
"61","2","candidate","1.3375248","1.3125","0"
"62","1","candidate","1.346103","1.3125","0"
"62","2","parent","1.3618239","1.34375","0"
"63","1","parent","1.4098699","1.3125","0"
"63","2","candidate","1.3430857","1.296875","0"
"64","1","candidate","1.371997","1.3125","0"
"64","2","parent","1.3511164","1.328125","0"
