"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4664152","1.453125","0"
"1","2","candidate","1.5534637","1.484375","0"
"2","1","candidate","1.4008155","1.34375","0"
"2","2","parent","1.694799","1.65625","0"
"3","1","parent","1.4902001","1.484375","0"
"3","2","candidate","1.6448661","1.640625","0"
"4","1","candidate","1.511524","1.5","0"
"4","2","parent","1.5434483","1.53125","0"
"5","1","parent","1.5479481","1.484375","0"
"5","2","candidate","1.4956941","1.484375","0"
"6","1","candidate","1.4631566","1.4375","0"
"6","2","parent","1.573592","1.515625","0"
"7","1","parent","1.4396583","1.4375","0"
"7","2","candidate","1.6435906","1.46875","0"
"8","1","candidate","1.4379205","1.421875","0"
"8","2","parent","1.7629638","1.609375","0"
"9","1","parent","1.7171469","1.5625","0"
"9","2","candidate","1.6610442","1.5625","0"
"10","1","candidate","1.5555354","1.515625","0"
"10","2","parent","1.5495342","1.515625","0"
"11","1","parent","1.5849892","1.5625","0"
"11","2","candidate","1.5310526","1.53125","0"
"12","1","candidate","1.4549407","1.4375","0"
"12","2","parent","1.696923","1.65625","0"
"13","1","parent","1.7265585","1.703125","0"
"13","2","candidate","1.6550824","1.625","0"
"14","1","candidate","1.529617","1.515625","0"
"14","2","parent","1.5399321","1.53125","0"
"15","1","parent","1.5906312","1.59375","0"
"15","2","candidate","1.4579654","1.453125","0"
"16","1","candidate","1.5376696","1.515625","0"
"16","2","parent","1.5321556","1.515625","0"
"17","1","parent","1.4943227","1.453125","0"
"17","2","candidate","1.5235768","1.484375","0"
"18","1","candidate","1.5008767","1.46875","0"
"18","2","parent","1.5372066","1.515625","0"
"19","1","parent","1.5954298","1.5625","0"
"19","2","candidate","1.4735267","1.4375","0"
"20","1","candidate","1.5978947","1.5625","0"
"20","2","parent","1.4647942","1.421875","0"
"21","1","parent","1.5293526","1.515625","0"
"21","2","candidate","1.4822094","1.4375","0"
"22","1","candidate","1.4915953","1.484375","0"
"22","2","parent","1.574131","1.546875","0"
"23","1","parent","1.5322065","1.515625","0"
"23","2","candidate","1.5041165","1.46875","0"
"24","1","candidate","1.5953086","1.5625","0"
"24","2","parent","1.5451023","1.515625","0"
"25","1","parent","1.6111303","1.578125","0"
"25","2","candidate","1.4644097","1.40625","0"
"26","1","candidate","1.6066949","1.5625","0"
"26","2","parent","1.4737899","1.453125","0"
"27","1","parent","1.5274713","1.53125","0"
"27","2","candidate","1.511254","1.453125","0"
"28","1","candidate","1.5123177","1.46875","0"
"28","2","parent","1.5003747","1.5","0"
"29","1","parent","1.5580062","1.546875","0"
"29","2","candidate","1.509011","1.46875","0"
"30","1","candidate","1.4905772","1.46875","0"
"30","2","parent","1.4956893","1.46875","0"
"31","1","parent","1.5351589","1.5","0"
"31","2","candidate","1.404014","1.40625","0"
"32","1","candidate","1.5069296","1.4375","0"
"32","2","parent","1.5030692","1.453125","0"
"33","1","parent","1.51653","1.46875","0"
"33","2","candidate","1.5214718","1.53125","0"
"34","1","candidate","1.5234751","1.53125","0"
"34","2","parent","1.5864065","1.578125","0"
"35","1","parent","1.5290585","1.5","0"
"35","2","candidate","1.6302163","1.59375","0"
"36","1","candidate","1.7696866","1.71875","0"
"36","2","parent","1.5239057","1.484375","0"
"37","1","parent","1.5934837","1.5625","0"
"37","2","candidate","1.5055507","1.484375","0"
"38","1","candidate","1.4818048","1.46875","0"
"38","2","parent","1.7180426","1.6875","0"
"39","1","parent","1.5212318","1.5","0"
"39","2","candidate","1.6477118","1.609375","0"
"40","1","candidate","1.4401342","1.40625","0"
"40","2","parent","1.6116958","1.578125","0"
"41","1","parent","1.439721","1.4375","0"
"41","2","candidate","1.5347204","1.5","0"
"42","1","candidate","1.4993789","1.46875","0"
"42","2","parent","1.5306623","1.46875","0"
"43","1","parent","1.5485937","1.53125","0"
"43","2","candidate","1.5028734","1.46875","0"
"44","1","candidate","1.4904215","1.453125","0"
"44","2","parent","1.5266217","1.453125","0"
"45","1","parent","1.5004824","1.4375","0"
"45","2","candidate","1.6220162","1.484375","0"
