"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4935299","1.453125","0"
"1","2","candidate","1.4042427","1.34375","0"
"2","1","candidate","1.4984818","1.46875","0"
"2","2","parent","1.4379677","1.390625","0"
"3","1","parent","1.4568715","1.390625","0"
"3","2","candidate","1.3691142","1.34375","0"
"4","1","candidate","1.361209","1.34375","0"
"4","2","parent","1.3415903","1.328125","0"
"5","1","parent","1.3519226","1.34375","0"
"5","2","candidate","1.3662935","1.328125","0"
"6","1","candidate","1.3506616","1.296875","0"
"6","2","parent","1.4076226","1.375","0"
"7","1","parent","1.3260823","1.3125","0"
"7","2","candidate","1.3912003","1.359375","0"
"8","1","candidate","1.3574446","1.328125","0"
"8","2","parent","1.3552506","1.328125","0"
"9","1","parent","1.3453762","1.3125","0"
"9","2","candidate","1.360202","1.328125","0"
"10","1","candidate","1.33969","1.25","0"
"10","2","parent","1.4708498","1.3125","0"
"11","1","parent","1.3480382","1.34375","0"
"11","2","candidate","1.3639955","1.34375","0"
"12","1","candidate","1.3530554","1.3125","0"
"12","2","parent","1.3525312","1.3125","0"
"13","1","parent","1.3403573","1.296875","0"
"13","2","candidate","1.3654839","1.3125","0"
"14","1","candidate","1.3563278","1.3125","0"
"14","2","parent","1.4360268","1.421875","0"
"15","1","parent","1.5557062","1.5625","0"
"15","2","candidate","1.4026108","1.390625","0"
"16","1","candidate","1.385483","1.359375","0"
"16","2","parent","1.3338168","1.28125","0"
"17","1","parent","1.3339528","1.28125","0"
"17","2","candidate","1.3565101","1.34375","0"
"18","1","candidate","1.4559767","1.3125","0"
"18","2","parent","1.3296887","1.296875","0"
"19","1","parent","1.3274788","1.28125","0"
"19","2","candidate","1.3490744","1.296875","0"
"20","1","candidate","1.3302011","1.28125","0"
"20","2","parent","1.340449","1.34375","0"
"21","1","parent","1.3362447","1.328125","0"
"21","2","candidate","1.3347456","1.34375","0"
"22","1","candidate","1.3351829","1.3125","0"
"22","2","parent","1.3210286","1.296875","0"
"23","1","parent","1.3254466","1.3125","0"
"23","2","candidate","1.3235252","1.28125","0"
"24","1","candidate","1.3788745","1.34375","0"
"24","2","parent","1.3304056","1.3125","0"
"25","1","parent","1.3515837","1.265625","0"
"25","2","candidate","1.3272846","1.296875","0"
"26","1","candidate","1.4093161","1.390625","0"
"26","2","parent","1.7135232","1.53125","0"
"27","1","parent","1.4396061","1.375","0"
"27","2","candidate","1.4140108","1.390625","0"
"28","1","candidate","1.3468293","1.3125","0"
"28","2","parent","1.3218027","1.28125","0"
"29","1","parent","1.3370209","1.28125","0"
"29","2","candidate","1.3382168","1.3125","0"
"30","1","candidate","1.3753651","1.34375","0"
"30","2","parent","1.332081","1.3125","0"
"31","1","parent","1.3431522","1.28125","0"
"31","2","candidate","1.4650023","1.34375","0"
"32","1","candidate","1.3402448","1.296875","0"
"32","2","parent","1.3361886","1.3125","0"
"33","1","parent","1.3894653","1.375","0"
"33","2","candidate","1.378199","1.34375","0"
"34","1","candidate","1.3475954","1.28125","0"
"34","2","parent","1.3440486","1.3125","0"
"35","1","parent","1.3434057","1.3125","0"
