"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4873455","1.4375","0"
"1","2","candidate","1.4729733","1.421875","0"
"2","1","candidate","1.5321691","1.515625","0"
"2","2","parent","1.3932798","1.375","0"
"3","1","parent","1.5266834","1.515625","0"
"3","2","candidate","1.4299695","1.421875","0"
"4","1","candidate","1.5979987","1.4375","0"
"4","2","parent","1.4856044","1.46875","0"
"5","1","parent","1.4635627","1.4375","0"
"5","2","candidate","1.5410978","1.546875","0"
"6","1","candidate","1.5013195","1.46875","0"
"6","2","parent","1.5002105","1.4375","0"
"7","1","parent","1.6398767","1.5","0"
"7","2","candidate","1.4483031","1.40625","0"
"8","1","candidate","1.52428","1.46875","0"
"8","2","parent","1.5752442","1.4375","0"
"9","1","parent","1.4294079","1.390625","0"
"9","2","candidate","1.507227","1.46875","0"
"10","1","candidate","1.440679","1.390625","0"
"10","2","parent","1.4980318","1.46875","0"
"11","1","parent","1.4508414","1.390625","0"
"11","2","candidate","1.4796701","1.4375","0"
"12","1","candidate","1.4790695","1.4375","0"
"12","2","parent","1.4462372","1.40625","0"
"13","1","parent","1.5334414","1.515625","0"
"13","2","candidate","1.8069777","1.765625","0"
"14","1","candidate","1.504781","1.46875","0"
"14","2","parent","1.6381352","1.609375","0"
"15","1","parent","1.456936","1.421875","0"
"15","2","candidate","1.541927","1.484375","0"
"16","1","candidate","1.5689189","1.40625","0"
"16","2","parent","1.4825087","1.453125","0"
"17","1","parent","1.3997416","1.359375","0"
"17","2","candidate","1.4519056","1.4375","0"
"18","1","candidate","1.5809009","1.53125","0"
"18","2","parent","1.4698229","1.453125","0"
"19","1","parent","1.4421796","1.40625","0"
"19","2","candidate","1.4895036","1.453125","0"
"20","1","candidate","1.4779063","1.40625","0"
"20","2","parent","1.4998489","1.46875","0"
"21","1","parent","1.549709","1.546875","0"
"21","2","candidate","1.627637","1.609375","0"
"22","1","candidate","1.4105982","1.359375","0"
"22","2","parent","1.4940877","1.484375","0"
"23","1","parent","1.4626504","1.46875","0"
"23","2","candidate","1.490047","1.453125","0"
"24","1","candidate","1.4862942","1.4375","0"
"24","2","parent","1.4705254","1.453125","0"
"25","1","parent","1.4896612","1.4375","0"
"25","2","candidate","1.4676213","1.453125","0"
"26","1","candidate","1.4585061","1.453125","0"
"26","2","parent","1.5004","1.484375","0"
"27","1","parent","1.3642493","1.34375","0"
