"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.3520455","1.3125","0"
"1","2","candidate","1.332669","1.3125","0"
"2","1","candidate","1.3544894","1.328125","0"
"2","2","parent","1.3396392","1.3125","0"
"3","1","parent","1.3403367","1.296875","0"
"3","2","candidate","1.3389219","1.328125","0"
"4","1","candidate","1.3580918","1.328125","0"
"4","2","parent","1.3392668","1.328125","0"
"5","1","parent","1.3583331","1.34375","0"
"5","2","candidate","1.3874691","1.375","0"
"6","1","candidate","1.3622744","1.34375","0"
"6","2","parent","1.3810346","1.359375","0"
"7","1","parent","1.3467123","1.3125","0"
"7","2","candidate","1.4615049","1.296875","0"
"8","1","candidate","1.3521671","1.3125","0"
"8","2","parent","1.3584062","1.328125","0"
"9","1","parent","1.3536966","1.28125","0"
"9","2","candidate","1.3386206","1.328125","0"
"10","1","candidate","1.3373248","1.3125","0"
"10","2","parent","1.3493467","1.328125","0"
"11","1","parent","1.3517057","1.359375","0"
"11","2","candidate","1.3769594","1.375","0"
"12","1","candidate","1.4042249","1.359375","0"
"12","2","parent","1.3881908","1.359375","0"
"13","1","parent","1.3354169","1.3125","0"
"13","2","candidate","1.3275083","1.296875","0"
"14","1","candidate","1.3415493","1.3125","0"
"14","2","parent","1.4065108","1.34375","0"
"15","1","parent","1.3510417","1.3125","0"
"15","2","candidate","1.3983972","1.375","0"
"16","1","candidate","1.3483441","1.3125","0"
"16","2","parent","1.3375169","1.296875","0"
"17","1","parent","1.3333401","1.28125","0"
"17","2","candidate","1.3285199","1.28125","0"
"18","1","candidate","1.3367271","1.3125","0"
"18","2","parent","1.326831","1.3125","0"
"19","1","parent","1.342555","1.3125","0"
"19","2","candidate","1.3432667","1.28125","0"
"20","1","candidate","1.3401371","1.296875","0"
"20","2","parent","1.3339715","1.28125","0"
"21","1","parent","1.3406242","1.328125","0"
"21","2","candidate","1.3330157","1.296875","0"
"22","1","candidate","1.3451397","1.3125","0"
"22","2","parent","1.338584","1.3125","0"
"23","1","parent","1.3415085","1.3125","0"
"23","2","candidate","1.5182122","1.484375","0"
"24","1","candidate","1.3285241","1.296875","0"
"24","2","parent","1.3613324","1.328125","0"
"25","1","parent","1.3203014","1.28125","0"
"25","2","candidate","1.3426108","1.3125","0"
"26","1","candidate","1.3275607","1.28125","0"
"26","2","parent","1.3248268","1.28125","0"
"27","1","parent","1.3269847","1.328125","0"
"27","2","candidate","1.3318063","1.296875","0"
"28","1","candidate","1.3344651","1.3125","0"
"28","2","parent","1.3425249","1.3125","0"
"29","1","parent","1.332942","1.265625","0"
"29","2","candidate","1.3387721","1.3125","0"
"30","1","candidate","1.3216067","1.3125","0"
"30","2","parent","1.3233874","1.296875","0"
"31","1","parent","1.3240023","1.296875","0"
"31","2","candidate","1.3281075","1.296875","0"
"32","1","candidate","1.3321429","1.328125","0"
"32","2","parent","1.3899202","1.359375","0"
"33","1","parent","1.3254739","1.3125","0"
"33","2","candidate","1.3946534","1.375","0"
"34","1","candidate","1.3287575","1.328125","0"
"34","2","parent","1.3463771","1.34375","0"
"35","1","parent","1.4633145","1.4375","0"
"35","2","candidate","1.3209334","1.296875","0"
"36","1","candidate","1.3409188","1.34375","0"
"36","2","parent","1.3434258","1.28125","0"
"37","1","parent","1.3129104","1.296875","0"
"37","2","candidate","1.3431614","1.3125","0"
"38","1","candidate","1.3346415","1.25","0"
"38","2","parent","1.3205703","1.28125","0"
"39","1","parent","1.3435384","1.328125","0"
"39","2","candidate","1.3450011","1.296875","0"
"40","1","candidate","1.3709684","1.3125","0"
"40","2","parent","1.3463489","1.328125","0"
"41","1","parent","1.3441571","1.296875","0"
"41","2","candidate","1.3955714","1.34375","0"
"42","1","candidate","1.3470873","1.28125","0"
"42","2","parent","1.3553741","1.359375","0"
"43","1","parent","1.3323943","1.28125","0"
"43","2","candidate","1.3505189","1.359375","0"
"44","1","candidate","1.3186173","1.28125","0"
"44","2","parent","1.3277184","1.3125","0"
"45","1","parent","1.3686352","1.375","0"
