"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5037282","1.4375","0"
"1","2","candidate","1.4395399","1.40625","0"
"2","1","candidate","1.5193628","1.5","0"
"2","2","parent","1.4287116","1.375","0"
"3","1","parent","1.481605","1.4375","0"
"3","2","candidate","1.4693847","1.453125","0"
"4","1","candidate","1.380885","1.359375","0"
"4","2","parent","1.4720664","1.421875","0"
"5","1","parent","1.5103979","1.46875","0"
"5","2","candidate","1.478231","1.4375","0"
"6","1","candidate","1.4930411","1.46875","0"
"6","2","parent","1.4846786","1.453125","0"
"7","1","parent","1.4447601","1.40625","0"
"7","2","candidate","1.5145559","1.46875","0"
"8","1","candidate","1.4246902","1.390625","0"
"8","2","parent","1.5016437","1.5","0"
"9","1","parent","1.4846307","1.46875","0"
"9","2","candidate","1.4900515","1.484375","0"
"10","1","candidate","1.6167843","1.421875","0"
"10","2","parent","1.4663076","1.359375","0"
"11","1","parent","1.4791296","1.453125","0"
"11","2","candidate","1.4669536","1.421875","0"
"12","1","candidate","1.5116244","1.5","0"
"12","2","parent","1.485427","1.484375","0"
"13","1","parent","1.4367395","1.375","0"
"13","2","candidate","1.6137406","1.4375","0"
"14","1","candidate","1.4334731","1.390625","0"
"14","2","parent","1.3955062","1.34375","0"
"15","1","parent","1.5106419","1.46875","0"
"15","2","candidate","1.3922217","1.375","0"
"16","1","candidate","1.4992002","1.46875","0"
"16","2","parent","1.4694776","1.453125","0"
"17","1","parent","1.4880721","1.46875","0"
"17","2","candidate","1.4678937","1.390625","0"
"18","1","candidate","1.5954148","1.421875","0"
"18","2","parent","1.4864955","1.46875","0"
"19","1","parent","1.4796985","1.46875","0"
"19","2","candidate","1.3841835","1.359375","0"
"20","1","candidate","1.342414","1.328125","0"
"20","2","parent","1.3418894","1.328125","0"
"21","1","parent","1.3652286","1.34375","0"
"21","2","candidate","1.350029","1.3125","0"
"22","1","candidate","1.5475326","1.5","0"
"22","2","parent","1.3319967","1.3125","0"
"23","1","parent","1.3274685","1.28125","0"
