"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.3486272","1.34375","0"
"1","2","candidate","1.3431109","1.34375","0"
"2","1","candidate","1.350525","1.3125","0"
"2","2","parent","1.4598721","1.3125","0"
"3","1","parent","1.3324126","1.3125","0"
"3","2","candidate","1.3173698","1.265625","0"
"4","1","candidate","1.330812","1.296875","0"
"4","2","parent","1.3401237","1.3125","0"
"5","1","parent","1.3418595","1.265625","0"
"5","2","candidate","1.3748077","1.328125","0"
"6","1","candidate","1.3347682","1.265625","0"
"6","2","parent","1.3868229","1.359375","0"
"7","1","parent","1.3471108","1.3125","0"
"7","2","candidate","1.3567982","1.3125","0"
"8","1","candidate","1.354339","1.28125","0"
"8","2","parent","1.3274802","1.28125","0"
"9","1","parent","1.4683115","1.296875","0"
"9","2","candidate","1.3260421","1.3125","0"
"10","1","candidate","1.3233049","1.28125","0"
"10","2","parent","1.3465731","1.28125","0"
"11","1","parent","1.349337","1.3125","0"
"11","2","candidate","1.329545","1.3125","0"
"12","1","candidate","1.3323331","1.28125","0"
"12","2","parent","1.3257682","1.3125","0"
"13","1","parent","1.3415036","1.296875","0"
"13","2","candidate","1.317017","1.28125","0"
"14","1","candidate","1.4505414","1.296875","0"
"14","2","parent","1.4051654","1.3125","0"
"15","1","parent","1.3213082","1.265625","0"
"15","2","candidate","1.3674094","1.359375","0"
"16","1","candidate","1.3159375","1.28125","0"
"16","2","parent","1.3607069","1.28125","0"
"17","1","parent","1.3471604","1.328125","0"
"17","2","candidate","1.3251408","1.265625","0"
"18","1","candidate","1.3306819","1.3125","0"
"18","2","parent","1.3423403","1.3125","0"
"19","1","parent","1.3346506","1.296875","0"
"19","2","candidate","1.460023","1.375","0"
"20","1","candidate","1.3165296","1.296875","0"
"20","2","parent","1.3298617","1.296875","0"
"21","1","parent","1.3383585","1.28125","0"
"21","2","candidate","1.3210759","1.296875","0"
"22","1","candidate","1.3100187","1.28125","0"
"22","2","parent","1.335809","1.296875","0"
"23","1","parent","1.3229032","1.296875","0"
"23","2","candidate","1.3883047","1.328125","0"
"24","1","candidate","1.327104","1.28125","0"
"24","2","parent","1.3639951","1.3125","0"
"25","1","parent","1.3346507","1.328125","0"
"25","2","candidate","1.3474997","1.34375","0"
"26","1","candidate","1.4445504","1.421875","0"
"26","2","parent","1.3193162","1.28125","0"
"27","1","parent","1.3328807","1.28125","0"
"27","2","candidate","1.4410896","1.40625","0"
"28","1","candidate","1.320507","1.28125","0"
"28","2","parent","1.4702497","1.4375","0"
"29","1","parent","1.3373122","1.34375","0"
"29","2","candidate","1.3402608","1.3125","0"
"30","1","candidate","1.338024","1.3125","0"
"30","2","parent","1.3323969","1.3125","0"
"31","1","parent","1.3474583","1.3125","0"
"31","2","candidate","1.3196448","1.265625","0"
"32","1","candidate","1.3146073","1.28125","0"
"32","2","parent","1.3901582","1.359375","0"
"33","1","parent","1.3416363","1.28125","0"
"33","2","candidate","1.359984","1.34375","0"
"34","1","candidate","1.3202774","1.265625","0"
"34","2","parent","1.3628804","1.328125","0"
"35","1","parent","1.3515933","1.34375","0"
"35","2","candidate","1.4424365","1.390625","0"
"36","1","candidate","1.3327904","1.3125","0"
"36","2","parent","1.3320693","1.328125","0"
"37","1","parent","1.3273973","1.296875","0"
"37","2","candidate","1.3667801","1.328125","0"
"38","1","candidate","1.3058125","1.3125","0"
"38","2","parent","1.3345557","1.328125","0"
"39","1","parent","1.3194102","1.3125","0"
"39","2","candidate","1.3145079","1.296875","0"
"40","1","candidate","1.3096574","1.3125","0"
"40","2","parent","1.3385406","1.3125","0"
"41","1","parent","1.3454845","1.34375","0"
"41","2","candidate","1.519736","1.359375","0"
"42","1","candidate","1.3618033","1.328125","0"
"42","2","parent","1.320885","1.328125","0"
"43","1","parent","1.4446218","1.296875","0"
"43","2","candidate","1.3450906","1.328125","0"
"44","1","candidate","1.3178413","1.265625","0"
"44","2","parent","1.3253278","1.296875","0"
"45","1","parent","1.4478229","1.421875","0"
"45","2","candidate","1.3218656","1.296875","0"
"46","1","candidate","1.3150013","1.265625","0"
"46","2","parent","1.4636354","1.265625","0"
"47","1","parent","1.4496998","1.265625","0"
"47","2","candidate","1.5594729","1.390625","0"
"48","1","candidate","1.3179063","1.3125","0"
"48","2","parent","1.3393056","1.296875","0"
"49","1","parent","1.3185954","1.28125","0"
"49","2","candidate","1.3314121","1.3125","0"
"50","1","candidate","1.3692455","1.3125","0"
"50","2","parent","1.3644261","1.34375","0"
"51","1","parent","1.4615373","1.421875","0"
"51","2","candidate","1.3649308","1.328125","0"
"52","1","candidate","1.3323156","1.296875","0"
"52","2","parent","1.424911","1.40625","0"
"53","1","parent","1.3546637","1.296875","0"
"53","2","candidate","1.3151531","1.296875","0"
"54","1","candidate","1.3211475","1.25","0"
"54","2","parent","1.3219925","1.28125","0"
"55","1","parent","1.3172029","1.296875","0"
"55","2","candidate","1.3290106","1.28125","0"
"56","1","candidate","1.3164024","1.28125","0"
"56","2","parent","1.3241766","1.296875","0"
"57","1","parent","1.3236469","1.296875","0"
