"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5001171","1.421875","0"
"1","2","candidate","1.43956","1.40625","0"
"2","1","candidate","1.4294019","1.390625","0"
"2","2","parent","1.412363","1.390625","0"
"3","1","parent","1.4407831","1.40625","0"
"3","2","candidate","1.3425389","1.3125","0"
"4","1","candidate","1.32694","1.3125","0"
"4","2","parent","1.3305885","1.3125","0"
"5","1","parent","1.3399577","1.296875","0"
"5","2","candidate","1.3140352","1.28125","0"
"6","1","candidate","1.4443909","1.40625","0"
"6","2","parent","1.344262","1.328125","0"
"7","1","parent","1.405438","1.359375","0"
"7","2","candidate","1.3311776","1.3125","0"
"8","1","candidate","1.367512","1.359375","0"
"8","2","parent","1.345329","1.3125","0"
"9","1","parent","1.3463938","1.296875","0"
"9","2","candidate","1.3597505","1.328125","0"
"10","1","candidate","1.3500442","1.328125","0"
"10","2","parent","1.3380734","1.3125","0"
"11","1","parent","1.3262473","1.25","0"
"11","2","candidate","1.3413793","1.296875","0"
"12","1","candidate","1.3316799","1.296875","0"
"12","2","parent","1.3453726","1.28125","0"
"13","1","parent","1.3407272","1.296875","0"
"13","2","candidate","1.3276874","1.296875","0"
"14","1","candidate","1.3181773","1.265625","0"
"14","2","parent","1.3398209","1.3125","0"
"15","1","parent","1.3344396","1.3125","0"
"15","2","candidate","1.3458423","1.3125","0"
"16","1","candidate","1.4155382","1.375","0"
"16","2","parent","1.351245","1.3125","0"
"17","1","parent","1.391975","1.328125","0"
"17","2","candidate","1.3273953","1.296875","0"
"18","1","candidate","1.3212303","1.25","0"
"18","2","parent","1.3479607","1.28125","0"
"19","1","parent","1.3579081","1.3125","0"
"19","2","candidate","1.3746737","1.328125","0"
"20","1","candidate","1.3419988","1.3125","0"
"20","2","parent","1.4812139","1.328125","0"
"21","1","parent","1.3870915","1.34375","0"
"21","2","candidate","1.3378367","1.296875","0"
"22","1","candidate","1.3283372","1.296875","0"
"22","2","parent","1.342327","1.203125","0"
"23","1","parent","1.3358467","1.3125","0"
"23","2","candidate","1.32728","1.328125","0"
"24","1","candidate","1.324181","1.328125","0"
"24","2","parent","1.3178462","1.265625","0"
"25","1","parent","1.3898446","1.359375","0"
"25","2","candidate","1.3271697","1.296875","0"
"26","1","candidate","1.3575385","1.296875","0"
"26","2","parent","1.3455281","1.265625","0"
"27","1","parent","1.34918","1.296875","0"
"27","2","candidate","1.3247412","1.328125","0"
"28","1","candidate","1.3265579","1.3125","0"
"28","2","parent","1.3438421","1.265625","0"
"29","1","parent","1.3421818","1.328125","0"
"29","2","candidate","1.3457845","1.328125","0"
"30","1","candidate","1.3307929","1.28125","0"
"30","2","parent","1.3473763","1.328125","0"
"31","1","parent","1.3491626","1.3125","0"
"31","2","candidate","1.3631563","1.34375","0"
"32","1","candidate","1.3536331","1.34375","0"
"32","2","parent","1.350064","1.3125","0"
"33","1","parent","1.3299438","1.3125","0"
"33","2","candidate","1.3281703","1.25","0"
"34","1","candidate","1.500613","1.34375","0"
"34","2","parent","1.3629882","1.34375","0"
"35","1","parent","1.3463959","1.3125","0"
"35","2","candidate","1.3188325","1.28125","0"
"36","1","candidate","1.3562115","1.296875","0"
"36","2","parent","1.3245069","1.265625","0"
"37","1","parent","1.3393678","1.296875","0"
"37","2","candidate","1.3253597","1.28125","0"
"38","1","candidate","1.3253758","1.3125","0"
"38","2","parent","1.3250712","1.28125","0"
"39","1","parent","1.3447858","1.3125","0"
"39","2","candidate","1.314032","1.28125","0"
"40","1","candidate","1.3113848","1.296875","0"
"40","2","parent","1.3270735","1.3125","0"
"41","1","parent","1.3202584","1.28125","0"
"41","2","candidate","1.3219255","1.28125","0"
"42","1","candidate","1.3252416","1.265625","0"
"42","2","parent","1.325318","1.296875","0"
"43","1","parent","1.3887702","1.390625","0"
"43","2","candidate","1.3209192","1.296875","0"
"44","1","candidate","1.3546424","1.3125","0"
"44","2","parent","1.3148859","1.296875","0"
"45","1","parent","1.3285484","1.328125","0"
"45","2","candidate","1.3227447","1.28125","0"
"46","1","candidate","1.3014642","1.28125","0"
"46","2","parent","1.3301135","1.296875","0"
"47","1","parent","1.316245","1.265625","0"
"47","2","candidate","1.3106459","1.3125","0"
"48","1","candidate","1.4416212","1.28125","0"
"48","2","parent","1.3288012","1.28125","0"
"49","1","parent","1.3037161","1.28125","0"
"49","2","candidate","1.3095988","1.28125","0"
"50","1","candidate","1.3037872","1.265625","0"
"50","2","parent","1.3157401","1.265625","0"
"51","1","parent","1.3218516","1.296875","0"
"51","2","candidate","1.3117947","1.25","0"
"52","1","candidate","1.3746591","1.328125","0"
"52","2","parent","1.3599637","1.3125","0"
"53","1","parent","1.3628317","1.296875","0"
"53","2","candidate","1.3199515","1.3125","0"
"54","1","candidate","1.3385506","1.3125","0"
"54","2","parent","1.349326","1.3125","0"
"55","1","parent","1.5157564","1.46875","0"
"55","2","candidate","1.3168251","1.296875","0"
"56","1","candidate","1.3475661","1.328125","0"
"56","2","parent","1.3253995","1.296875","0"
"57","1","parent","1.4805092","1.34375","0"
"57","2","candidate","1.3150688","1.28125","0"
"58","1","candidate","1.3365098","1.3125","0"
"58","2","parent","1.3314049","1.265625","0"
"59","1","parent","1.3317441","1.28125","0"
"59","2","candidate","1.3169835","1.25","0"
"60","1","candidate","1.346402","1.34375","0"
"60","2","parent","1.324867","1.296875","0"
"61","1","parent","1.3891112","1.359375","0"
"61","2","candidate","1.3635729","1.3125","0"
"62","1","candidate","1.3356549","1.328125","0"
"62","2","parent","1.3236782","1.296875","0"
"63","1","parent","1.3699267","1.34375","0"
"63","2","candidate","1.3112204","1.296875","0"
"64","1","candidate","1.3121561","1.296875","0"
"64","2","parent","1.3233321","1.28125","0"
