"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.5899705","1.5625","0"
"1","2","candidate","1.4070258","1.375","0"
"2","1","candidate","1.378306","1.359375","0"
"2","2","parent","1.3885595","1.359375","0"
"3","1","parent","1.5199109","1.359375","0"
"3","2","candidate","1.3552666","1.328125","0"
"4","1","candidate","1.3316161","1.328125","0"
"4","2","parent","1.3212382","1.265625","0"
"5","1","parent","1.3497148","1.3125","0"
"5","2","candidate","1.3074515","1.265625","0"
"6","1","candidate","1.3194944","1.28125","0"
"6","2","parent","1.3437198","1.296875","0"
"7","1","parent","1.3279106","1.28125","0"
"7","2","candidate","1.3318253","1.328125","0"
"8","1","candidate","1.4476811","1.265625","0"
"8","2","parent","1.36366","1.328125","0"
"9","1","parent","1.4902358","1.46875","0"
"9","2","candidate","1.3829852","1.34375","0"
"10","1","candidate","1.4446509","1.296875","0"
"10","2","parent","1.3174881","1.296875","0"
"11","1","parent","1.3390882","1.3125","0"
"11","2","candidate","1.4461315","1.3125","0"
"12","1","candidate","1.3148883","1.28125","0"
"12","2","parent","1.337905","1.3125","0"
"13","1","parent","1.3573576","1.34375","0"
"13","2","candidate","1.3281275","1.296875","0"
"14","1","candidate","1.3470968","1.328125","0"
"14","2","parent","1.3234622","1.3125","0"
"15","1","parent","1.326442","1.296875","0"
"15","2","candidate","1.3042392","1.296875","0"
"16","1","candidate","1.3160474","1.28125","0"
"16","2","parent","1.334353","1.28125","0"
"17","1","parent","1.4337162","1.296875","0"
"17","2","candidate","1.384494","1.328125","0"
"18","1","candidate","1.3361678","1.3125","0"
"18","2","parent","1.3580388","1.3125","0"
"19","1","parent","1.3180451","1.296875","0"
"19","2","candidate","1.4639349","1.421875","0"
"20","1","candidate","1.312414","1.28125","0"
"20","2","parent","1.335904","1.3125","0"
"21","1","parent","1.4439385","1.3125","0"
"21","2","candidate","1.3181274","1.28125","0"
"22","1","candidate","1.4253164","1.28125","0"
"22","2","parent","1.5581606","1.390625","0"
"23","1","parent","1.3209332","1.296875","0"
"23","2","candidate","1.3120283","1.296875","0"
"24","1","candidate","1.3183841","1.28125","0"
"24","2","parent","1.3261683","1.28125","0"
"25","1","parent","1.31878","1.296875","0"
"25","2","candidate","1.3026645","1.265625","0"
"26","1","candidate","1.3039741","1.296875","0"
"26","2","parent","1.3866082","1.375","0"
"27","1","parent","1.3185262","1.328125","0"
"27","2","candidate","1.3555708","1.359375","0"
"28","1","candidate","1.3029995","1.296875","0"
"28","2","parent","1.3379774","1.328125","0"
"29","1","parent","1.3184989","1.296875","0"
"29","2","candidate","1.3036961","1.28125","0"
"30","1","candidate","1.3213573","1.28125","0"
"30","2","parent","1.3206315","1.28125","0"
"31","1","parent","1.3221453","1.296875","0"
"31","2","candidate","1.3375017","1.296875","0"
"32","1","candidate","1.3106901","1.265625","0"
"32","2","parent","1.3231273","1.296875","0"
"33","1","parent","1.3269598","1.28125","0"
"33","2","candidate","1.3220631","1.265625","0"
"34","1","candidate","1.3128833","1.265625","0"
"34","2","parent","1.3092597","1.296875","0"
"35","1","parent","1.3123101","1.28125","0"
"35","2","candidate","1.3910468","1.34375","0"
"36","1","candidate","1.3267677","1.28125","0"
"36","2","parent","1.3618899","1.265625","0"
"37","1","parent","1.3060455","1.28125","0"
"37","2","candidate","1.3175825","1.28125","0"
"38","1","candidate","1.3405111","1.3125","0"
"38","2","parent","1.3119142","1.265625","0"
"39","1","parent","1.3250615","1.3125","0"
"39","2","candidate","1.30354","1.25","0"
"40","1","candidate","1.3148481","1.25","0"
"40","2","parent","1.3238065","1.3125","0"
"41","1","parent","1.3403287","1.296875","0"
"41","2","candidate","1.338024","1.3125","0"
"42","1","candidate","1.3437702","1.28125","0"
"42","2","parent","1.3149858","1.28125","0"
"43","1","parent","1.3377722","1.28125","0"
"43","2","candidate","1.3298787","1.3125","0"
"44","1","candidate","1.3081614","1.296875","0"
"44","2","parent","1.3675957","1.328125","0"
"45","1","parent","1.3473897","1.28125","0"
"45","2","candidate","1.3571641","1.34375","0"
"46","1","candidate","1.3144933","1.265625","0"
"46","2","parent","1.3147994","1.28125","0"
"47","1","parent","1.3627869","1.328125","0"
"47","2","candidate","1.304326","1.3125","0"
"48","1","candidate","1.3083025","1.3125","0"
"48","2","parent","1.3222093","1.296875","0"
"49","1","parent","1.3364287","1.3125","0"
"49","2","candidate","1.330478","1.28125","0"
"50","1","candidate","1.4540014","1.28125","0"
"50","2","parent","1.3307964","1.28125","0"
"51","1","parent","1.3270789","1.28125","0"
"51","2","candidate","1.308327","1.28125","0"
"52","1","candidate","1.3183235","1.28125","0"
"52","2","parent","1.3183021","1.296875","0"
"53","1","parent","1.3240914","1.265625","0"
"53","2","candidate","1.373977","1.359375","0"
"54","1","candidate","1.3584869","1.28125","0"
"54","2","parent","1.3807918","1.359375","0"
"55","1","parent","1.3494756","1.328125","0"
"55","2","candidate","1.3426259","1.3125","0"
"56","1","candidate","1.3465782","1.328125","0"
"56","2","parent","1.3484615","1.28125","0"
"57","1","parent","1.3411327","1.34375","0"
"57","2","candidate","1.345254","1.328125","0"
"58","1","candidate","1.3271347","1.296875","0"
"58","2","parent","1.3471986","1.296875","0"
"59","1","parent","1.4576855","1.296875","0"
"59","2","candidate","1.3175241","1.25","0"
"60","1","candidate","1.3255559","1.265625","0"
"60","2","parent","1.3103385","1.28125","0"
"61","1","parent","1.3438238","1.28125","0"
"61","2","candidate","1.3218674","1.265625","0"
"62","1","candidate","1.3118209","1.28125","0"
"62","2","parent","1.3808487","1.34375","0"
"63","1","parent","1.3082163","1.28125","0"
"63","2","candidate","1.3600281","1.3125","0"
"64","1","candidate","1.4471167","1.28125","0"
"64","2","parent","1.3467286","1.328125","0"
