"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.4307716","1.390625","0"
"1","2","candidate","1.4220452","1.40625","0"
"2","1","candidate","1.4618884","1.46875","0"
"2","2","parent","1.4716252","1.40625","0"
"3","1","parent","1.5258148","1.359375","0"
"3","2","candidate","1.3446571","1.328125","0"
"4","1","candidate","1.3453811","1.3125","0"
"4","2","parent","1.3402447","1.296875","0"
"5","1","parent","1.3463654","1.328125","0"
"5","2","candidate","1.4607114","1.390625","0"
"6","1","candidate","1.3265581","1.296875","0"
"6","2","parent","1.3747013","1.359375","0"
"7","1","parent","1.4354128","1.390625","0"
"7","2","candidate","1.3466831","1.328125","0"
"8","1","candidate","1.3834749","1.359375","0"
"8","2","parent","1.3633518","1.328125","0"
"9","1","parent","1.3698942","1.3125","0"
"9","2","candidate","1.3323888","1.28125","0"
"10","1","candidate","1.320646","1.28125","0"
"10","2","parent","1.3371037","1.3125","0"
"11","1","parent","1.3702357","1.328125","0"
"11","2","candidate","1.3858619","1.34375","0"
"12","1","candidate","1.347047","1.265625","0"
"12","2","parent","1.3770235","1.3125","0"
"13","1","parent","1.3520573","1.359375","0"
"13","2","candidate","1.3439432","1.34375","0"
"14","1","candidate","1.3449486","1.328125","0"
"14","2","parent","1.3670975","1.34375","0"
"15","1","parent","1.3541514","1.328125","0"
"15","2","candidate","1.3388507","1.296875","0"
"16","1","candidate","1.4059243","1.359375","0"
"16","2","parent","1.370644","1.34375","0"
"17","1","parent","1.3924887","1.359375","0"
"17","2","candidate","1.319603","1.328125","0"
"18","1","candidate","1.3344053","1.296875","0"
"18","2","parent","1.3297924","1.265625","0"
"19","1","parent","1.3377646","1.328125","0"
"19","2","candidate","1.3129836","1.28125","0"
"20","1","candidate","1.3021751","1.28125","0"
"20","2","parent","1.4337356","1.28125","0"
"21","1","parent","1.3467713","1.3125","0"
"21","2","candidate","1.3065698","1.296875","0"
"22","1","candidate","1.3062838","1.25","0"
"22","2","parent","1.3161797","1.296875","0"
"23","1","parent","1.3206866","1.25","0"
"23","2","candidate","1.3199744","1.296875","0"
"24","1","candidate","1.3099715","1.28125","0"
"24","2","parent","1.3252666","1.296875","0"
"25","1","parent","1.378648","1.359375","0"
"25","2","candidate","1.3151746","1.28125","0"
"26","1","candidate","1.3573951","1.328125","0"
"26","2","parent","1.3191936","1.296875","0"
"27","1","parent","1.342559","1.3125","0"
"27","2","candidate","1.3246686","1.296875","0"
"28","1","candidate","1.410826","1.359375","0"
"28","2","parent","1.3412948","1.28125","0"
"29","1","parent","1.3254813","1.296875","0"
"29","2","candidate","1.3082986","1.28125","0"
"30","1","candidate","1.3501935","1.328125","0"
"30","2","parent","1.3216671","1.3125","0"
"31","1","parent","1.3258538","1.296875","0"
"31","2","candidate","1.3131009","1.28125","0"
"32","1","candidate","1.3084391","1.296875","0"
"32","2","parent","1.443403","1.421875","0"
"33","1","parent","1.3438955","1.28125","0"
"33","2","candidate","1.3584473","1.34375","0"
"34","1","candidate","1.3863909","1.34375","0"
"34","2","parent","1.3365232","1.296875","0"
"35","1","parent","1.3701782","1.375","0"
"35","2","candidate","1.3104677","1.3125","0"
"36","1","candidate","1.3240067","1.28125","0"
"36","2","parent","1.3512632","1.328125","0"
"37","1","parent","1.4046201","1.375","0"
"37","2","candidate","1.3620608","1.34375","0"
"38","1","candidate","1.3282993","1.296875","0"
"38","2","parent","1.3400986","1.328125","0"
"39","1","parent","1.3581518","1.28125","0"
"39","2","candidate","1.3289959","1.3125","0"
"40","1","candidate","1.3093607","1.296875","0"
"40","2","parent","1.3343291","1.3125","0"
"41","1","parent","1.3238638","1.296875","0"
"41","2","candidate","1.3407927","1.328125","0"
"42","1","candidate","1.3490301","1.28125","0"
"42","2","parent","1.3137129","1.296875","0"
"43","1","parent","1.3892439","1.390625","0"
"43","2","candidate","1.360011","1.296875","0"
"44","1","candidate","1.3188857","1.28125","0"
"44","2","parent","1.3278858","1.28125","0"
"45","1","parent","1.3379644","1.25","0"
"45","2","candidate","1.4456429","1.390625","0"
"46","1","candidate","1.3216385","1.25","0"
"46","2","parent","1.3290148","1.3125","0"
"47","1","parent","1.3249111","1.296875","0"
