"pair","position","variant","wall_seconds","cpu_seconds","exit_code"
"1","1","parent","1.3802087","1.34375","0"
"1","2","candidate","1.3432276","1.296875","0"
"2","1","candidate","1.3202508","1.3125","0"
"2","2","parent","1.3268565","1.296875","0"
"3","1","parent","1.3191184","1.3125","0"
"3","2","candidate","1.3237365","1.3125","0"
"4","1","candidate","1.3340837","1.28125","0"
"4","2","parent","1.3277093","1.265625","0"
"5","1","parent","1.3435474","1.296875","0"
"5","2","candidate","1.3896519","1.390625","0"
"6","1","candidate","1.3312947","1.28125","0"
"6","2","parent","1.3749551","1.34375","0"
"7","1","parent","1.3342146","1.265625","0"
"7","2","candidate","1.3388421","1.3125","0"
"8","1","candidate","1.3354232","1.296875","0"
"8","2","parent","1.3369121","1.3125","0"
"9","1","parent","1.4597543","1.40625","0"
"9","2","candidate","1.3317093","1.265625","0"
"10","1","candidate","1.3228096","1.296875","0"
"10","2","parent","1.3418377","1.34375","0"
"11","1","parent","1.3294962","1.3125","0"
"11","2","candidate","1.3273875","1.3125","0"
"12","1","candidate","1.3597155","1.328125","0"
"12","2","parent","1.368096","1.328125","0"
"13","1","parent","1.3459558","1.3125","0"
"13","2","candidate","1.3588974","1.34375","0"
"14","1","candidate","1.3494967","1.3125","0"
"14","2","parent","1.3943845","1.359375","0"
"15","1","parent","1.3349475","1.296875","0"
"15","2","candidate","1.3483201","1.328125","0"
"16","1","candidate","1.3384078","1.296875","0"
"16","2","parent","1.3409399","1.34375","0"
"17","1","parent","1.3371384","1.34375","0"
"17","2","candidate","1.3387919","1.296875","0"
"18","1","candidate","1.3243078","1.296875","0"
"18","2","parent","1.3199069","1.28125","0"
"19","1","parent","1.3248554","1.328125","0"
"19","2","candidate","1.3283251","1.328125","0"
"20","1","candidate","1.4328024","1.390625","0"
"20","2","parent","1.3122696","1.25","0"
"21","1","parent","1.3266897","1.296875","0"
"21","2","candidate","1.3193277","1.296875","0"
"22","1","candidate","1.340558","1.265625","0"
"22","2","parent","1.330908","1.3125","0"
"23","1","parent","1.3389957","1.328125","0"
"23","2","candidate","1.3987948","1.390625","0"
"24","1","candidate","1.3341705","1.328125","0"
"24","2","parent","1.3470267","1.328125","0"
"25","1","parent","1.3221205","1.296875","0"
"25","2","candidate","1.3426579","1.3125","0"
"26","1","candidate","1.4308161","1.421875","0"
"26","2","parent","1.477282","1.46875","0"
"27","1","parent","1.4123624","1.328125","0"
"27","2","candidate","1.3159974","1.296875","0"
"28","1","candidate","1.3121188","1.296875","0"
